,Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_134.0,C_135.0,C_136.0,C_137.0,C_138.0,C_139.0,C_140.0,C_141.0,C_142.0,C_143.0,C_144.0,C_145.0,C_146.0,P_134.0,P_135.0,P_136.0,P_137.0,P_138.0,P_139.0,P_140.0,P_141.0,P_142.0,P_143.0,P_144.0,P_145.0,P_146.0
10,SWK,Bull Put Ladder,4.86,530.0,5719.945627935993,530.0,34.7,65.26,0.009169811320754718,-43.0,3.0,-20.0,10.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0
15,SWK,Bull Put Ladder,-5.14,540.0,5709.945627935993,540.0,34.7,65.26,-0.009518518518518518,-42.99999999999999,3.0,-21.000000000000004,11.000000000000002,-2.0000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0
11,SWK,Bull Put Ladder,-6.81,490.0,5659.945627935993,490.0,34.7,65.26,-0.013897959183673468,-39.99999999999999,3.0,-21.000000000000004,11.000000000000002,-2.0000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0
16,SWK,Bull Put Ladder,-6.81,490.0,5659.945627935993,490.0,34.7,65.26,-0.013897959183673468,-40.0,3.0,-21.000000000000004,11.000000000000002,-2.0000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0
8,SWK,Bull Put Ladder,-8.49,440.0,5609.945627935993,492.95023010863247,34.7,65.26,-0.01722283403362859,-37.0,3.0,-20.0,9.000000000000002,-1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
12,SWK,Bull Put Ladder,-8.49,440.0,5609.945627935993,492.95023010863247,34.7,65.26,-0.01722283403362859,-37.0,3.0,-21.000000000000004,11.000000000000002,-2.0000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0
5,SWK,Bull Put Ladder,-10.17,390.0,5559.945627935993,542.9502301086325,34.7,65.26,-0.01873099859993651,-34.0,3.0,-20.0,9.000000000000002,-1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
17,SWK,Bull Put Ladder,-9.46,430.0,5619.945627935993,498.9502301086321,34.7,65.26,-0.018959806868794022,-37.0,3.0,-21.000000000000004,11.000000000000002,-2.0000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0
13,SWK,Bull Put Ladder,-11.14,380.0,5569.945627935993,532.9502301086325,34.7,65.26,-0.020902514663947717,-34.0,3.0,-21.000000000000004,11.000000000000002,-2.0000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0
22,SWK,Bull Put Ladder,-13.45,600.0,5749.945627935993,600.0,34.7,65.26,-0.022416666666666665,-46.0,3.0,-21.000000000000004,12.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0
