,C_1000000.0,C_34.0,C_35.0,C_35.5,C_36.0,C_40.0,C_40.5,C_41.0,C_41.5,C_42.0,C_42.5,C_43.0,C_43.5,C_44.0,C_44.5,Cost of Strategy,Exp_Pnl/Max_Loss,Expected PnL,Max_Loss,Max_Profit,Name,P_-1000000.0,P_34.0,P_35.0,P_35.5,P_36.0,P_37.0,P_37.5,P_40.5,P_41.0,P_41.5,P_42.0,P_42.5,P_43.0,P_43.5,P_44.0,P_44.5,Prob of Loss,Prob of Profit,Strategy_Delta,Strategy_Gamma,Strategy_Rho,Strategy_Theta,Strategy_Vega,Underlying
3,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,65.0,-0.12,-7.8,65.0,85.0,Bull Call Spread,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.14,31.79,12.0,0.9999999999999996,1.0,0.0,0.0,WDC
2,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,51.0,-0.19019607843137254,-9.7,51.0,49.0,Bull Call Spread,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.41,47.52,8.000000000000002,0.9999999999999996,0.0,0.0,0.0,WDC
1,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,35.0,-0.3202857142857143,-11.21,35.0,15.0,Bull Call Spread,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.41,47.52,3.0000000000000027,0.9999999999999996,0.0,0.0,0.0,WDC
0,,,,,,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,-0.3260416666666667,-15.65,48.0,2.0,Bull Call Spread,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.29,64.64,4.0000000000000036,0.0,0.0,0.0,0.0,WDC
4,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,34.0,-0.5317647058823529,-18.08,34.0,16.0,Bull Call Spread,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.14,31.79,3.9999999999999982,0.0,1.0,0.0,0.0,WDC
12,,,,,,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-96.0,0.0055769230769230765,0.58,104.0,96.0,Bear Call Spread,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.52,52.41,-17.0,0.9999999999999996,0.0,0.0,0.0,WDC
7,,,,,,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-127.0,-0.006178861788617886,-0.76,123.0,127.0,Bear Call Spread,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.52,52.41,-21.000000000000004,0.9999999999999996,0.0,0.0,0.0,WDC
2,,,,,,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-156.0,-0.028472222222222218,-4.1,144.0,156.0,Bear Call Spread,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.52,52.41,-22.000000000000004,3.0,0.0,0.9999999999999996,0.0,WDC
14,,,,,,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-141.0,-0.05555023923444976,-11.61,209.0,141.0,Bear Call Spread,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.52,52.41,-28.999999999999996,0.0,-1.0,0.0,0.0,WDC
13,,,,,,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-127.0,-0.056069364161849704,-9.7,173.0,127.0,Bear Call Spread,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.52,52.41,-25.0,0.0,0.0,0.0,0.0,WDC
