,Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_34.0,C_35.0,C_35.5,C_36.0,C_1000000.0,P_34.0,P_35.0,P_35.5,P_36.0,P_37.0,P_37.5
0,TAP,Bear Call Spread,8.94,-75.0,2251.02830209347,363.31802384948446,71.29,28.67,0.02460654141316057,-4.999999999999982,24.0,-4.999999999999999,1.0000000000000009,-3.0,-3.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,TAP,Bear Put Spread,47.18,805.0,5769.0566041869415,805.0,51.51,48.44,0.058608695652173914,-254.99999999999997,49.0,-20.0,12.0,-4.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,5.0,0.0,0.0,0.0
2,TAP,Bear Put Spread,33.62,625.0,4343.042453140206,625.0,51.51,48.44,0.05379199999999999,-196.0,37.0,-15.000000000000002,9.0,-3.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,4.0,0.0,0.0,0.0
1,TAP,Bear Put Spread,20.05,445.0,2917.0283020934708,445.0,51.51,48.44,0.045056179775280904,-137.0,25.0,-10.000000000000002,6.0,-1.9999999999999998,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,3.0,0.0,0.0,0.0
5,TAP,Bear Put Spread,26.54,710.0,4408.042453140207,710.0,51.51,48.44,0.03738028169014084,-214.99999999999994,38.0,-15.0,9.0,-3.0000000000000004,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,5.0,0.0,0.0,0.0
4,TAP,Bear Put Spread,12.98,530.0,2982.0283020934708,530.0,51.51,48.44,0.02449056603773585,-155.99999999999997,26.0,-10.0,6.0,-2.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,4.0,0.0,0.0,0.0
0,TAP,Bear Put Spread,6.49,265.0,1491.0141510467354,265.0,51.51,48.44,0.02449056603773585,-77.99999999999999,13.0,-5.0,3.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,2.0,0.0,0.0,0.0
6,TAP,Bear Put Spread,5.91,615.0,3047.028302093471,615.0,51.51,48.44,0.009609756097560975,-174.99999999999994,26.999999999999996,-9.999999999999998,6.0,-2.0000000000000004,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,5.0,0.0,0.0,0.0
5,TAP,Bear Call Ladder,8.94,-75.0,2251.02830209347,363.31802384948446,71.29,28.67,0.02460654141316057,-4.999999999999982,24.0,-4.999999999999999,1.0000000000000009,-3.0,-3.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,TAP,Bear Call Ladder,8.94,-75.0,2251.02830209347,363.31802384948446,71.29,28.67,0.02460654141316057,-4.999999999999982,24.0,-4.999999999999999,1.0000000000000009,-3.0,-3.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,TAP,Bear Call Ladder,8.94,-75.0,2251.02830209347,363.31802384948446,71.29,28.67,0.02460654141316057,-4.999999999999982,24.0,-4.999999999999999,1.0000000000000009,-3.0,-3.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,TAP,Bear Call Ladder,8.94,-75.0,2251.02830209347,363.31802384948446,71.29,28.67,0.02460654141316057,-4.999999999999982,24.0,-4.999999999999999,1.0000000000000009,-3.0,-3.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
