,Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_40.0,C_40.5,C_41.0,C_41.5,C_42.0,C_42.5,C_43.0,C_43.5,C_44.0,C_44.5,P_-1000000.0,P_40.5,P_41.0,P_41.5,P_42.0,P_42.5,P_43.0,P_43.5,P_44.0,P_44.5
3,WDC,Bear Call Spread,116.54,-4.0,4176.021756807359,475.5778022732961,67.08,32.85,0.24504928414011426,48.0,24.0,-12.000000000000002,6.0,2.0,-2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,WDC,Bear Call Spread,58.27,-2.0,2088.0108784036797,237.78890113664804,67.08,32.85,0.24504928414011426,24.0,12.0,-6.000000000000001,3.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,WDC,Bear Call Spread,122.46,-73.0,4095.0217568073595,556.5778022732961,54.73,45.2,0.22002314770697326,29.000000000000004,20.999999999999996,-14.000000000000002,6.0,2.0000000000000004,0.0,-3.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,WDC,Bear Call Spread,63.53,-38.0,2024.0108784036797,301.78890113664806,71.85,28.08,0.21051138647154563,12.00000000000001,11.000000000000002,-7.000000000000001,3.0,0.9999999999999999,0.0,0.0,-2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,WDC,Bear Call Spread,124.64,-17.0,5925.032635211039,603.4221977267039,54.73,45.2,0.20655521203820668,36.00000000000001,24.000000000000004,-21.000000000000004,9.0,-2.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,WDC,Bear Call Spread,117.96,-75.0,5883.032635211039,645.4221977267039,54.73,45.2,0.1827640890187491,34.00000000000001,28.000000000000004,-19.000000000000004,9.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,WDC,Bear Call Spread,112.43,-160.0000000000001,4032.0217568073595,619.577802273296,54.73,45.2,0.18146227897042555,26.00000000000002,26.999999999999996,-11.000000000000004,6.0,2.0000000000000004,-3.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,WDC,Bear Call Spread,60.85,-100.0,1986.0108784036797,339.78890113664806,54.73,45.2,0.17908177635127884,4.0000000000000036,11.000000000000002,-7.000000000000001,3.0,0.9999999999999999,0.0,-2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,WDC,Bear Call Spread,127.48,-5.0,6063.032635211039,715.4221977267039,54.73,45.2,0.17818848842693896,53.99999999999998,28.000000000000004,-19.000000000000004,9.0,3.0000000000000004,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,WDC,Bear Call Spread,77.15,-63.99999999999994,3836.0217568073595,456.4221977267039,71.85,28.08,0.16903209437284164,10.000000000000009,16.0,-14.000000000000002,6.0,-2.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,WDC,Bear Call Spread,38.57,-31.99999999999997,1918.0108784036797,228.21109886335196,71.85,28.08,0.16901018483371358,5.000000000000004,8.0,-7.000000000000001,3.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,WDC,Bear Call Spread,84.77,-8.0,3980.0217568073595,512.4221977267039,71.85,28.08,0.16542999186231852,26.0,16.0,-14.000000000000002,6.0,2.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,WDC,Bear Call Spread,42.38,-4.0,1990.0108784036797,256.21109886335194,71.85,28.08,0.1654104767046139,13.0,8.0,-7.000000000000001,3.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,WDC,Bear Call Spread,64.12,-134.0,1920.0108784036797,405.78890113664806,71.85,28.08,0.15801319311690049,-5.000000000000004,12.0,-7.000000000000001,3.0,1.0000000000000002,0.0,0.0,-3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,WDC,Bear Call Spread,74.46,-125.99999999999994,3798.0217568073595,494.4221977267039,71.85,28.08,0.15060003442879075,2.0000000000000018,16.0,-14.000000000000002,6.0,-2.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,WDC,Bear Call Spread,37.23,-62.99999999999997,1899.0108784036797,247.21109886335196,71.85,28.08,0.15060003442879075,1.0000000000000009,8.0,-7.000000000000001,3.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
