,Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_95.0,C_96.0,C_97.0,C_97.5,C_98.0,C_98.5,C_99.0,C_99.5,C_100.0,C_101.0,P_95.0,P_96.0,P_97.0,P_97.5,P_98.0,P_98.5,P_99.0,P_99.5,P_100.0,P_101.0
75,NKE,Bull Call Spread,74.42,354.0,4897.071003738349,354.0,33.49,66.49,0.21022598870056497,79.99999999999999,15.000000000000002,-19.0,14.000000000000002,1.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,NKE,Bull Call Spread,77.56,423.0,4978.071003738349,423.0,33.49,66.49,0.18335697399527187,91.00000000000001,14.000000000000002,-18.000000000000004,14.000000000000002,1.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,NKE,Bull Call Spread,68.17,377.0,4924.071003738349,377.0,33.49,66.49,0.18082228116710874,86.0,14.000000000000002,-18.000000000000004,14.000000000000002,1.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,NKE,Bull Call Spread,83.02,468.0,5033.071003738349,468.0,33.49,66.49,0.17739316239316238,100.0,14.000000000000002,-18.000000000000004,14.000000000000002,5.0,0.0,0.0,0.0,0.0,0.0,3.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,NKE,Bull Call Spread,86.06,489.0,5062.071003738349,489.0,33.49,66.49,0.1759918200408998,103.0,14.000000000000002,-18.000000000000004,14.000000000000002,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,NKE,Bull Call Spread,74.31,443.0,5008.071003738349,443.0,33.49,66.49,0.1677426636568849,95.0,14.000000000000002,-18.000000000000004,14.000000000000002,1.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,NKE,Bull Call Spread,67.67,411.0,4990.071003738349,411.0,33.49,66.49,0.16464720194647203,92.0,15.000000000000002,-19.0,14.000000000000002,1.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,NKE,Bull Call Spread,73.81,477.0,5074.071003738349,477.0,33.49,66.49,0.15473794549266248,101.0,15.000000000000002,-19.0,14.000000000000002,1.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,NKE,Bull Call Spread,59.92,402.0,4949.071003738349,402.0,33.49,66.49,0.1490547263681592,86.0,16.000000000000004,-20.0,14.000000000000002,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,NKE,Bull Call Spread,29.96,201.0,2474.5355018691744,201.0,33.49,66.49,0.1490547263681592,43.0,8.000000000000002,-10.0,7.000000000000001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
