,Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_29.0,C_29.5,C_30.0,C_30.5,C_31.0,P_-1000000.0,P_29.5,P_30.0,P_30.5,P_31.0
25,T,Bull Call Spread,26.92,292.0,3216.0254316577593,292.0,33.37,66.6,0.09219178082191781,180.99999999999997,77.0,-12.0,8.0,0.0,0.0,0.0,0.0,5.0,-1.0,0.0,0.0,0.0,0.0,0.0
23,T,Bull Call Spread,18.78,225.0,2418.5190737433195,225.0,33.37,66.6,0.08346666666666668,138.0,58.00000000000001,-9.0,6.0,0.0,0.0,0.0,0.0,4.0,-1.0,0.0,0.0,0.0,0.0,0.0
22,T,Bull Call Spread,10.65,158.00000000000003,1621.0127158288797,158.00000000000003,33.37,66.6,0.06740506329113923,95.0,39.00000000000001,-6.0,3.9999999999999996,0.0,0.0,0.0,0.0,3.0,-1.0,0.0,0.0,0.0,0.0,0.0
13,T,Bull Call Spread,22.36,402.00000000000006,3306.0254316577593,402.00000000000006,33.37,66.6,0.05562189054726367,222.00000000000003,76.0,-12.0,8.0,0.0,0.0,0.0,5.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
26,T,Bull Call Spread,13.16,249.0,2444.5190737433195,249.0,33.37,66.6,0.05285140562248996,146.99999999999997,59.0,-9.0,6.000000000000001,0.0,0.0,0.0,0.0,5.0,-2.0,0.0,0.0,0.0,0.0,0.0
11,T,Bull Call Spread,15.46,309.0,2484.5190737433195,309.0,33.37,66.6,0.050032362459546925,169.00000000000003,57.00000000000001,-9.0,6.0,0.0,0.0,0.0,4.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
19,T,Bull Call Spread,20.74,422.00000000000006,3336.0254316577593,422.00000000000006,33.37,66.6,0.04914691943127961,231.00000000000006,77.0,-12.0,8.0,0.0,0.0,0.0,5.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
17,T,Bull Call Spread,13.84,329.0,2514.5190737433195,329.0,33.37,66.6,0.04206686930091185,178.0,58.00000000000001,-9.0,6.0,0.0,0.0,0.0,4.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
10,T,Bull Call Spread,8.56,216.0,1663.0127158288797,216.0,33.37,66.6,0.03962962962962963,116.00000000000001,38.00000000000001,-6.0,3.9999999999999996,0.0,0.0,0.0,3.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
14,T,Bull Call Spread,10.23,339.00000000000006,2504.5190737433195,339.00000000000006,33.37,66.6,0.030176991150442475,179.00000000000006,56.99999999999999,-9.0,6.000000000000001,0.0,0.0,0.0,5.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
16,T,Bull Call Spread,6.94,236.0,1693.0127158288797,236.0,33.37,66.6,0.02940677966101695,125.0,39.00000000000001,-6.0,3.9999999999999996,0.0,0.0,0.0,3.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
24,T,Bull Call Spread,5.03,182.0,1647.0127158288797,182.0,33.37,66.6,0.027637362637362637,104.0,40.0,-6.0,4.0,0.0,0.0,0.0,0.0,4.0,-2.0,0.0,0.0,0.0,0.0,0.0
21,T,Bull Call Spread,2.51,91.0,823.5063579144398,91.0,33.37,66.6,0.02758241758241758,52.0,20.0,-3.0,2.0,0.0,0.0,0.0,0.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0
5,T,Bull Call Spread,8.93,425.0,2568.5190737433195,425.0,49.52,50.46,0.02101176470588235,204.99999999999997,53.0,-9.0,6.0,4.0,0.0,4.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
20,T,Bull Call Spread,6.98,379.00000000000006,2564.5190737433195,379.00000000000006,33.37,66.6,0.01841688654353562,197.00000000000003,59.0,-9.0,6.000000000000001,0.0,0.0,0.0,5.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0
3,T,Bull Call Spread,7.16,402.0,2541.5190737433195,402.0,33.37,66.6,0.01781094527363184,195.0,53.0,-9.0,6.0,4.0,0.0,4.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,T,Bull Call Spread,7.3,445.0,2598.5190737433195,445.0,33.37,66.6,0.01640449438202247,214.0,54.0,-9.0,6.0,4.0,0.0,4.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
12,T,Bull Call Spread,3.33,246.0,1683.0127158288797,246.0,33.37,66.6,0.013536585365853658,126.00000000000003,38.0,-6.0,4.0,0.0,0.0,0.0,4.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
9,T,Bull Call Spread,1.66,123.0,841.5063579144398,123.0,33.37,66.6,0.013495934959349592,63.000000000000014,19.0,-3.0,2.0,0.0,0.0,0.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
4,T,Bull Call Spread,3.66,303.0,1726.0127158288797,303.0,49.52,50.46,0.01207920792079208,143.0,35.0,-6.0,3.9999999999999996,3.0,0.0,3.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,T,Bull Call Spread,1.9,280.0,1699.0127158288797,280.0,33.37,66.6,0.0067857142857142855,132.99999999999997,35.0,-6.0,3.9999999999999996,3.0,0.0,3.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,T,Bull Call Spread,2.04,323.0,1756.0127158288797,323.0,49.52,50.46,0.00631578947368421,151.99999999999997,36.00000000000001,-6.0,3.9999999999999996,3.0,0.0,3.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
