,C_100.0,C_1000000.0,C_101.0,C_34.0,C_35.0,C_35.5,C_36.0,C_95.0,C_96.0,C_97.0,C_97.5,C_98.0,C_98.5,C_99.0,C_99.5,Cost of Strategy,Exp_Pnl/Max_Loss,Expected PnL,Max_Loss,Max_Profit,Name,P_100.0,P_101.0,P_34.0,P_35.0,P_35.5,P_36.0,P_37.0,P_37.5,P_95.0,P_96.0,P_97.0,P_97.5,P_98.0,P_98.5,P_99.0,P_99.5,Prob of Loss,Prob of Profit,Strategy_Delta,Strategy_Gamma,Strategy_Rho,Strategy_Theta,Strategy_Vega,Underlying
130,,0.0,,0.0,0.0,0.0,1.0,,,,,,,,,75.0,0.32626666666666665,24.47,75.0,1313.0141510467347,Bull Call Spread,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,67.45,32.51,35.0,12.0,0.0,-4.0,2.0,TAP
131,,0.0,,0.0,0.0,0.0,1.0,,,,,,,,,75.0,0.32626666666666665,24.47,75.0,1313.0141510467347,Bull Call Spread,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,67.45,32.51,35.0,12.0,0.0,-4.0,2.0,TAP
132,,0.0,,0.0,0.0,0.0,1.0,,,,,,,,,75.0,0.32626666666666665,24.47,75.0,1313.0141510467347,Bull Call Spread,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,67.45,32.51,35.0,12.0,0.0,-4.0,2.0,TAP
133,,0.0,,0.0,0.0,0.0,1.0,,,,,,,,,75.0,0.32626666666666665,24.47,75.0,1313.0141510467347,Bull Call Spread,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,67.45,32.51,35.0,12.0,0.0,-4.0,2.0,TAP
134,,0.0,,0.0,0.0,0.0,1.0,,,,,,,,,75.0,0.32626666666666665,24.47,75.0,1313.0141510467347,Bull Call Spread,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,67.45,32.51,35.0,12.0,0.0,-4.0,2.0,TAP
155,,-1.0,,0.0,0.0,0.0,1.0,,,,,,,,,75.0,0.32626666666666665,24.47,75.0,1313.0141510467347,Bull Call Spread,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,67.45,32.51,35.0,12.0,0.0,-4.0,2.0,TAP
156,,-2.0,,0.0,0.0,0.0,1.0,,,,,,,,,75.0,0.32626666666666665,24.47,75.0,1313.0141510467347,Bull Call Spread,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,67.45,32.51,35.0,12.0,0.0,-4.0,2.0,TAP
157,,-3.0,,0.0,0.0,0.0,1.0,,,,,,,,,75.0,0.32626666666666665,24.47,75.0,1313.0141510467347,Bull Call Spread,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,67.45,32.51,35.0,12.0,0.0,-4.0,2.0,TAP
158,,-4.0,,0.0,0.0,0.0,1.0,,,,,,,,,75.0,0.32626666666666665,24.47,75.0,1313.0141510467347,Bull Call Spread,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,67.45,32.51,35.0,12.0,0.0,-4.0,2.0,TAP
159,,-5.0,,0.0,0.0,0.0,1.0,,,,,,,,,75.0,0.32626666666666665,24.47,75.0,1313.0141510467347,Bull Call Spread,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,67.45,32.51,35.0,12.0,0.0,-4.0,2.0,TAP
150,,0.0,,0.0,0.0,0.0,5.0,,,,,,,,,375.0,0.32624000000000003,122.34,375.0,6565.070755233674,Bull Call Spread,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,67.45,32.51,175.0,60.0,0.0,-20.0,10.0,TAP
151,,0.0,,0.0,0.0,0.0,5.0,,,,,,,,,375.0,0.32624000000000003,122.34,375.0,6565.070755233674,Bull Call Spread,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,67.45,32.51,175.0,60.0,0.0,-20.0,10.0,TAP
152,,0.0,,0.0,0.0,0.0,5.0,,,,,,,,,375.0,0.32624000000000003,122.34,375.0,6565.070755233674,Bull Call Spread,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,67.45,32.51,175.0,60.0,0.0,-20.0,10.0,TAP
153,,0.0,,0.0,0.0,0.0,5.0,,,,,,,,,375.0,0.32624000000000003,122.34,375.0,6565.070755233674,Bull Call Spread,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,67.45,32.51,175.0,60.0,0.0,-20.0,10.0,TAP
154,,0.0,,0.0,0.0,0.0,5.0,,,,,,,,,375.0,0.32624000000000003,122.34,375.0,6565.070755233674,Bull Call Spread,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,67.45,32.51,175.0,60.0,0.0,-20.0,10.0,TAP
175,,-1.0,,0.0,0.0,0.0,5.0,,,,,,,,,375.0,0.32624000000000003,122.34,375.0,6565.070755233674,Bull Call Spread,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,67.45,32.51,175.0,60.0,0.0,-20.0,10.0,TAP
176,,-2.0,,0.0,0.0,0.0,5.0,,,,,,,,,375.0,0.32624000000000003,122.34,375.0,6565.070755233674,Bull Call Spread,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,67.45,32.51,175.0,60.0,0.0,-20.0,10.0,TAP
177,,-3.0,,0.0,0.0,0.0,5.0,,,,,,,,,375.0,0.32624000000000003,122.34,375.0,6565.070755233674,Bull Call Spread,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,67.45,32.51,175.0,60.0,0.0,-20.0,10.0,TAP
178,,-4.0,,0.0,0.0,0.0,5.0,,,,,,,,,375.0,0.32624000000000003,122.34,375.0,6565.070755233674,Bull Call Spread,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,67.45,32.51,175.0,60.0,0.0,-20.0,10.0,TAP
179,,-5.0,,0.0,0.0,0.0,5.0,,,,,,,,,375.0,0.32624000000000003,122.34,375.0,6565.070755233674,Bull Call Spread,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,67.45,32.51,175.0,60.0,0.0,-20.0,10.0,TAP
145,,0.0,,0.0,0.0,0.0,4.0,,,,,,,,,300.0,0.3262333333333334,97.87,300.0,5252.056604186939,Bull Call Spread,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,67.45,32.51,140.0,48.0,0.0,-16.0,8.0,TAP
146,,0.0,,0.0,0.0,0.0,4.0,,,,,,,,,300.0,0.3262333333333334,97.87,300.0,5252.056604186939,Bull Call Spread,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,67.45,32.51,140.0,48.0,0.0,-16.0,8.0,TAP
147,,0.0,,0.0,0.0,0.0,4.0,,,,,,,,,300.0,0.3262333333333334,97.87,300.0,5252.056604186939,Bull Call Spread,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,67.45,32.51,140.0,48.0,0.0,-16.0,8.0,TAP
148,,0.0,,0.0,0.0,0.0,4.0,,,,,,,,,300.0,0.3262333333333334,97.87,300.0,5252.056604186939,Bull Call Spread,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,67.45,32.51,140.0,48.0,0.0,-16.0,8.0,TAP
149,,0.0,,0.0,0.0,0.0,4.0,,,,,,,,,300.0,0.3262333333333334,97.87,300.0,5252.056604186939,Bull Call Spread,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,67.45,32.51,140.0,48.0,0.0,-16.0,8.0,TAP
170,,-1.0,,0.0,0.0,0.0,4.0,,,,,,,,,300.0,0.3262333333333334,97.87,300.0,5252.056604186939,Bull Call Spread,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,67.45,32.51,140.0,48.0,0.0,-16.0,8.0,TAP
171,,-2.0,,0.0,0.0,0.0,4.0,,,,,,,,,300.0,0.3262333333333334,97.87,300.0,5252.056604186939,Bull Call Spread,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,67.45,32.51,140.0,48.0,0.0,-16.0,8.0,TAP
172,,-3.0,,0.0,0.0,0.0,4.0,,,,,,,,,300.0,0.3262333333333334,97.87,300.0,5252.056604186939,Bull Call Spread,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,67.45,32.51,140.0,48.0,0.0,-16.0,8.0,TAP
173,,-4.0,,0.0,0.0,0.0,4.0,,,,,,,,,300.0,0.3262333333333334,97.87,300.0,5252.056604186939,Bull Call Spread,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,67.45,32.51,140.0,48.0,0.0,-16.0,8.0,TAP
174,,-5.0,,0.0,0.0,0.0,4.0,,,,,,,,,300.0,0.3262333333333334,97.87,300.0,5252.056604186939,Bull Call Spread,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,67.45,32.51,140.0,48.0,0.0,-16.0,8.0,TAP
140,,0.0,,0.0,0.0,0.0,3.0,,,,,,,,,225.0,0.32622222222222225,73.4,225.0,3939.042453140204,Bull Call Spread,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,67.45,32.51,104.99999999999999,36.0,0.0,-12.0,6.0,TAP
141,,0.0,,0.0,0.0,0.0,3.0,,,,,,,,,225.0,0.32622222222222225,73.4,225.0,3939.042453140204,Bull Call Spread,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,67.45,32.51,104.99999999999999,36.0,0.0,-12.0,6.0,TAP
