Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_23.0,C_23.5,C_24.0,C_24.5,C_25.0,C_25.5,C_26.0,P_23.0,P_23.5,P_24.0,P_24.5,P_25.0,P_25.5,P_26.0
BAC,Bear Call Spread,-6.33,-23.0,23.0,77.0,65.11,34.87,-0.0822077922077922,-18.0,-7.000000000000001,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAC,Bear Call Spread,-10.34,-42.0,42.0,108.0,58.2,41.79,-0.09574074074074074,-28.999999999999996,-8.000000000000002,0.9999999999999999,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAC,Bear Call Spread,-13.46,-68.0,68.0,132.0,53.38,46.61,-0.10196969696969697,-41.0,-7.000000000000001,0.9999999999999999,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAC,Bear Call Spread,-16.36,-100.0,100.0,150.0,48.47,51.51,-0.10906666666666666,-51.0,-4.000000000000001,0.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAC,Bear Call Spread,-18.22,-138.0,138.0,162.0,46.02,53.97,-0.11246913580246913,-59.00000000000001,-1.0000000000000009,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAC,Bear Call Spread,-5.13,-7.0,7.0,43.0,71.48,28.5,-0.11930232558139535,-9.000000000000002,-4.000000000000001,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAC,Bear Call Spread,-12.32,-57.0,57.0,93.0,48.47,51.51,-0.1324731182795699,-31.999999999999996,-3.0,0.9999999999999999,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAC,Bear Call Spread,-9.21,-31.000000000000004,31.000000000000004,69.0,55.8,44.18,-0.13347826086956524,-19.999999999999996,-4.000000000000001,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAC,Bear Call Spread,-5.19,-12.000000000000004,12.000000000000004,38.0,62.86,37.12,-0.13657894736842105,-8.999999999999996,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAC,Bear Call Spread,-15.23,-89.0,89.0,111.0,46.02,53.97,-0.13720720720720722,-41.99999999999999,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
