Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_34.0,C_34.5,C_35.0,C_35.5,C_36.0,C_36.5,C_37.0,C_37.5,C_38.0,C_38.5,P_34.0,P_34.5,P_35.0,P_35.5,P_36.0,P_36.5,P_37.0,P_37.5,P_38.0,P_38.5
BK,Bear Call Spread,-13.66,-80.0,80.0,170.0,56.22,43.78,-0.08035294117647059,-40.0,-6.000000000000001,2.0,-0.9999999999999999,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BK,Bear Call Spread,-13.51,-55.0,55.0,145.0,59.85,40.15,-0.09317241379310345,-32.0,-6.000000000000001,0.9999999999999999,-0.9999999999999999,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BK,Bear Call Spread,-11.05,-55.0,55.0,95.0,53.79,46.21,-0.11631578947368422,-25.000000000000007,-2.0000000000000018,1.0000000000000002,-0.9999999999999999,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BK,Bear Call Spread,-16.65,-65.0,65.0,135.0,55.01,44.99,-0.12333333333333332,-36.00000000000001,-3.0,2.0,-0.9999999999999999,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BK,Bear Call Spread,-12.61,-15.0,15.0,85.0,67.59,32.41,-0.14835294117647058,-14.999999999999996,-3.9999999999999996,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BK,Bear Call Spread,-16.51,-40.0,40.0,110.0,57.43,42.57,-0.1500909090909091,-28.000000000000004,-3.0,0.9999999999999999,-0.9999999999999999,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BK,Bear Call Spread,-10.9,-30.0,30.0,70.0,56.22,43.78,-0.15571428571428572,-17.000000000000004,-2.0000000000000018,0.0,-0.9999999999999999,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BK,Bear Call Spread,-38.37,-155.0,155.0,245.0,47.2,52.8,-0.15661224489795916,-66.0,-2.0000000000000004,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BK,Bear Call Spread,-5.15,-20.0,20.0,30.0,48.6,51.4,-0.1716666666666667,-8.000000000000002,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BK,Bear Call Spread,-21.53,-25.0,25.0,125.0,62.32,37.68,-0.17224,-23.0,-6.000000000000001,0.9999999999999999,-0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BK,Bear Call Spread,-12.13,-35.0,35.0,65.0,51.27,48.73,-0.18661538461538463,-17.000000000000004,0.0,1.0000000000000002,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BK,Bear Call Spread,-42.48,-80.0,80.0,220.0,49.96,50.04,-0.19309090909090906,-49.0,-5.0,0.9999999999999999,-0.9999999999999999,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BK,Bear Call Spread,-41.37,-140.0,140.0,210.0,44.23,55.77,-0.19699999999999998,-62.000000000000014,1.0000000000000009,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BK,Bear Call Spread,-35.76,-130.0,130.0,170.0,42.66,57.34,-0.21035294117647058,-51.0,1.9999999999999991,-0.9999999999999999,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BK,Bear Call Spread,-65.46,-170.0,170.0,280.0,41.04,58.96,-0.23378571428571426,-86.0,11.0,-2.0,2.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BK,Bear Call Spread,-45.47,-65.0,65.0,185.0,48.6,51.4,-0.24578378378378377,-45.0,-1.9999999999999991,0.9999999999999999,-0.9999999999999999,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BK,Bear Call Spread,-36.84,-110.0,110.0,140.0,39.36,60.64,-0.2631428571428572,-43.00000000000001,4.000000000000001,-0.9999999999999999,0.9999999999999999,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BK,Bear Call Spread,-24.52,-10.0,10.0,90.0,59.85,40.15,-0.27244444444444443,-19.0,-3.0,0.9999999999999999,-0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
