Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_71.0,C_71.5,C_72.0,C_72.5,C_73.0,C_73.5,C_74.0,C_74.5,C_75.0,C_75.5,C_76.0,C_76.5,C_77.0,C_77.5,P_71.0,P_71.5,P_72.0,P_72.5,P_73.0,P_73.5,P_74.0,P_74.5,P_75.0,P_75.5,P_76.0,P_76.5,P_77.0,P_77.5
CL,Bear Call Spread,-20.77,-98.0,98.0,202.0,54.96,45.04,-0.10282178217821782,-28.999999999999996,-2.0000000000000004,1.9999999999999998,-1.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CL,Bear Call Spread,-19.03,-72.99999999999999,72.99999999999999,177.0,57.23,42.77,-0.10751412429378532,-23.0,-2.0000000000000004,1.9999999999999998,-1.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CL,Bear Call Spread,-25.12,-123.0,123.0,227.0,51.58,48.42,-0.11066079295154185,-34.0,-2.0000000000000004,1.9999999999999998,-1.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CL,Bear Call Spread,-27.92,-152.0,152.0,248.0,49.36,50.64,-0.11258064516129034,-38.99999999999999,-2.0000000000000004,1.9999999999999998,-1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CL,Bear Call Spread,-17.05,-51.0,51.0,149.0,60.64,39.36,-0.11442953020134229,-18.0,-2.0000000000000004,1.9999999999999998,-1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CL,Bear Call Spread,-13.89,-33.0,33.0,117.0,64.02,35.98,-0.11871794871794872,-14.000000000000002,-0.9999999999999996,1.0000000000000002,-1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CL,Bear Call Spread,-36.05,-214.0,214.0,286.0,45.02,54.98,-0.12604895104895103,-48.00000000000001,-0.9999999999999996,1.0000000000000002,-1.0000000000000002,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CL,Bear Call Spread,-39.51,-288.0,288.0,312.0,42.91,57.09,-0.12663461538461537,-56.00000000000001,0.9999999999999996,1.0000000000000002,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CL,Bear Call Spread,-36.97,-177.0,177.0,273.0,47.17,52.83,-0.13542124542124542,-43.0,-0.9999999999999996,1.9999999999999998,-1.0000000000000002,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CL,Bear Call Spread,-45.52,-323.0,323.0,327.0,40.86,59.14,-0.13920489296636088,-59.00000000000001,0.9999999999999996,1.0000000000000002,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CL,Bear Call Spread,-11.56,-17.0,17.0,83.0,68.42,31.58,-0.13927710843373495,-8.000000000000002,-0.9999999999999996,1.0000000000000002,-1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CL,Bear Call Spread,-44.96,-243.0,243.0,307.0,42.91,57.09,-0.14644951140065146,-52.0,0.0,1.0000000000000002,-1.0000000000000002,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CL,Bear Call Spread,-20.2,-70.0,70.0,130.0,51.58,48.42,-0.15538461538461537,-20.999999999999996,-1.0000000000000009,0.9999999999999996,-0.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
