Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_37.0,C_37.5,C_38.0,C_38.5,C_39.0,C_39.5,C_40.0,C_40.5,C_41.0,C_41.5,C_42.0,C_42.5,C_43.0,C_43.5,C_44.0,P_37.0,P_37.5,P_38.0,P_38.5,P_39.0,P_39.5,P_40.0,P_40.5,P_41.0,P_41.5,P_42.0,P_42.5,P_43.0,P_43.5,P_44.0
COP,Bear Call Spread,-26.27,-52.0,52.0,198.0,61.1,38.89,-0.13267676767676767,-23.0,-3.0,3.0,-0.9999999999999999,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COP,Bear Call Spread,-34.46,-94.0,94.0,256.0,54.33,45.66,-0.134609375,-32.99999999999999,-3.0,3.0,-0.9999999999999999,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COP,Bear Call Spread,-30.91,-71.0,71.0,229.0,57.76,42.24,-0.13497816593886464,-28.000000000000004,-3.9999999999999996,3.0,-0.9999999999999999,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COP,Bear Call Spread,-42.17,-148.0,148.0,302.0,49.69,50.3,-0.13963576158940397,-42.99999999999999,-3.0,3.0,-0.9999999999999999,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COP,Bear Call Spread,-39.91,-118.0,118.0,282.0,52.02,47.97,-0.14152482269503544,-38.0,-3.0,3.0,-0.9999999999999999,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COP,Bear Call Spread,-46.12,-179.0,179.0,321.0,47.36,52.63,-0.14367601246105918,-48.0,-1.9999999999999991,3.0,-0.9999999999999999,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COP,Bear Call Spread,-24.48,-33.0,33.0,167.0,64.35,35.64,-0.14658682634730538,-17.0,-3.0,2.0000000000000004,-0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COP,Bear Call Spread,-50.55,-212.0,212.0,338.0,45.03,54.96,-0.14955621301775146,-52.99999999999999,-1.9999999999999991,2.0000000000000004,-0.9999999999999999,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COP,Bear Call Spread,-32.55,-85.0,85.0,215.0,54.33,45.66,-0.1513953488372093,-28.999999999999996,-2.0000000000000004,1.9999999999999998,-0.9999999999999999,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COP,Bear Call Spread,-40.26,-139.0,139.0,261.0,48.53,51.47,-0.15425287356321837,-38.99999999999999,-2.0000000000000004,1.9999999999999998,-0.9999999999999999,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COP,Bear Call Spread,-29.0,-62.0,62.0,188.0,56.62,43.37,-0.15425531914893617,-24.0,-3.0,1.9999999999999998,-0.9999999999999999,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COP,Bear Call Spread,-24.36,-43.0,43.0,157.0,60.0,40.0,-0.1551592356687898,-19.0,-2.0000000000000004,1.9999999999999998,-0.9999999999999999,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COP,Bear Call Spread,-13.98,-10.0,10.0,90.0,72.39,27.6,-0.15533333333333335,-9.0,-0.9999999999999996,2.0000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COP,Bear Call Spread,-55.24,-247.0,247.0,353.0,43.87,56.12,-0.1564872521246459,-57.99999999999999,-0.9999999999999996,2.0000000000000004,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COP,Bear Call Spread,-38.0,-109.0,109.0,241.0,50.86,49.14,-0.15767634854771784,-34.0,-2.0000000000000004,1.9999999999999998,-0.9999999999999999,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COP,Bear Call Spread,-44.21,-170.0,170.0,280.0,46.2,53.8,-0.15789285714285714,-44.0,-0.9999999999999996,1.9999999999999998,-0.9999999999999999,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COP,Bear Call Spread,-57.9,-286.0,286.0,364.0,42.71,57.28,-0.15906593406593406,-61.0,0.0,1.0000000000000002,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COP,Bear Call Spread,-21.44,-18.0,18.0,132.0,68.5,31.5,-0.16242424242424244,-12.999999999999998,-1.9999999999999991,2.0000000000000004,-0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COP,Bear Call Spread,-48.64,-203.0,203.0,297.0,43.87,56.12,-0.16377104377104376,-48.99999999999999,-0.9999999999999996,1.0000000000000002,-0.9999999999999999,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COP,Bear Call Spread,-61.27,-326.0,326.0,374.0,41.56,58.44,-0.1638235294117647,-63.0,1.0000000000000009,2.0000000000000004,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COP,Bear Call Spread,-53.33,-238.0,238.0,312.0,42.71,57.28,-0.17092948717948717,-54.0,0.0,1.0000000000000002,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COP,Bear Call Spread,-55.99,-277.0,277.0,323.0,41.56,58.44,-0.173343653250774,-57.00000000000001,0.9999999999999996,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COP,Bear Call Spread,-59.36,-317.0,317.0,333.0,40.41,59.58,-0.17825825825825825,-59.00000000000001,2.0000000000000004,1.0000000000000002,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COP,Bear Call Spread,-22.57,-24.0,24.0,126.0,63.28,36.71,-0.17912698412698413,-13.0,-2.0000000000000004,1.0000000000000002,-0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COP,Bear Call Spread,-47.19,-119.0,119.0,231.0,46.2,53.8,-0.20428571428571426,-34.0,-2.0000000000000004,0.9999999999999996,-0.9999999999999999,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COP,Bear Call Spread,-51.14,-150.0,150.0,250.0,43.87,56.12,-0.20456,-39.0,-0.9999999999999996,0.9999999999999996,-0.9999999999999999,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COP,Bear Call Spread,-55.57,-183.0,183.0,267.0,41.56,58.44,-0.20812734082397003,-43.99999999999999,-0.9999999999999996,0.0,-0.9999999999999999,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COP,Bear Call Spread,-43.68,-142.0,142.0,208.0,42.71,57.28,-0.21,-35.0,0.0,0.9999999999999996,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COP,Bear Call Spread,-39.73,-111.0,111.0,189.0,45.03,54.96,-0.21021164021164018,-30.0,-1.0000000000000009,0.9999999999999996,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COP,Bear Call Spread,-44.92,-89.0,89.0,211.0,48.53,51.47,-0.21289099526066352,-29.000000000000004,-2.0000000000000004,0.9999999999999996,-0.9999999999999999,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COP,Bear Call Spread,-39.48,-65.0,65.0,185.0,52.02,47.97,-0.2134054054054054,-24.0,-2.0000000000000004,0.9999999999999996,-0.9999999999999999,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COP,Bear Call Spread,-60.25,-218.0,218.0,282.0,40.41,59.58,-0.21365248226950354,-49.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COP,Bear Call Spread,-48.11,-175.0,175.0,225.0,41.56,58.44,-0.21382222222222222,-40.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COP,Bear Call Spread,-19.53,-9.0,9.0,91.0,67.48,32.51,-0.21461538461538462,-8.999999999999996,-0.9999999999999996,1.0000000000000002,-0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
