Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_155.0,C_157.5,C_160.0,C_162.5,C_165.0,C_167.5,C_170.0,C_172.5,C_175.0,P_155.0,P_157.5,P_160.0,P_162.5,P_165.0,P_167.5,P_170.0,P_172.5,P_175.0
FDX,Bear Call Spread,-58.51,-283.0,283.0,717.0,58.5,41.5,-0.08160390516039051,-34.0,-1.0000000000000002,6.0,-3.9999999999999996,-1.9999999999999998,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FDX,Bear Call Spread,-59.1,-550.0,550.0,700.0,48.28,51.72,-0.08442857142857144,-45.00000000000001,0.0,4.000000000000001,-0.9999999999999996,-1.9999999999999998,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FDX,Bear Call Spread,-48.09,-240.0,240.0,510.0,56.43,43.57,-0.09429411764705883,-28.000000000000004,-1.0000000000000002,3.0,-1.9999999999999991,-1.9999999999999998,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FDX,Bear Call Spread,-52.92,-484.0,484.0,516.0,45.67,54.33,-0.10255813953488373,-37.00000000000001,1.0000000000000002,3.0,0.0,-0.9999999999999999,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FDX,Bear Call Spread,-70.91,-364.99999999999994,364.99999999999994,635.0,51.31,48.69,-0.11166929133858267,-37.0,-1.0000000000000002,4.000000000000001,-1.9999999999999991,-1.9999999999999998,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FDX,Bear Call Spread,-69.97,-874.0,874.0,626.0,40.93,59.07,-0.11177316293929712,-51.0,2.0,-2.0000000000000004,3.0,-2.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FDX,Bear Call Spread,-42.91,-399.0,399.0,351.0,41.79,58.21,-0.12225071225071224,-29.000000000000004,2.0000000000000004,4.000000000000001,0.9999999999999996,-0.9999999999999999,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FDX,Bear Call Spread,-72.85,-658.9999999999999,658.9999999999999,591.0000000000001,42.22,57.78,-0.12326565143824024,-46.0,1.0000000000000002,-1.0000000000000009,2.0000000000000004,-2.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FDX,Bear Call Spread,-41.9,-174.0,174.0,326.0,53.89,46.11,-0.1285276073619632,-20.0,0.0,1.9999999999999991,-0.9999999999999996,-0.9999999999999999,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FDX,Bear Call Spread,-59.96,-789.0,789.0,461.0,37.14,62.86,-0.13006507592190888,-42.99999999999999,3.0000000000000004,-0.9999999999999996,3.9999999999999996,-2.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FDX,Bear Call Spread,-64.72,-298.99999999999994,298.99999999999994,451.00000000000006,48.28,51.72,-0.14350332594235032,-28.999999999999996,0.0,3.0,-0.9999999999999996,-0.9999999999999999,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FDX,Bear Call Spread,-62.84,-573.9999999999999,573.9999999999999,426.0000000000001,38.81,61.19,-0.14751173708920184,-38.0,2.0000000000000004,0.0,3.0,-2.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FDX,Bear Call Spread,-38.42,-15.0,15.0,235.0,75.66,24.34,-0.16348936170212766,-6.0,0.0,3.0,-2.0000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FDX,Bear Call Spread,-58.06,-670.0,670.0,330.0,32.29,67.71,-0.17593939393939395,-30.999999999999993,2.0,-3.9999999999999996,3.9999999999999996,-1.0000000000000002,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FDX,Bear Call Spread,-84.61,-41.0,41.0,459.0,68.15,31.85,-0.1843355119825708,-13.999999999999998,-1.0000000000000002,4.000000000000001,-3.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FDX,Bear Call Spread,-41.01,-279.99999999999994,279.99999999999994,220.00000000000006,36.72,63.28,-0.18640909090909086,-17.000000000000004,1.0000000000000002,1.0000000000000009,0.9999999999999996,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FDX,Bear Call Spread,-54.72,-213.99999999999994,213.99999999999994,286.00000000000006,44.81,55.19,-0.1913286713286713,-20.999999999999996,1.0000000000000002,4.000000000000001,0.0,-0.9999999999999999,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FDX,Bear Call Spread,-31.9,-89.0,89.0,161.0,50.02,49.98,-0.19813664596273292,-12.0,1.0000000000000002,3.0,0.0,-0.9999999999999999,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FDX,Bear Call Spread,-60.94,-454.99999999999983,454.99999999999983,295.00000000000017,33.87,66.13,-0.20657627118644056,-26.0,1.0000000000000002,-3.0,3.0,-1.0000000000000002,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FDX,Bear Call Spread,-172.61,-48.0,48.0,702.0,58.91,41.09,-0.2458831908831909,-22.0,-2.0000000000000004,3.0,-3.9999999999999996,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FDX,Bear Call Spread,-162.19,-5.0,5.0,495.0,57.26,42.74,-0.32765656565656565,-16.0,-2.0000000000000004,0.0,-1.9999999999999991,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FDX,Bear Call Spread,-52.82,-94.99999999999989,94.99999999999989,155.0000000000001,39.65,60.35,-0.34077419354838684,-8.999999999999996,0.0,1.0000000000000009,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FDX,Bear Call Spread,-115.24,-465.0,465.0,285.0,24.95,75.05,-0.40435087719298246,-21.999999999999996,2.0,-5.0,3.9999999999999996,-1.0000000000000002,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FDX,Bear Call Spread,-118.12,-249.9999999999999,249.9999999999999,250.0000000000001,25.98,74.02,-0.4724799999999998,-17.000000000000004,1.0000000000000002,-4.000000000000001,3.0,-1.0000000000000002,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FDX,Bear Call Spread,-112.05,-295.0,295.0,205.0,19.61,80.39,-0.5465853658536586,-13.99999999999999,0.9999999999999999,-5.0,3.0,-1.0000000000000002,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FDX,Bear Call Spread,-47.12,-165.0000000000001,165.0000000000001,84.99999999999989,16.1,83.9,-0.5543529411764713,-4.999999999999993,0.9999999999999999,-0.9999999999999996,0.9999999999999996,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FDX,Bear Call Spread,-98.19,-75.0,75.0,175.0,28.85,71.15,-0.5610857142857143,-8.000000000000007,1.0000000000000002,0.0,0.9999999999999996,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FDX,Bear Call Spread,-114.93,-79.99999999999989,79.99999999999989,170.0000000000001,20.49,79.51,-0.6760588235294114,-8.999999999999996,0.0,-4.000000000000001,2.0000000000000004,-1.0000000000000002,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FDX,Bear Put Spread,-63.1,703.9999999999999,546.0000000000001,703.9999999999999,48.28,51.72,-0.08963068181818183,-48.00000000000001,0.0,9.0,-3.0,-3.0000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0
FDX,Bear Put Spread,-41.96,443.0,807.0,443.0,37.97,62.03,-0.09471783295711061,-44.99999999999999,3.0000000000000004,-0.9999999999999996,3.9999999999999996,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
FDX,Bear Put Spread,-60.91,624.9999999999999,375.0000000000001,624.9999999999999,51.74,48.26,-0.09745600000000001,-41.0,-1.0000000000000002,7.000000000000001,-3.9999999999999996,-3.0000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0
FDX,Bear Put Spread,-36.06,308.0,692.0,308.0,33.47,66.53,-0.11707792207792209,-31.999999999999996,2.0,-3.9999999999999996,3.9999999999999996,-1.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
FDX,Bear Put Spread,-40.91,349.0,401.0,349.0,41.79,58.21,-0.11722063037249282,-28.999999999999996,2.0000000000000004,6.0,0.9999999999999996,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0
FDX,Bear Put Spread,-63.09,524.9999999999999,225.0000000000001,524.9999999999999,56.01,43.99,-0.12017142857142861,-32.00000000000001,-1.0000000000000002,6.0,-3.9999999999999996,-2.0000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0
