Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_141.0,C_142.0,C_143.0,C_144.0,C_145.0,C_146.0,C_147.0,C_148.0,C_149.0,C_150.0,C_152.5,C_155.0,C_157.5,P_141.0,P_142.0,P_143.0,P_144.0,P_145.0,P_146.0,P_147.0,P_148.0,P_149.0,P_150.0,P_152.5,P_155.0,P_157.5
GD,Bear Call Spread,-10.04,-245.0,245.0,355.0,53.97,45.5,-0.028281690140845066,-25.000000000000007,0.0,3.0,-0.9999999999999996,-0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GD,Bear Call Spread,-25.17,-295.0,295.0,405.0,50.64,48.83,-0.062148148148148154,-28.999999999999996,0.0,2.0000000000000018,-0.9999999999999996,-0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GD,Bear Call Spread,-21.28,-175.0,175.0,325.0,55.94,43.53,-0.06547692307692309,-21.000000000000004,0.0,3.0,-0.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GD,Bear Call Spread,-18.89,-60.00000000000003,60.00000000000003,189.99999999999997,64.66,34.8,-0.09942105263157897,-10.999999999999998,0.0,2.0000000000000018,-0.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GD,Bear Call Spread,-46.3,-345.0,345.0,455.0,47.27,52.19,-0.10175824175824175,-33.0,0.0,2.0000000000000018,-0.9999999999999996,-0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GD,Bear Call Spread,-52.92,-415.0,415.0,485.0,45.25,54.21,-0.10911340206185567,-37.00000000000001,0.0,2.0000000000000018,0.0,-0.9999999999999999,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GD,Bear Call Spread,-75.01,-230.0,230.0,620.0,53.31,46.16,-0.12098387096774195,-30.000000000000004,-1.0000000000000002,3.0,-2.0000000000000004,-1.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GD,Bear Call Spread,-64.14,-485.0,485.0,515.0,43.24,56.23,-0.12454368932038835,-40.0,1.0000000000000002,2.0000000000000018,0.0,-0.9999999999999999,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GD,Bear Call Spread,-90.13,-280.0,280.0,670.0,49.97,49.5,-0.1345223880597015,-34.0,-1.0000000000000002,2.0000000000000018,-2.0000000000000004,-1.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GD,Bear Call Spread,-86.25,-160.0,160.0,590.0,55.29,44.18,-0.1461864406779661,-26.0,-1.0000000000000002,3.0,-2.0000000000000004,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GD,Bear Call Spread,-87.29,-634.9999999999999,634.9999999999999,565.0000000000001,39.91,59.55,-0.1544955752212389,-47.0,1.0000000000000002,0.0,1.0000000000000009,-0.9999999999999999,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GD,Bear Call Spread,-111.27,-330.0,330.0,720.0,46.6,52.87,-0.15454166666666666,-38.0,-1.0000000000000002,2.0000000000000018,-2.0000000000000004,-1.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GD,Bear Call Spread,-97.73,-715.0,715.0,585.0,38.6,60.87,-0.16705982905982908,-45.0,2.0,3.0,1.0000000000000009,-0.9999999999999999,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GD,Bear Call Spread,-99.94,-805.0,805.0,595.0,37.95,61.52,-0.16796638655462184,-47.0,2.0,3.0,1.0000000000000009,-0.9999999999999999,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GD,Bear Call Spread,-99.07,-535.0,535.0,565.0,39.91,59.55,-0.17534513274336283,-44.0,1.0000000000000002,0.0,1.0000000000000009,-0.9999999999999999,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GD,Bear Call Spread,-83.86,-45.00000000000003,45.00000000000003,455.0,63.48,35.99,-0.1843076923076923,-15.999999999999998,-1.0000000000000002,2.0000000000000018,-2.0000000000000004,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GD,Bear Call Spread,-55.81,-120.0,120.0,230.0,45.92,53.54,-0.2426521739130435,-14.000000000000007,0.0,0.9999999999999981,0.0,-0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GD,Bear Call Spread,-70.93,-170.0,170.0,280.0,42.57,56.9,-0.2533214285714286,-18.0,0.0,0.0,0.0,-0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GD,Bear Call Spread,-98.68,-290.0,290.0,360.0,37.3,62.17,-0.27411111111111114,-26.000000000000007,0.0,0.0,0.9999999999999996,-0.9999999999999999,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GD,Bear Call Spread,-92.07,-220.0,220.0,330.0,39.25,60.21,-0.27899999999999997,-22.000000000000004,0.0,0.0,0.0,-0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GD,Bear Call Spread,-109.91,-360.0,360.0,390.0,35.38,64.09,-0.2818205128205128,-28.999999999999996,1.0000000000000002,0.0,0.9999999999999996,-0.9999999999999999,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GD,Bear Call Spread,-133.05,-509.9999999999999,509.9999999999999,440.0000000000001,32.27,67.2,-0.30238636363636356,-36.00000000000001,1.0000000000000002,-2.0000000000000018,2.0000000000000004,-0.9999999999999999,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GD,Bear Call Spread,-145.7,-680.0,680.0,470.0,30.46,69.0,-0.31,-36.00000000000001,2.0,0.9999999999999981,2.0000000000000004,-0.9999999999999999,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GD,Bear Call Spread,-143.49,-590.0,590.0,460.0,31.06,68.41,-0.31193478260869567,-34.0,2.0,0.9999999999999981,2.0000000000000004,-0.9999999999999999,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GD,Bear Call Spread,-144.83,-410.0,410.0,440.0,32.27,67.2,-0.32915909090909096,-33.0,1.0000000000000002,-2.0000000000000018,2.0000000000000004,-0.9999999999999999,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GD,Bear Call Spread,-67.05,-50.0,50.0,200.0,47.95,51.52,-0.33525,-10.000000000000004,0.0,0.9999999999999981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GD,Bear Call Spread,-92.59,-260.00000000000006,260.00000000000006,239.99999999999994,29.29,70.18,-0.38579166666666675,-18.999999999999993,1.0000000000000002,-0.9999999999999981,0.9999999999999996,-0.9999999999999999,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GD,Bear Call Spread,-81.37,-190.00000000000006,190.00000000000006,209.99999999999994,31.06,68.41,-0.3874761904761906,-16.000000000000004,0.0,-0.9999999999999981,0.9999999999999996,-0.9999999999999999,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GD,Bear Call Spread,-115.74,-409.99999999999994,409.99999999999994,290.00000000000006,26.47,73.0,-0.39910344827586197,-26.0,1.0000000000000002,-3.0,2.0000000000000004,-0.9999999999999999,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GD,Bear Call Spread,-128.39,-580.0,580.0,320.0,24.86,74.6,-0.40121874999999996,-26.0,2.0,0.0,2.0000000000000004,-0.9999999999999999,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GD,Bear Call Spread,-126.18,-490.00000000000006,490.00000000000006,309.99999999999994,25.39,74.07,-0.4070322580645162,-24.0,2.0,0.0,2.0000000000000004,-0.9999999999999999,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GD,Bear Call Spread,-53.62,-70.00000000000006,70.00000000000006,129.99999999999994,36.01,63.45,-0.4124615384615386,-7.9999999999999964,0.0,-0.9999999999999981,0.0,-0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GD,Bear Call Spread,-74.75,-120.00000000000006,120.00000000000006,179.99999999999994,32.88,66.59,-0.4152777777777779,-12.0,0.0,-0.9999999999999981,0.0,-0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GD,Bear Call Spread,-127.52,-310.00000000000006,310.00000000000006,289.99999999999994,26.47,73.0,-0.43972413793103454,-23.0,1.0000000000000002,-3.0,2.0000000000000004,-0.9999999999999999,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GD,Bear Call Spread,-129.68,-520.0,520.0,280.0,21.85,77.62,-0.4631428571428572,-21.999999999999996,2.0,0.0,2.0000000000000004,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GD,Bear Call Spread,-117.03,-349.9999999999999,349.9999999999999,250.0000000000001,23.32,76.15,-0.4681199999999998,-21.999999999999996,1.0000000000000002,-3.0,2.0000000000000004,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GD,Bear Call Spread,-93.88,-200.0,200.0,200.0,25.93,73.54,-0.4694,-14.999999999999991,1.0000000000000002,-0.9999999999999981,0.9999999999999996,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GD,Bear Call Spread,-127.47,-430.0,430.0,270.0,22.33,77.14,-0.4721111111111111,-19.999999999999996,2.0,0.0,2.0000000000000004,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GD,Bear Call Spread,-38.49,-20.000000000000057,20.000000000000057,79.99999999999994,39.25,60.21,-0.48112500000000036,-4.0000000000000036,0.0,0.0,0.0,-0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GD,Bear Call Spread,-82.66,-130.0,130.0,170.0,27.58,71.89,-0.48623529411764704,-12.0,0.0,-0.9999999999999981,0.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GD,Bear Call Spread,-114.55,-470.0,470.0,230.0,19.55,79.92,-0.49804347826086953,-18.000000000000004,2.0,0.9999999999999981,2.0000000000000004,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GD,Bear Call Spread,-101.91,-299.9999999999999,299.9999999999999,200.0000000000001,20.9,78.56,-0.5095499999999997,-18.000000000000004,1.0000000000000002,-2.0000000000000018,2.0000000000000004,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GD,Bear Call Spread,-112.34,-380.0,380.0,220.0,19.99,79.47,-0.5106363636363637,-16.000000000000004,2.0,0.9999999999999981,2.0000000000000004,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GD,Bear Call Spread,-128.81,-250.0,250.0,250.0,23.32,76.15,-0.51524,-18.999999999999993,1.0000000000000002,-3.0,2.0000000000000004,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GD,Bear Call Spread,-78.76,-150.0,150.0,150.0,23.32,76.15,-0.5250666666666667,-10.999999999999998,1.0000000000000002,0.0,0.9999999999999996,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GD,Bear Call Spread,-76.05,-60.0,60.0,140.0,29.29,70.18,-0.5432142857142856,-7.9999999999999964,0.0,-0.9999999999999981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GD,Bear Call Spread,-67.53,-80.0,80.0,120.0,24.86,74.6,-0.56275,-8.000000000000007,0.0,0.0,0.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GD,Bear Call Spread,-113.69,-200.0,200.0,200.0,20.9,78.56,-0.56845,-15.000000000000002,1.0000000000000002,-2.0000000000000018,2.0000000000000004,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GD,Bear Call Spread,-123.26,-390.0,390.0,210.0,16.29,83.17,-0.586952380952381,-14.000000000000002,2.0,0.9999999999999981,2.0000000000000004,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GD,Bear Call Spread,-121.05,-300.0,300.0,200.0,16.67,82.79,-0.60525,-12.0,2.0,0.9999999999999981,2.0000000000000004,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GD,Bear Call Spread,-54.91,-10.0,10.0,90.0,32.27,67.2,-0.610111111111111,-3.9999999999999925,0.0,-0.9999999999999981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GD,Bear Call Spread,-110.61,-219.9999999999999,219.9999999999999,180.0000000000001,17.45,82.01,-0.6144999999999996,-14.000000000000002,1.0000000000000002,-2.0000000000000018,2.0000000000000004,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GD,Bear Call Spread,-116.65,-320.0,320.0,180.0,13.87,85.6,-0.6480555555555556,-9.999999999999998,2.0,0.9999999999999981,1.0000000000000009,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GD,Bear Call Spread,-87.46,-70.0,70.0,130.0,19.55,79.92,-0.6727692307692307,-6.999999999999995,1.0000000000000002,0.0,0.9999999999999996,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GD,Bear Call Spread,-114.44,-230.0,230.0,170.0,14.19,85.28,-0.6731764705882353,-7.9999999999999964,2.0,0.9999999999999981,1.0000000000000009,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GD,Bear Call Spread,-60.92,-10.0,10.0,90.0,26.47,73.0,-0.6768888888888889,-4.0000000000000036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GD,Bear Call Spread,-122.39,-120.0,120.0,180.0,17.45,82.01,-0.6799444444444445,-10.999999999999998,1.0000000000000002,-2.0000000000000018,2.0000000000000004,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GD,Bear Call Spread,-104.0,-149.9999999999999,149.9999999999999,150.0000000000001,14.86,84.61,-0.6933333333333328,-9.999999999999998,1.0000000000000002,-2.0000000000000018,1.0000000000000009,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GD,Bear Call Spread,-115.37,-240.0,240.0,160.0,11.55,87.91,-0.7210625,-7.000000000000006,0.9999999999999999,0.9999999999999981,1.0000000000000009,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GD,Bear Call Spread,-80.44,-190.0,190.0,110.0,10.34,89.13,-0.7312727272727273,-3.0000000000000027,0.9999999999999999,3.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GD,Bear Call Spread,-113.16,-150.0,150.0,150.0,11.81,87.65,-0.7544,-5.000000000000004,0.9999999999999999,0.9999999999999981,1.0000000000000009,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GD,Bear Call Spread,-115.78,-50.0,50.0,150.0,14.86,84.61,-0.7718666666666667,-6.999999999999995,1.0000000000000002,-2.0000000000000018,1.0000000000000009,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GD,Bear Call Spread,-78.23,-100.0,100.0,100.0,10.57,88.9,-0.7823,-1.0000000000000009,0.9999999999999999,3.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GD,Bear Call Spread,-102.72,-69.99999999999989,69.99999999999989,130.0000000000001,12.36,87.1,-0.7901538461538454,-7.000000000000006,0.0,-2.0000000000000018,1.0000000000000009,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GD,Bear Call Spread,-72.33,-109.99999999999989,109.99999999999989,90.00000000000011,8.72,90.74,-0.8036666666666656,0.0,0.9999999999999999,3.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GD,Bear Call Spread,-67.79,-19.999999999999886,19.999999999999886,80.00000000000011,11.04,88.42,-0.8473749999999989,-3.0000000000000027,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GD,Bear Call Spread,-70.12,-19.999999999999886,19.999999999999886,80.00000000000011,8.91,90.56,-0.8764999999999988,2.0000000000000018,0.9999999999999999,3.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GD,Bear Put Spread,-24.96,370.0,230.0,370.0,53.31,46.16,-0.06745945945945946,-25.999999999999996,0.0,5.000000000000002,-0.9999999999999996,-1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0
GD,Bear Put Spread,-36.2,340.0,160.0,340.0,55.29,44.18,-0.10647058823529412,-21.999999999999996,0.0,3.0,-0.9999999999999996,-1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0
GD,Bear Put Spread,-69.23,535.0,565.0,535.0,41.9,57.57,-0.12940186915887852,-44.99999999999999,1.0000000000000002,1.0000000000000009,1.0000000000000009,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
