Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_24.0,C_24.5,C_25.0,C_25.5,C_26.0,C_26.5,C_27.0,C_27.5,C_28.0,C_28.5,P_24.0,P_24.5,P_25.0,P_25.5,P_26.0,P_26.5,P_27.0,P_27.5,P_28.0,P_28.5
GM,Bear Call Spread,-13.96,-37.0,37.0,113.0,60.6,39.01,-0.12353982300884957,-17.999999999999996,-3.0000000000000013,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GM,Bear Call Spread,-19.4,-56.0,56.0,144.0,56.03,43.59,-0.13472222222222222,-24.999999999999996,-3.9999999999999996,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GM,Bear Call Spread,-12.43,-18.000000000000007,18.000000000000007,82.0,64.97,34.65,-0.15158536585365853,-11.000000000000002,-3.0000000000000013,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GM,Bear Call Spread,-11.37,-26.0,26.0,74.0,59.1,40.52,-0.15364864864864863,-12.999999999999995,-2.0000000000000018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GM,Bear Call Spread,-26.84,-76.99999999999999,76.99999999999999,173.0,51.3,48.32,-0.15514450867052024,-33.00000000000001,-3.9999999999999996,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GM,Bear Call Spread,-30.24,-106.0,106.0,194.0,48.1,51.52,-0.1558762886597938,-40.0,-3.0000000000000013,1.0000000000000002,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GM,Bear Call Spread,-16.81,-45.0,45.0,105.0,54.46,45.15,-0.1600952380952381,-19.999999999999996,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GM,Bear Call Spread,-34.32,-138.0,138.0,212.0,44.88,54.73,-0.1618867924528302,-47.0,-2.0000000000000004,1.0000000000000002,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GM,Bear Call Spread,-36.66,-175.0,175.0,225.0,43.28,56.34,-0.16293333333333332,-53.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GM,Bear Call Spread,-27.66,-95.0,95.0,155.0,46.49,53.13,-0.1784516129032258,-35.0,-2.0000000000000018,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GM,Bear Call Spread,-42.75,-211.00000000000003,211.00000000000003,238.99999999999997,40.09,59.53,-0.1788702928870293,-57.00000000000001,2.0000000000000004,0.0,1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GM,Bear Call Spread,-24.26,-65.99999999999999,65.99999999999999,134.0,49.7,49.92,-0.181044776119403,-28.000000000000004,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GM,Bear Call Spread,-34.08,-164.0,164.0,186.0,41.68,57.94,-0.1832258064516129,-48.0,0.9999999999999996,-1.0000000000000002,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GM,Bear Call Spread,-31.73,-127.0,127.0,173.0,43.28,56.34,-0.18341040462427746,-41.99999999999999,-1.0000000000000009,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GM,Bear Call Spread,-12.95,-32.0,32.0,68.0,51.3,48.32,-0.19044117647058822,-13.999999999999996,-0.9999999999999981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GM,Bear Call Spread,-40.17,-200.00000000000003,200.00000000000003,199.99999999999997,38.51,61.1,-0.20085000000000003,-52.0,3.0,-1.0000000000000002,1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GM,Bear Call Spread,-23.79,-82.0,82.0,118.0,43.28,56.34,-0.2016101694915254,-28.999999999999996,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GM,Bear Call Spread,-30.21,-151.0,151.0,149.0,38.51,61.1,-0.202751677852349,-42.0,3.0000000000000013,-1.0000000000000002,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GM,Bear Call Spread,-7.51,-13.0,13.0,37.0,57.57,42.04,-0.20297297297297295,-6.999999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GM,Bear Call Spread,-27.86,-114.0,114.0,136.0,41.68,57.94,-0.20485294117647057,-35.99999999999999,1.0000000000000009,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GM,Bear Call Spread,-9.56,-4.0,4.0,46.0,70.37,29.25,-0.20782608695652174,-5.000000000000002,-0.9999999999999996,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GM,Bear Call Spread,-20.39,-52.999999999999986,52.999999999999986,97.00000000000001,48.1,51.52,-0.2102061855670103,-22.000000000000004,-0.9999999999999981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GM,Bear Call Spread,-36.3,-187.00000000000003,187.00000000000003,162.99999999999997,36.95,62.67,-0.2226993865030675,-46.0,5.000000000000002,-1.0000000000000002,1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GM,Bear Call Spread,-9.84,-7.000000000000007,7.000000000000007,42.99999999999999,63.54,36.08,-0.22883720930232562,-6.0,-2.0000000000000018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
