Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_142.0,C_143.0,C_144.0,C_145.0,C_146.0,C_147.0,C_148.0,C_149.0,C_150.0,C_152.5,C_155.0,C_157.5,P_142.0,P_143.0,P_144.0,P_145.0,P_146.0,P_147.0,P_148.0,P_149.0,P_150.0,P_152.5,P_155.0,P_157.5
HON,Bear Call Spread,-50.07,-425.0,425.0,725.0,52.16,47.84,-0.06906206896551724,-50.0,-1.0000000000000002,4.999999999999999,-3.0,-1.9999999999999998,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HON,Bear Call Spread,-71.67,-209.0,209.0,641.0,57.08,42.92,-0.11180967238689547,-37.0,-2.0000000000000004,6.0,-3.9999999999999996,-1.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HON,Bear Call Spread,-67.98,-160.0,160.0,590.0,60.02,39.98,-0.11522033898305085,-31.999999999999996,-2.0000000000000004,4.999999999999999,-3.9999999999999996,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HON,Bear Call Spread,-54.11,-69.0,69.0,431.0,68.43,31.57,-0.12554524361948957,-20.0,-2.0000000000000004,3.9999999999999996,-3.9999999999999996,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HON,Bear Call Spread,-83.7,-341.0,341.0,559.0,46.45,53.55,-0.14973166368515206,-41.0,0.0,1.9999999999999991,-1.0000000000000009,-1.9999999999999998,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HON,Bear Call Spread,-108.89,-391.0,391.0,609.0,43.28,56.72,-0.17880131362889984,-44.99999999999999,0.0,0.9999999999999996,-1.0000000000000009,-1.9999999999999998,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HON,Bear Call Spread,-83.96,-268.0,268.0,382.0,42.03,57.97,-0.21979057591623036,-30.000000000000004,1.0000000000000002,0.9999999999999996,0.9999999999999996,-0.9999999999999999,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HON,Bear Call Spread,-105.29,-125.0,125.0,475.0,52.16,47.84,-0.22166315789473687,-28.000000000000004,-1.0000000000000002,3.0,-2.0000000000000004,-1.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HON,Bear Call Spread,-101.6,-76.0,76.0,424.0,55.26,44.74,-0.23962264150943394,-23.0,-1.0000000000000002,1.9999999999999991,-2.0000000000000004,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HON,Bear Call Spread,-109.15,-318.0,318.0,432.0,38.94,61.06,-0.25266203703703705,-34.0,1.0000000000000002,0.0,0.9999999999999996,-0.9999999999999999,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
