Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_120.0,C_121.0,C_122.0,C_123.0,C_124.0,C_125.0,C_126.0,C_127.0,C_128.0,C_129.0,C_130.0,C_131.0,C_132.0,P_120.0,P_121.0,P_122.0,P_123.0,P_124.0,P_125.0,P_126.0,P_127.0,P_128.0,P_129.0,P_130.0,P_131.0,P_132.0
IBM,Bear Call Spread,-5.34,-474.0,474.0,326.0,43.43,55.12,-0.016380368098159508,-44.00000000000001,1.9999999999999998,-0.9999999999999996,1.9999999999999991,-1.9999999999999998,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IBM,Bear Call Spread,-7.2,-506.0,506.0,394.0,45.22,53.33,-0.018274111675126905,-50.0,1.9999999999999998,-0.9999999999999996,0.9999999999999996,-1.9999999999999998,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IBM,Bear Call Spread,-8.87,-533.0,533.0,467.0,47.01,51.53,-0.018993576017130618,-56.00000000000001,1.0000000000000002,0.0,0.0,-1.9999999999999998,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IBM,Bear Call Spread,-6.16,-394.0,394.0,306.0,44.62,53.92,-0.020130718954248367,-40.0,0.9999999999999996,-0.9999999999999996,1.9999999999999991,-1.9999999999999998,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IBM,Bear Call Spread,-8.02,-426.0,426.0,374.0,46.41,52.13,-0.021443850267379678,-46.0,0.9999999999999996,-0.9999999999999996,0.9999999999999996,-1.9999999999999998,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IBM,Bear Call Spread,-9.7,-453.0,453.0,447.0,48.21,50.34,-0.021700223713646532,-52.0,0.0,0.0,0.0,-1.9999999999999998,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IBM,Bear Call Spread,-18.48,-567.0,567.0,633.0,48.8,49.74,-0.029194312796208533,-64.0,0.0,2.0000000000000004,-1.0000000000000009,-1.9999999999999998,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IBM,Bear Call Spread,-19.3,-487.0,487.0,613.0,50.0,48.54,-0.03148450244698206,-60.0,-1.0000000000000002,2.0000000000000004,-1.0000000000000009,-1.9999999999999998,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IBM,Bear Call Spread,-17.72,-548.0,548.0,552.0,47.61,50.93,-0.03210144927536231,-60.00000000000001,1.0000000000000002,1.0000000000000009,0.0,-1.9999999999999998,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IBM,Bear Call Spread,-18.55,-468.0,468.0,532.0,48.8,49.74,-0.03486842105263158,-56.00000000000001,0.0,1.0000000000000009,0.0,-1.9999999999999998,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IBM,Bear Call Spread,-15.29,-373.00000000000006,373.00000000000006,426.99999999999994,49.4,49.14,-0.035807962529274005,-48.0,0.0,0.9999999999999996,-0.9999999999999996,-1.9999999999999998,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IBM,Bear Call Spread,-13.61,-346.00000000000006,346.00000000000006,353.99999999999994,47.61,50.93,-0.038446327683615826,-42.0,0.9999999999999996,0.0,0.0,-1.9999999999999998,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
