Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_50.0,C_51.0,C_52.0,C_52.5,C_53.0,C_53.5,C_54.0,C_54.5,P_50.0,P_51.0,P_52.0,P_52.5,P_53.0,P_53.5,P_54.0,P_54.5
INTC,Bear Call Spread,-7.04,-30.0,30.0,120.0,71.93,27.4,-0.058666666666666666,-11.000000000000002,-1.9999999999999991,0.9999999999999996,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INTC,Bear Call Spread,-5.43,-21.0,21.0,79.0,71.14,28.2,-0.06873417721518987,-8.000000000000002,-1.9999999999999991,0.9999999999999996,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INTC,Bear Call Spread,-18.09,-99.0,99.0,251.0,59.2,40.14,-0.07207171314741036,-29.000000000000004,-3.0,0.9999999999999996,-1.0000000000000002,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INTC,Bear Call Spread,-14.0,-58.0,58.0,192.0,65.06,34.28,-0.07291666666666667,-19.000000000000004,-1.9999999999999991,0.9999999999999996,-1.0000000000000002,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INTC,Bear Call Spread,-16.48,-90.0,90.0,210.0,59.2,40.14,-0.07847619047619048,-26.0,-3.0,0.9999999999999996,-1.0000000000000002,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INTC,Bear Call Spread,-3.16,-11.0,11.0,39.0,70.32,29.01,-0.08102564102564103,-3.9999999999999982,-0.9999999999999996,0.9999999999999996,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INTC,Bear Call Spread,-6.86,-16.0,16.0,84.0,74.2,25.14,-0.08166666666666667,-7.0000000000000036,-0.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INTC,Bear Call Spread,-12.38,-49.0,49.0,151.0,64.12,35.22,-0.08198675496688743,-16.000000000000004,-1.9999999999999991,0.9999999999999996,-1.0000000000000002,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INTC,Bear Call Spread,-13.32,-40.0,40.0,160.0,68.64,30.7,-0.08325,-15.0,-1.9999999999999991,0.9999999999999996,-1.0000000000000002,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INTC,Bear Call Spread,-14.21,-80.0,80.0,170.0,58.17,41.17,-0.08358823529411766,-21.999999999999996,-2.0000000000000004,0.9999999999999996,-1.0000000000000002,-1.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INTC,Bear Call Spread,-26.12,-147.0,147.0,303.0,53.96,45.38,-0.0862046204620462,-39.0,-3.0,0.9999999999999996,-1.0000000000000002,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INTC,Bear Call Spread,-10.12,-39.0,39.0,111.0,63.16,36.18,-0.09117117117117117,-12.0,-0.9999999999999996,0.9999999999999996,-1.0000000000000002,-1.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INTC,Bear Call Spread,-12.04,-68.0,68.0,132.0,56.09,43.25,-0.0912121212121212,-18.0,-1.0000000000000009,0.0,-1.0000000000000002,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INTC,Bear Call Spread,-24.51,-138.0,138.0,262.0,52.89,46.45,-0.09354961832061069,-36.0,-3.0,0.9999999999999996,-1.0000000000000002,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INTC,Bear Call Spread,-11.71,-31.0,31.0,119.0,67.77,31.57,-0.09840336134453782,-12.0,-1.9999999999999991,0.9999999999999996,-1.0000000000000002,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INTC,Bear Call Spread,-22.24,-128.0,128.0,222.0,51.8,47.53,-0.10018018018018017,-31.999999999999996,-2.0000000000000004,0.9999999999999996,-1.0000000000000002,-1.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INTC,Bear Call Spread,-7.95,-27.0,27.0,73.0,62.19,37.15,-0.10890410958904109,-8.000000000000002,0.0,0.0,-1.0000000000000002,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
