Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_142.0,C_143.0,C_144.0,C_145.0,C_146.0,C_147.0,C_148.0,C_149.0,C_150.0,C_152.5,P_142.0,P_143.0,P_144.0,P_145.0,P_146.0,P_147.0,P_148.0,P_149.0,P_150.0,P_152.5
JNJ,Bear Call Spread,-30.01,-152.0,152.0,298.0,54.76,45.24,-0.10070469798657719,-29.000000000000004,-2.0000000000000004,3.0,-3.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JNJ,Bear Call Spread,-18.81,-66.0,66.0,184.0,62.68,37.32,-0.10222826086956521,-16.0,-0.9999999999999996,2.0000000000000004,-3.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JNJ,Bear Call Spread,-46.96,-328.0,328.0,422.0,46.86,53.14,-0.11127962085308057,-47.0,-0.9999999999999996,2.0000000000000004,-2.0000000000000004,-1.9999999999999998,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JNJ,Bear Call Spread,-52.54,-478.0,478.0,472.0,43.63,56.37,-0.11131355932203389,-57.00000000000001,0.0,0.0,0.0,-1.9999999999999998,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JNJ,Bear Call Spread,-46.79,-258.0,258.0,392.0,48.82,51.18,-0.11936224489795919,-42.00000000000001,-0.9999999999999996,2.0000000000000004,-2.0000000000000004,-1.9999999999999998,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JNJ,Bear Call Spread,-44.34,-196.0,196.0,354.0,51.45,48.55,-0.1252542372881356,-35.0,-2.0000000000000004,3.0,-3.0,-1.9999999999999998,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JNJ,Bear Call Spread,-57.39,-393.0,393.0,457.0,44.27,55.73,-0.12557986870897156,-53.0,0.0,1.0000000000000009,-0.9999999999999996,-1.9999999999999998,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JNJ,Bear Call Spread,-34.12,-96.0,96.0,254.0,58.08,41.92,-0.1343307086614173,-22.0,-2.0000000000000004,3.0,-3.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JNJ,Bear Call Spread,-76.86,-538.0,538.0,512.0,41.1,58.9,-0.1501171875,-63.0,1.0000000000000002,-0.9999999999999996,2.0000000000000004,-1.9999999999999998,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JNJ,Bear Call Spread,-50.73,-395.0,395.0,305.0,38.0,62.0,-0.166327868852459,-41.0,0.9999999999999996,-2.0000000000000004,3.0,-0.9999999999999999,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JNJ,Bear Call Spread,-45.15,-245.0,245.0,255.0,41.1,58.9,-0.17705882352941177,-30.999999999999993,0.0,0.0,0.9999999999999996,-0.9999999999999999,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JNJ,Bear Call Spread,-55.58,-310.0,310.0,290.0,39.23,60.77,-0.1916551724137931,-37.0,0.9999999999999996,-0.9999999999999996,2.0000000000000004,-0.9999999999999999,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JNJ,Bear Call Spread,-44.97,-175.0,175.0,225.0,42.99,57.01,-0.19986666666666666,-26.0,0.0,0.0,0.9999999999999996,-0.9999999999999999,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JNJ,Bear Call Spread,-28.2,-69.0,69.0,131.0,49.47,50.53,-0.21526717557251906,-13.0,-1.0000000000000009,0.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JNJ,Bear Call Spread,-75.05,-455.0,455.0,345.0,35.59,64.41,-0.21753623188405796,-47.0,1.9999999999999998,-3.0,5.0,-0.9999999999999999,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JNJ,Bear Call Spread,-58.43,-342.0,342.0,258.0,35.0,65.0,-0.22647286821705426,-35.0,2.0000000000000004,-3.0,3.0,-0.9999999999999999,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JNJ,Bear Call Spread,-42.52,-113.0,113.0,187.0,45.56,54.44,-0.22737967914438503,-18.999999999999993,-1.0000000000000009,0.9999999999999996,0.0,-0.9999999999999999,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JNJ,Bear Call Spread,-48.53,-300.0,300.0,200.0,32.67,67.33,-0.24265,-28.000000000000004,2.0000000000000004,-3.0,3.0,-0.9999999999999999,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JNJ,Bear Call Spread,-52.85,-192.0,192.0,208.0,38.0,62.0,-0.25408653846153845,-24.999999999999993,1.0000000000000009,-0.9999999999999996,0.9999999999999996,-0.9999999999999999,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JNJ,Bear Call Spread,-63.27,-257.0,257.0,243.0,36.19,63.81,-0.26037037037037036,-31.0,2.0000000000000004,-1.9999999999999991,2.0000000000000004,-0.9999999999999999,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JNJ,Bear Call Spread,-82.75,-402.0,402.0,298.0,32.67,67.33,-0.27768456375838924,-41.0,3.0000000000000004,-3.9999999999999996,5.0,-0.9999999999999999,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JNJ,Bear Call Spread,-42.95,-150.00000000000003,150.00000000000003,149.99999999999997,35.59,64.41,-0.2863333333333334,-17.999999999999993,1.0000000000000009,-0.9999999999999996,0.9999999999999996,-0.9999999999999999,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JNJ,Bear Call Spread,-53.38,-215.00000000000003,215.00000000000003,184.99999999999997,33.25,66.75,-0.2885405405405406,-24.0,2.0000000000000004,-1.9999999999999991,2.0000000000000004,-0.9999999999999999,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JNJ,Bear Call Spread,-52.67,-122.0,122.0,178.0,39.85,60.15,-0.2958988764044944,-20.0,1.0000000000000009,-0.9999999999999996,0.9999999999999996,-0.9999999999999999,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JNJ,Bear Call Spread,-72.85,-360.0,360.0,240.0,30.41,69.59,-0.30354166666666665,-34.0,3.0000000000000004,-3.9999999999999996,5.0,-0.9999999999999999,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JNJ,Bear Call Spread,-50.21,-240.0,240.0,160.0,29.31,70.69,-0.3138125,-22.000000000000007,2.0000000000000004,-3.0,3.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JNJ,Bear Call Spread,-42.77,-80.00000000000003,80.00000000000003,119.99999999999997,37.39,62.61,-0.35641666666666677,-13.0,1.0000000000000009,-0.9999999999999996,0.9999999999999996,-0.9999999999999999,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JNJ,Bear Call Spread,-50.22,-60.0,60.0,140.0,42.36,57.64,-0.3587142857142857,-12.999999999999995,0.0,0.0,0.0,-0.9999999999999999,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JNJ,Bear Call Spread,-32.3,-13.0,13.0,87.0,52.11,47.89,-0.3712643678160919,-6.0,-1.0000000000000009,0.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JNJ,Bear Call Spread,-74.53,-300.0,300.0,200.0,27.17,72.83,-0.37265,-28.000000000000004,3.0000000000000004,-3.9999999999999996,5.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JNJ,Bear Call Spread,-55.05,-155.0,155.0,145.0,29.86,70.14,-0.3796551724137931,-18.000000000000004,2.0000000000000004,-1.9999999999999991,2.0000000000000004,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JNJ,Bear Call Spread,-44.63,-90.0,90.0,110.0,32.1,67.9,-0.40572727272727277,-12.0,1.0000000000000009,-0.9999999999999996,0.9999999999999996,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JNJ,Bear Call Spread,-50.76,-175.0,175.0,125.0,25.61,74.39,-0.40608,-15.000000000000002,0.9999999999999996,-2.0000000000000004,2.0000000000000004,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JNJ,Bear Call Spread,-35.9,-16.0,16.0,84.0,46.21,53.79,-0.42738095238095236,-7.000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JNJ,Bear Call Spread,-75.08,-235.0,235.0,165.0,23.61,76.39,-0.455030303030303,-20.999999999999996,1.9999999999999998,-3.0,4.000000000000001,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JNJ,Bear Call Spread,-40.32,-18.00000000000003,18.00000000000003,81.99999999999997,39.85,60.15,-0.4917073170731709,-5.999999999999995,0.0,0.0,0.0,-0.9999999999999999,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JNJ,Bear Call Spread,-55.6,-90.0,90.0,110.0,26.64,73.36,-0.5054545454545455,-10.999999999999998,0.9999999999999996,-0.9999999999999996,1.0000000000000009,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JNJ,Bear Call Spread,-44.45,-20.0,20.0,80.0,33.83,66.17,-0.555625,-7.000000000000006,1.0000000000000009,-0.9999999999999996,0.9999999999999996,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JNJ,Bear Call Spread,-55.58,-100.0,100.0,100.0,22.17,77.83,-0.5558,-10.000000000000009,0.9999999999999996,-2.0000000000000004,2.0000000000000004,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JNJ,Bear Call Spread,-79.9,-160.0,160.0,140.0,20.32,79.68,-0.5707142857142857,-16.000000000000004,1.9999999999999998,-3.0,4.000000000000001,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JNJ,Bear Call Spread,-45.18,-25.0,25.0,75.0,28.23,71.77,-0.6024,-4.999999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JNJ,Bear Call Spread,-69.47,-95.0,95.0,105.0,17.29,82.71,-0.6616190476190477,-9.999999999999998,1.0000000000000002,-2.0000000000000004,3.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
