Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_32.0,C_32.5,C_33.0,C_33.5,C_34.0,C_34.5,C_35.0,C_35.5,C_36.0,C_36.5,C_37.0,C_37.5,P_32.0,P_32.5,P_33.0,P_33.5,P_34.0,P_34.5,P_35.0,P_35.5,P_36.0,P_36.5,P_37.0,P_37.5
KHC,Bear Call Spread,-49.93,-249.0,249.0,301.0,42.21,57.79,-0.16588039867109636,-58.00000000000001,0.9999999999999996,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KHC,Bear Call Spread,-36.88,-234.0,234.0,216.0,39.7,60.3,-0.17074074074074075,-50.0,3.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KHC,Bear Call Spread,-30.83,-222.0,222.0,178.0,38.46,61.54,-0.17320224719101124,-45.0,3.9999999999999996,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KHC,Bear Call Spread,-46.3,-136.0,136.0,264.0,47.27,52.73,-0.17537878787878786,-44.00000000000001,-2.0000000000000004,1.0000000000000002,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KHC,Bear Call Spread,-33.24,-121.0,121.0,179.0,44.74,55.26,-0.18569832402234637,-36.00000000000001,0.0,1.0000000000000002,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KHC,Bear Call Spread,-27.19,-109.0,109.0,141.0,43.47,56.53,-0.19283687943262412,-31.0,0.9999999999999996,1.0000000000000002,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KHC,Bear Call Spread,-53.17,-233.0,233.0,267.0,39.7,60.3,-0.19913857677902622,-54.0,2.0000000000000004,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KHC,Bear Call Spread,-57.63,-161.0,161.0,289.0,43.47,56.53,-0.19941176470588237,-50.0,-2.0000000000000004,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KHC,Bear Call Spread,-53.85,-95.0,95.0,255.0,48.54,51.46,-0.2111764705882353,-39.0,-3.0,1.0000000000000002,-0.9999999999999999,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KHC,Bear Call Spread,-49.53,-120.0,120.0,230.0,44.74,55.26,-0.21534782608695652,-40.0,-0.9999999999999996,1.0000000000000002,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
