Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_13.5,C_14.0,C_14.5,C_15.0,P_13.5,P_14.0,P_14.5,P_15.0
KMI,Bear Call Spread,-9.34,-32.0,32.0,68.0,51.02,48.98,-0.1373529411764706,-42.0,-14.999999999999996,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0
KMI,Bear Call Spread,-13.24,-63.0,63.0,87.0,47.04,52.96,-0.152183908045977,-64.99999999999999,-2.9999999999999973,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
KMI,Bear Call Spread,-6.3,-10.0,10.0,40.0,62.07,37.93,-0.1575,-18.0,-13.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0
KMI,Bear Call Spread,-10.94,-49.0,49.0,51.0,38.94,61.06,-0.21450980392156863,-47.0,10.000000000000004,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
KMI,Bear Call Spread,-7.04,-18.0,18.0,32.0,47.04,52.96,-0.22,-24.0,-1.9999999999999962,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0
KMI,Bear Call Spread,-9.9,-25.0,25.0,25.0,30.99,69.01,-0.396,-23.0,12.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
KMI,Bear Put Spread,-20.24,93.99999999999999,56.000000000000014,93.99999999999999,43.0,57.0,-0.21531914893617024,-41.99999999999999,-1.0000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0
KMI,Bear Put Spread,-17.34,75.99999999999999,24.000000000000014,75.99999999999999,51.02,48.98,-0.22815789473684214,-27.999999999999996,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0
KMI,Bear Put Spread,-14.94,55.0,45.0,55.0,38.94,61.06,-0.2716363636363636,-29.000000000000004,2.9999999999999973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0
KMI,Bear Put Spread,-13.3,46.999999999999986,3.000000000000014,46.999999999999986,62.07,37.93,-0.2829787234042554,-12.99999999999999,-3.9999999999999982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0
KMI,Bear Put Spread,-12.04,37.0,13.0,37.0,47.04,52.96,-0.32540540540540536,-15.000000000000007,-2.0000000000000018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0
KMI,Bear Put Spread,-8.9,24.0,26.0,24.0,30.99,69.01,-0.37083333333333335,-13.999999999999996,4.999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0
