Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_46.5,C_47.0,C_47.5,C_48.0,C_48.5,C_49.0,C_49.5,C_50.0,C_50.5,P_46.5,P_47.0,P_47.5,P_48.0,P_48.5,P_49.0,P_49.5,P_50.0,P_50.5
KO,Bear Call Spread,-4.38,-79.0,79.0,121.0,54.35,45.63,-0.036198347107438016,-36.0,-3.0,0.9999999999999999,-1.0000000000000002,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KO,Bear Call Spread,-6.65,-86.0,86.0,164.0,56.59,43.4,-0.04054878048780488,-41.99999999999999,-6.0,0.9999999999999999,-2.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KO,Bear Call Spread,-5.74,-112.0,112.0,138.0,49.82,50.16,-0.041594202898550724,-44.00000000000001,-1.0000000000000009,0.9999999999999999,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KO,Bear Call Spread,-4.39,-50.0,50.0,100.0,58.79,41.19,-0.043899999999999995,-27.0,-4.000000000000001,0.9999999999999999,-1.0000000000000002,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KO,Bear Call Spread,-8.02,-119.0,119.0,181.0,52.09,47.89,-0.04430939226519337,-50.0,-4.000000000000001,0.9999999999999999,-0.9999999999999999,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KO,Bear Call Spread,-6.77,-150.0,150.0,150.0,47.55,52.44,-0.04513333333333333,-51.0,0.9999999999999981,0.9999999999999999,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KO,Bear Call Spread,-6.66,-57.0,57.0,143.0,60.96,39.03,-0.04657342657342657,-32.99999999999999,-7.000000000000001,0.9999999999999999,-2.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KO,Bear Call Spread,-9.05,-157.0,157.0,193.0,49.82,50.16,-0.046891191709844564,-56.99999999999999,-2.0000000000000018,0.9999999999999999,-0.9999999999999999,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KO,Bear Call Spread,-7.49,-192.0,192.0,158.0,45.27,54.71,-0.04740506329113924,-56.00000000000001,3.9999999999999996,0.9999999999999999,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KO,Bear Call Spread,-9.77,-199.0,199.0,201.0,47.55,52.44,-0.04860696517412935,-62.0,0.9999999999999996,0.9999999999999999,-0.9999999999999999,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
