Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_149.0,C_150.0,C_152.5,C_155.0,C_157.5,C_160.0,C_162.5,C_165.0,C_167.5,C_170.0,P_149.0,P_150.0,P_152.5,P_155.0,P_157.5,P_160.0,P_162.5,P_165.0,P_167.5,P_170.0
LLY,Bear Call Spread,-67.5,-151.0,151.0,599.0,64.15,35.85,-0.11268781302170283,-22.000000000000004,-2.0,5.0,-3.9999999999999996,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LLY,Bear Call Spread,-85.66,-264.0,264.0,736.0,55.36,44.64,-0.11638586956521739,-31.0,-2.0,6.000000000000001,-3.9999999999999996,-1.9999999999999998,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LLY,Bear Call Spread,-86.97,-208.0,208.0,542.0,52.08,47.92,-0.16046125461254612,-24.0,-1.0000000000000002,4.000000000000001,-1.9999999999999991,-1.9999999999999998,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LLY,Bear Call Spread,-111.21,-338.0,338.0,662.0,45.57,54.43,-0.16799093655589123,-32.99999999999999,0.0,4.000000000000001,-1.9999999999999991,-1.9999999999999998,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LLY,Bear Call Spread,-68.81,-95.0,95.0,405.0,60.64,39.36,-0.16990123456790124,-15.000000000000002,-1.0000000000000002,3.0,-1.9999999999999991,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LLY,Bear Call Spread,-130.97,-811.0,811.0,689.0,36.48,63.52,-0.19008708272859215,-49.00000000000001,0.9999999999999999,-2.0000000000000018,3.0,-0.9999999999999999,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LLY,Bear Call Spread,-64.53,-161.0,161.0,339.0,49.08,50.92,-0.19035398230088496,-18.0,-1.0000000000000002,3.0,-0.9999999999999996,-0.9999999999999999,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LLY,Bear Call Spread,-46.69,-8.0,8.0,242.0,75.66,24.34,-0.19293388429752065,-7.000000000000001,-0.9999999999999999,2.0000000000000004,-2.0000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LLY,Bear Call Spread,-88.77,-291.0,291.0,459.0,43.53,56.47,-0.19339869281045752,-26.999999999999996,0.0,3.0,-0.9999999999999996,-0.9999999999999999,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LLY,Bear Call Spread,-123.33,-615.9999999999999,615.9999999999999,634.0000000000001,37.89,62.11,-0.19452681388012616,-43.0,0.0,0.9999999999999981,0.9999999999999996,-0.9999999999999999,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LLY,Bear Call Spread,-92.13,-32.0,32.0,468.0,69.65,30.35,-0.19685897435897434,-13.0,-0.9999999999999999,3.0000000000000013,-3.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LLY,Bear Call Spread,-110.41,-441.0,441.0,559.0,40.22,59.78,-0.1975134168157424,-36.00000000000001,0.0,1.9999999999999991,0.0,-0.9999999999999999,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LLY,Bear Call Spread,-155.7,-871.0,871.0,729.0,35.37,64.63,-0.21358024691358024,-52.0,0.9999999999999999,-3.0000000000000013,3.0,-0.9999999999999999,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
