Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_138.0,C_139.0,C_140.0,C_141.0,C_142.0,C_143.0,C_144.0,C_145.0,C_146.0,C_147.0,C_148.0,C_149.0,C_150.0,C_152.5,C_155.0,P_138.0,P_139.0,P_140.0,P_141.0,P_142.0,P_143.0,P_144.0,P_145.0,P_146.0,P_147.0,P_148.0,P_149.0,P_150.0,P_152.5,P_155.0
LOW,Bear Call Spread,-29.17,-88.0,88.0,412.0,65.76,34.24,-0.07080097087378641,-20.0,-2.0000000000000004,3.9999999999999996,-3.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LOW,Bear Call Spread,-54.85,-234.0,234.0,566.0,47.82,52.18,-0.09690812720848056,-36.0,-2.0000000000000004,6.0,-3.9999999999999996,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LOW,Bear Call Spread,-19.94,-57.0,57.0,193.0,61.96,38.04,-0.1033160621761658,-11.999999999999996,-1.0000000000000002,2.0000000000000004,-1.0000000000000009,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LOW,Bear Call Spread,-69.12,-354.0,354.0,646.0,41.83,58.17,-0.1069969040247678,-44.99999999999999,-1.0000000000000002,6.0,-3.9999999999999996,-1.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LOW,Bear Call Spread,-65.55,-289.0,289.0,611.0,43.72,56.28,-0.10728314238952537,-41.0,-2.0000000000000004,6.0,-3.9999999999999996,-1.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LOW,Bear Call Spread,-81.7,-564.0,564.0,736.0,37.88,62.12,-0.1110054347826087,-56.99999999999999,-1.0000000000000002,4.999999999999999,-1.9999999999999991,-1.9999999999999998,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LOW,Bear Call Spread,-80.54,-414.00000000000006,414.00000000000006,686.0,39.82,60.18,-0.11740524781341109,-49.0,-1.0000000000000002,4.999999999999999,-3.0,-1.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LOW,Bear Call Spread,-29.23,-11.0,11.0,239.0,80.32,19.68,-0.12230125523012553,-8.000000000000002,-1.0000000000000002,1.9999999999999991,-1.9999999999999991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LOW,Bear Call Spread,-66.21,-160.0,160.0,540.0,49.81,50.19,-0.1226111111111111,-31.000000000000007,-2.0000000000000004,4.999999999999999,-3.9999999999999996,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LOW,Bear Call Spread,-94.76,-474.0,474.0,726.0,38.23,61.77,-0.13052341597796144,-53.99999999999999,-1.0000000000000002,4.999999999999999,-3.0,-1.9999999999999998,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LOW,Bear Call Spread,-45.62,-203.0,203.0,347.0,45.21,54.79,-0.13146974063400577,-28.000000000000004,-1.0000000000000002,4.000000000000001,-2.0000000000000004,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LOW,Bear Call Spread,-72.05,-613.0,613.0,537.0,36.26,63.74,-0.13417132216014896,-52.0,1.0000000000000002,2.0000000000000004,0.0,-1.9999999999999998,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LOW,Bear Call Spread,-78.54,-773.0000000000001,773.0000000000001,576.9999999999999,35.07,64.93,-0.13611785095320628,-56.00000000000001,1.0000000000000002,3.0,0.9999999999999996,-1.9999999999999998,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LOW,Bear Call Spread,-72.48,-533.0,533.0,517.0,36.88,63.12,-0.14019342359767892,-49.0,0.0,3.0,0.0,-1.9999999999999998,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LOW,Bear Call Spread,-59.9,-323.0,323.0,427.0,40.28,59.72,-0.14028103044496487,-37.0,0.0,4.000000000000001,-2.0000000000000004,-1.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LOW,Bear Call Spread,-56.32,-258.0,258.0,392.0,41.83,58.17,-0.1436734693877551,-33.00000000000001,-1.0000000000000002,4.000000000000001,-2.0000000000000004,-1.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LOW,Bear Call Spread,-71.31,-383.00000000000006,383.00000000000006,466.99999999999994,38.6,61.4,-0.15269807280513922,-41.0,0.0,3.0,-1.0000000000000009,-1.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LOW,Bear Call Spread,-80.83,-87.0,87.0,513.0,53.15,46.85,-0.1575633528265107,-25.0,-2.0000000000000004,3.9999999999999996,-3.9999999999999996,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LOW,Bear Call Spread,-85.53,-443.0,443.0,507.0,37.21,62.79,-0.168698224852071,-46.0,0.0,3.0,-1.0000000000000009,-1.9999999999999998,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LOW,Bear Call Spread,-99.12,-668.0,668.0,582.0,34.77,65.23,-0.17030927835051546,-54.0,1.0000000000000002,2.0000000000000004,0.9999999999999996,-1.9999999999999998,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LOW,Bear Call Spread,-56.98,-129.0,129.0,321.0,46.9,53.1,-0.17750778816199375,-23.0,-1.0000000000000002,3.0,-2.0000000000000004,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LOW,Bear Call Spread,-77.59,-697.0000000000001,697.0000000000001,402.9999999999999,32.76,67.24,-0.1925310173697271,-44.00000000000001,2.0000000000000004,0.9999999999999996,2.0000000000000004,-0.9999999999999999,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LOW,Bear Call Spread,-71.11,-537.0,537.0,363.0,33.91,66.09,-0.19589531680440772,-40.0,2.0000000000000004,0.0,1.0000000000000009,-0.9999999999999999,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
