Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_190.0,C_192.5,C_195.0,C_197.5,C_200.0,C_202.5,C_205.0,C_207.5,P_190.0,P_192.5,P_195.0,P_197.5,P_200.0,P_202.5,P_205.0,P_207.5
MCD,Bear Call Spread,-67.64,-225.0,225.0,525.0,54.7,45.3,-0.12883809523809525,-25.0,-1.0000000000000002,6.000000000000001,-3.9999999999999996,-1.9999999999999998,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCD,Bear Call Spread,-101.46,-505.0,505.0,745.0,45.85,54.15,-0.13618791946308725,-42.00000000000001,0.0,5.0,-3.0000000000000013,-3.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCD,Bear Call Spread,-44.32,-176.0,176.0,324.0,53.05,46.95,-0.13679012345679012,-18.0,-1.0000000000000002,4.000000000000001,-1.9999999999999991,-0.9999999999999999,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCD,Bear Call Spread,-85.05,-631.0,631.0,619.0,41.38,58.62,-0.13739903069466883,-42.99999999999999,0.0,1.9999999999999991,0.0,-2.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCD,Bear Call Spread,-78.14,-456.0,456.0,544.0,44.33,55.67,-0.14363970588235295,-35.0,0.0,3.0,-1.0000000000000009,-2.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCD,Bear Call Spread,-94.55,-345.0,345.0,655.0,49.39,50.61,-0.14435114503816793,-34.00000000000001,-1.0000000000000002,6.000000000000001,-3.9999999999999996,-3.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCD,Bear Call Spread,-71.23,-296.0,296.0,454.0,47.8,52.2,-0.1568942731277533,-27.0,-1.0000000000000002,4.000000000000001,-1.9999999999999991,-2.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCD,Bear Call Spread,-63.62,-106.0,106.0,394.0,60.51,39.49,-0.1614720812182741,-16.0,-1.0000000000000002,3.9999999999999996,-3.0000000000000013,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCD,Bear Call Spread,-122.34,-785.9999999999999,785.9999999999999,714.0000000000001,38.27,61.73,-0.17134453781512604,-50.0,0.0,0.0,2.0000000000000004,-2.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCD,Bear Call Spread,-83.75,-535.0,535.0,465.0,37.93,62.07,-0.18010752688172044,-34.0,1.0000000000000002,0.0,1.0000000000000009,-2.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCD,Bear Call Spread,-76.83,-360.0,360.0,390.0,40.67,59.33,-0.197,-26.0,1.0000000000000002,1.0000000000000009,0.0,-2.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCD,Bear Call Spread,-65.73,-430.0,430.0,320.0,34.78,65.22,-0.20540625,-24.999999999999993,1.0000000000000002,-2.0000000000000018,1.9999999999999991,-1.0000000000000002,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCD,Bear Call Spread,-40.3,-57.0,57.0,193.0,58.43,41.57,-0.2088082901554404,-8.999999999999996,-1.0000000000000002,1.9999999999999991,-1.0000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
