Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_52.0,C_52.5,C_53.0,C_53.5,C_54.0,C_54.5,C_55.0,C_55.5,C_56.0,C_56.5,C_57.0,C_57.5,P_52.0,P_52.5,P_53.0,P_53.5,P_54.0,P_54.5,P_55.0,P_55.5,P_56.0,P_56.5,P_57.0,P_57.5
MDLZ,Bear Call Spread,-14.06,-100.0,100.0,200.0,55.39,44.34,-0.0703,-34.00000000000001,-3.0,2.0000000000000004,-1.0000000000000002,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MDLZ,Bear Call Spread,-17.23,-128.0,128.0,222.0,52.52,47.21,-0.07761261261261261,-40.0,-2.0000000000000004,2.0000000000000004,-1.0000000000000002,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MDLZ,Bear Call Spread,-18.81,-160.99999999999997,160.99999999999997,239.00000000000003,49.61,50.12,-0.07870292887029287,-45.00000000000001,-2.0000000000000004,2.0000000000000004,-1.0000000000000002,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MDLZ,Bear Call Spread,-12.8,-90.0,90.0,160.0,53.96,45.77,-0.08,-29.000000000000004,-1.9999999999999991,1.0000000000000002,-1.0000000000000002,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MDLZ,Bear Call Spread,-15.96,-118.0,118.0,182.0,51.07,48.66,-0.0876923076923077,-35.0,-0.9999999999999996,1.0000000000000002,-1.0000000000000002,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MDLZ,Bear Call Spread,-17.54,-150.99999999999997,150.99999999999997,199.00000000000003,48.15,51.57,-0.08814070351758792,-40.0,-0.9999999999999996,1.0000000000000002,-1.0000000000000002,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MDLZ,Bear Call Spread,-24.66,-276.0,276.0,274.0,45.24,54.49,-0.09,-58.00000000000001,0.9999999999999996,1.0000000000000002,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MDLZ,Bear Call Spread,-25.92,-232.0,232.0,268.0,45.24,54.49,-0.09671641791044777,-55.00000000000001,0.0,1.0000000000000002,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MDLZ,Bear Call Spread,-23.39,-266.0,266.0,234.0,43.78,55.95,-0.09995726495726497,-53.0,2.0000000000000004,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MDLZ,Bear Call Spread,-27.48,-190.0,190.0,260.0,46.69,53.03,-0.1056923076923077,-50.0,-1.0000000000000009,1.0000000000000002,-1.0000000000000002,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MDLZ,Bear Call Spread,-16.56,-46.0,46.0,154.0,62.34,37.39,-0.10753246753246752,-22.0,-3.0,2.0000000000000004,-1.0000000000000002,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MDLZ,Bear Call Spread,-24.65,-222.0,222.0,228.0,43.78,55.95,-0.10811403508771929,-50.0,1.0000000000000009,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MDLZ,Bear Call Spread,-13.84,-75.0,75.0,125.0,52.52,47.21,-0.11072,-24.000000000000004,-0.9999999999999996,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MDLZ,Bear Call Spread,-20.47,-66.00000000000001,66.00000000000001,184.0,58.22,41.51,-0.11124999999999999,-28.000000000000004,-3.0,2.0000000000000004,-1.0000000000000002,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MDLZ,Bear Call Spread,-18.58,-135.99999999999997,135.99999999999997,164.00000000000003,46.69,53.03,-0.11329268292682924,-35.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MDLZ,Bear Call Spread,-17.0,-103.0,103.0,147.0,48.15,51.57,-0.11564625850340136,-30.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MDLZ,Bear Call Spread,-26.22,-180.0,180.0,220.0,45.24,54.49,-0.11918181818181818,-44.99999999999999,0.0,0.0,-1.0000000000000002,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MDLZ,Bear Call Spread,-24.43,-251.0,251.0,199.0,40.89,58.84,-0.12276381909547739,-48.00000000000001,3.0,0.0,1.0000000000000002,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MDLZ,Bear Call Spread,-25.7,-207.0,207.0,193.0,42.33,57.4,-0.13316062176165802,-45.0,2.0000000000000004,0.0,1.0000000000000002,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MDLZ,Bear Call Spread,-19.21,-56.000000000000014,56.000000000000014,144.0,56.81,42.92,-0.1334027777777778,-23.0,-1.9999999999999991,1.0000000000000002,-1.0000000000000002,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MDLZ,Bear Call Spread,-15.29,-36.0,36.0,114.0,60.99,38.74,-0.13412280701754387,-17.0,-1.9999999999999991,1.0000000000000002,-1.0000000000000002,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MDLZ,Bear Call Spread,-18.57,-118.99999999999997,118.99999999999997,131.00000000000003,43.78,55.95,-0.14175572519083968,-29.000000000000004,0.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MDLZ,Bear Call Spread,-24.42,-234.0,234.0,166.0,39.46,60.27,-0.14710843373493976,-42.00000000000001,3.9999999999999996,-1.0000000000000002,1.0000000000000002,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MDLZ,Bear Call Spread,-27.26,-165.0,165.0,185.0,43.78,55.95,-0.14735135135135136,-40.0,0.9999999999999996,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MDLZ,Bear Call Spread,-16.99,-86.0,86.0,114.0,46.69,53.03,-0.14903508771929824,-24.0,0.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MDLZ,Bear Call Spread,-13.83,-58.0,58.0,92.0,49.61,50.12,-0.15032608695652175,-18.000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MDLZ,Bear Call Spread,-19.18,-23.0,23.0,127.0,64.99,34.74,-0.1510236220472441,-16.0,-3.0,2.0000000000000004,-1.0000000000000002,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MDLZ,Bear Call Spread,-25.69,-190.0,190.0,160.0,39.46,60.27,-0.1605625,-39.0,3.0,-1.0000000000000002,1.0000000000000002,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MDLZ,Bear Call Spread,-16.21,-100.99999999999997,100.99999999999997,99.00000000000003,40.89,58.84,-0.1637373737373737,-23.000000000000004,0.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MDLZ,Bear Call Spread,-22.07,-216.0,216.0,134.0,36.63,63.1,-0.16470149253731345,-36.00000000000001,3.9999999999999996,-1.0000000000000002,1.0000000000000002,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MDLZ,Bear Call Spread,-14.63,-68.0,68.0,82.0,43.78,55.95,-0.17841463414634148,-18.0,0.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MDLZ,Bear Call Spread,-27.25,-148.0,148.0,152.0,40.89,58.84,-0.17927631578947367,-34.0,1.9999999999999991,-1.0000000000000002,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MDLZ,Bear Call Spread,-23.33,-172.0,172.0,128.0,36.63,63.1,-0.182265625,-33.0,3.0,-1.0000000000000002,1.0000000000000002,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MDLZ,Bear Call Spread,-20.25,-41.000000000000014,41.000000000000014,108.99999999999999,53.96,45.77,-0.1857798165137615,-18.0,-0.9999999999999996,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MDLZ,Bear Call Spread,-17.18,-8.0,8.0,92.0,69.99,29.74,-0.1867391304347826,-10.0,-2.0000000000000004,1.0000000000000002,-1.0000000000000002,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MDLZ,Bear Call Spread,-11.47,-40.0,40.0,60.0,46.69,53.03,-0.19116666666666668,-12.000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MDLZ,Bear Call Spread,-17.92,-13.0,13.0,87.0,63.68,36.05,-0.2059770114942529,-10.999999999999998,-1.9999999999999991,1.0000000000000002,-1.0000000000000002,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
