Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_35.5,C_36.0,C_36.5,C_37.0,C_37.5,C_38.0,C_38.5,C_39.0,C_39.5,C_40.0,C_40.5,C_41.0,P_35.5,P_36.0,P_36.5,P_37.0,P_37.5,P_38.0,P_38.5,P_39.0,P_39.5,P_40.0,P_40.5,P_41.0
MET,Bear Call Spread,-27.75,-83.0,83.0,217.0,54.13,45.66,-0.12788018433179724,-39.0,-5.000000000000002,2.0,-0.9999999999999999,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MET,Bear Call Spread,-32.77,-145.0,145.0,255.0,47.76,52.03,-0.12850980392156863,-53.0,-4.000000000000001,2.0,-0.9999999999999999,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MET,Bear Call Spread,-22.59,-132.0,132.0,168.0,46.16,53.63,-0.1344642857142857,-44.00000000000001,0.0,1.0000000000000002,-0.9999999999999999,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MET,Bear Call Spread,-17.57,-70.0,70.0,130.0,50.96,48.83,-0.13515384615384615,-30.000000000000004,-1.0000000000000009,1.0000000000000002,-0.9999999999999999,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MET,Bear Call Spread,-40.4,-176.0,176.0,274.0,44.56,55.23,-0.14744525547445256,-59.0,-3.0,0.9999999999999999,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MET,Bear Call Spread,-29.0,-54.0,54.0,196.0,57.26,42.53,-0.14795918367346939,-31.000000000000007,-7.000000000000001,2.0,-0.9999999999999999,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MET,Bear Call Spread,-19.4,-20.0,20.0,130.0,66.16,33.63,-0.14923076923076922,-17.0,-5.000000000000002,0.9999999999999999,-0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MET,Bear Call Spread,-15.5,-103.0,103.0,97.0,41.38,58.41,-0.15979381443298968,-32.00000000000001,4.999999999999999,1.0000000000000002,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MET,Bear Call Spread,-30.22,-163.0,163.0,187.0,42.97,56.82,-0.1616042780748663,-50.0,1.0000000000000009,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MET,Bear Call Spread,-35.56,-132.0,132.0,218.0,46.16,53.63,-0.16311926605504587,-48.00000000000001,-2.0000000000000004,1.0000000000000002,-0.9999999999999999,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MET,Bear Call Spread,-30.54,-70.0,70.0,180.0,50.96,48.83,-0.16966666666666666,-34.0,-3.0000000000000013,1.0000000000000002,-0.9999999999999999,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MET,Bear Call Spread,-51.53,-250.0,250.0,300.0,39.81,59.98,-0.17176666666666668,-69.0,0.0,0.9999999999999999,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MET,Bear Call Spread,-18.82,-41.0,41.0,109.0,54.13,45.66,-0.1726605504587156,-22.000000000000004,-3.0,1.0000000000000002,-0.9999999999999999,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MET,Bear Call Spread,-16.17,-7.0,7.0,93.0,71.53,28.26,-0.1738709677419355,-9.0,-4.000000000000001,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MET,Bear Call Spread,-10.48,-41.0,41.0,59.0,46.16,53.63,-0.1776271186440678,-18.000000000000004,3.9999999999999982,1.0000000000000002,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MET,Bear Call Spread,-43.19,-163.0,163.0,237.0,42.97,56.82,-0.1822362869198312,-54.0,-0.9999999999999996,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MET,Bear Call Spread,-41.34,-237.0,237.0,213.0,38.25,61.54,-0.19408450704225352,-60.0,4.000000000000001,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MET,Bear Call Spread,-27.34,-111.0,111.0,139.0,41.38,58.41,-0.1966906474820144,-36.00000000000001,1.0000000000000009,1.0000000000000002,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MET,Bear Call Spread,-23.13,-134.0,134.0,116.0,38.25,61.54,-0.19939655172413792,-38.0,6.0,0.0,0.9999999999999999,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MET,Bear Call Spread,-31.79,-41.0,41.0,159.0,54.13,45.66,-0.199937106918239,-26.0,-5.0,1.0000000000000002,-0.9999999999999999,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MET,Bear Call Spread,-54.31,-237.0,237.0,263.0,38.25,61.54,-0.20650190114068442,-63.99999999999999,2.0000000000000004,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MET,Bear Call Spread,-9.22,-7.0,7.0,43.0,64.74,35.05,-0.2144186046511628,-8.000000000000002,-1.0000000000000009,0.0,-0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MET,Bear Call Spread,-22.32,-49.00000000000001,49.00000000000001,101.0,47.76,52.03,-0.220990099009901,-22.000000000000004,0.0,1.0000000000000002,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MET,Bear Call Spread,-34.97,-142.0,142.0,158.0,39.81,59.98,-0.22132911392405064,-42.0,2.0000000000000018,0.0,0.9999999999999999,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MET,Bear Call Spread,-22.19,-7.0,7.0,93.0,64.74,35.05,-0.23860215053763442,-12.0,-3.0000000000000013,0.0,-0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MET,Bear Call Spread,-34.25,-208.0,208.0,142.0,33.68,66.11,-0.24119718309859156,-48.0,9.0,0.0,0.9999999999999999,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MET,Bear Call Spread,-46.09,-216.0,216.0,184.0,35.18,64.6,-0.2504891304347826,-52.0,5.000000000000002,0.0,0.9999999999999999,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MET,Bear Call Spread,-81.75,-176.0,176.0,324.0,36.7,63.08,-0.2523148148148148,-70.0,-2.0000000000000004,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MET,Bear Call Spread,-48.21,-11.0,11.0,189.0,57.26,42.53,-0.2550793650793651,-21.0,-9.0,0.9999999999999999,-0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MET,Bear Call Spread,-20.74,-74.0,74.0,76.0,36.7,63.08,-0.27289473684210525,-22.000000000000004,3.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MET,Bear Call Spread,-84.54,-163.0,163.0,287.0,35.18,64.6,-0.2945644599303136,-64.99999999999999,0.0,-0.9999999999999999,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MET,Bear Call Spread,-23.57,-20.000000000000007,20.000000000000007,80.0,50.96,48.83,-0.294625,-14.000000000000002,-1.9999999999999991,1.0000000000000002,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MET,Bear Call Spread,-28.36,-105.0,105.0,95.0,33.68,66.11,-0.2985263157894737,-27.999999999999996,4.000000000000001,-1.0000000000000002,0.9999999999999999,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MET,Bear Call Spread,-71.57,-163.0,163.0,237.0,35.18,64.6,-0.30198312236286917,-61.0,2.0000000000000004,-0.9999999999999999,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MET,Bear Call Spread,-11.73,-12.0,12.0,38.0,50.96,48.83,-0.3086842105263158,-10.000000000000004,1.9999999999999991,1.0000000000000002,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MET,Bear Call Spread,-39.49,-179.0,179.0,121.0,29.33,70.45,-0.32636363636363636,-37.99999999999999,7.000000000000001,-1.0000000000000002,0.9999999999999999,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MET,Bear Call Spread,-118.23,-24.0,24.0,326.0,36.7,63.08,-0.3626687116564417,-52.0,-14.000000000000002,0.0,-0.9999999999999999,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MET,Bear Call Spread,-76.32,-142.0,142.0,208.0,32.2,67.58,-0.3669230769230769,-53.0,3.0000000000000013,-0.9999999999999999,0.9999999999999999,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MET,Bear Call Spread,-64.48,-134.0,134.0,166.0,30.75,69.03,-0.3884337349397591,-49.0,6.999999999999999,-0.9999999999999999,0.9999999999999999,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MET,Bear Call Spread,-15.72,-12.0,12.0,38.0,42.97,56.82,-0.4136842105263158,-8.000000000000002,1.9999999999999991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MET,Bear Call Spread,-121.02,-11.0,11.0,289.0,33.68,66.11,-0.41875432525951556,-47.0,-12.000000000000002,-0.9999999999999999,-0.9999999999999999,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MET,Bear Call Spread,-45.73,-145.0,145.0,105.0,25.27,74.52,-0.4355238095238095,-29.999999999999993,5.000000000000002,-1.0000000000000002,0.9999999999999999,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MET,Bear Call Spread,-34.6,-71.0,71.0,79.0,27.95,71.84,-0.4379746835443038,-19.999999999999996,2.0000000000000018,-1.0000000000000002,0.9999999999999999,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MET,Bear Call Spread,-26.97,-40.0,40.0,60.0,30.75,69.03,-0.44949999999999996,-14.000000000000002,1.0000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MET,Bear Call Spread,-108.05,-11.0,11.0,239.0,33.68,66.11,-0.452092050209205,-43.00000000000001,-10.0,-0.9999999999999999,-0.9999999999999999,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MET,Bear Call Spread,-69.72,-105.0,105.0,145.0,26.59,73.2,-0.48082758620689653,-38.99999999999999,5.0,-2.0,0.9999999999999999,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MET,Bear Call Spread,-44.05,-115.0,115.0,85.0,21.54,78.25,-0.518235294117647,-16.999999999999993,14.000000000000002,0.9999999999999999,0.9999999999999999,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
