Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_150.0,C_152.5,C_155.0,C_157.5,C_160.0,C_162.5,C_165.0,C_167.5,C_170.0,P_150.0,P_152.5,P_155.0,P_157.5,P_160.0,P_162.5,P_165.0,P_167.5,P_170.0
MMM,Bear Call Spread,-25.32,-341.0,341.0,409.0,49.78,50.17,-0.061907090464547676,-26.999999999999996,0.0,3.0,-0.9999999999999996,-0.9999999999999999,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MMM,Bear Call Spread,-40.97,-403.0,403.0,597.0,52.43,47.53,-0.06862646566164154,-35.0,0.0,5.000000000000002,-3.0,-1.9999999999999998,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MMM,Bear Call Spread,-53.57,-304.0,304.0,696.0,57.99,41.96,-0.0769683908045977,-32.99999999999999,-2.0,7.000000000000001,-3.9999999999999996,-1.9999999999999998,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MMM,Bear Call Spread,-49.39,-881.0,881.0,619.0,41.83,58.12,-0.07978998384491115,-47.0,0.9999999999999999,-1.0000000000000009,2.0000000000000004,-0.9999999999999999,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MMM,Bear Call Spread,-47.72,-676.0,676.0,574.0,43.71,56.24,-0.08313588850174215,-42.0,0.0,0.9999999999999981,0.9999999999999996,-0.9999999999999999,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MMM,Bear Call Spread,-46.66,-189.0,189.0,561.0,62.64,37.31,-0.08317290552584669,-23.999999999999996,-2.0,6.0,-3.9999999999999996,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MMM,Bear Call Spread,-59.32,-553.0,553.0,697.0,48.64,51.31,-0.08510760401721665,-43.00000000000001,0.0,4.000000000000001,-2.0000000000000004,-1.9999999999999998,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MMM,Bear Call Spread,-43.66,-491.0,491.0,509.0,45.99,53.96,-0.08577603143418466,-35.0,0.0,1.9999999999999991,0.0,-0.9999999999999999,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MMM,Bear Call Spread,-35.79,-101.0,101.0,399.0,68.05,31.91,-0.08969924812030075,-15.0,-0.9999999999999999,4.000000000000001,-3.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MMM,Bear Call Spread,-55.43,-243.0,243.0,507.0,55.79,44.17,-0.1093293885601578,-26.0,-1.0000000000000002,5.000000000000002,-3.0,-1.9999999999999998,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MMM,Bear Call Spread,-27.13,-32.0,32.0,218.0,73.89,26.06,-0.12444954128440366,-6.999999999999998,-0.9999999999999999,1.9999999999999991,-0.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MMM,Bear Call Spread,-39.78,-180.99999999999997,180.99999999999997,319.0,53.18,46.78,-0.12470219435736678,-18.0,-1.0000000000000002,3.0,-0.9999999999999996,-0.9999999999999999,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MMM,Bear Call Spread,-61.5,-770.0,770.0,480.0,37.73,62.22,-0.128125,-38.00000000000001,2.0,-3.0,3.0,-0.9999999999999999,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
