Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_39.5,C_40.0,C_40.5,C_41.0,C_41.5,C_42.0,C_42.5,C_43.0,C_43.5,C_44.0,P_39.5,P_40.0,P_40.5,P_41.0,P_41.5,P_42.0,P_42.5,P_43.0,P_43.5,P_44.0
MO,Bear Call Spread,-27.87,-183.99999999999997,183.99999999999997,216.00000000000003,45.01,54.99,-0.12902777777777777,-50.0,0.0,1.0000000000000002,-0.9999999999999999,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MO,Bear Call Spread,-21.78,-85.0,85.0,165.0,52.21,47.79,-0.132,-32.00000000000001,-2.0000000000000004,1.0000000000000002,-0.9999999999999999,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MO,Bear Call Spread,-26.28,-170.99999999999997,170.99999999999997,179.00000000000003,42.16,57.84,-0.14681564245810055,-44.0,0.9999999999999996,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MO,Bear Call Spread,-21.4,-57.0,57.0,143.0,55.08,44.92,-0.14965034965034965,-24.999999999999996,-3.0000000000000013,1.0000000000000002,-0.9999999999999999,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MO,Bear Call Spread,-17.6,-36.0,36.0,114.0,59.32,40.68,-0.1543859649122807,-17.999999999999996,-2.0000000000000004,1.0000000000000002,-0.9999999999999999,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MO,Bear Call Spread,-20.19,-72.0,72.0,128.0,49.33,50.67,-0.157734375,-26.000000000000007,-1.0000000000000009,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MO,Bear Call Spread,-39.55,-212.99999999999997,212.99999999999997,237.00000000000003,42.16,57.84,-0.16687763713080164,-56.00000000000001,0.9999999999999996,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MO,Bear Call Spread,-35.78,-138.0,138.0,212.0,45.01,54.99,-0.16877358490566038,-45.00000000000001,-0.9999999999999996,1.0000000000000002,-0.9999999999999999,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MO,Bear Call Spread,-24.49,-154.99999999999997,154.99999999999997,145.00000000000003,40.75,59.25,-0.1688965517241379,-38.0,2.0000000000000004,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MO,Bear Call Spread,-33.65,-105.0,105.0,195.0,47.89,52.11,-0.17256410256410257,-39.0,-2.0000000000000004,1.0000000000000002,-0.9999999999999999,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MO,Bear Call Spread,-14.38,-18.0,18.0,82.0,63.44,36.56,-0.1753658536585366,-11.999999999999996,-2.0000000000000004,1.0000000000000002,-0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MO,Bear Call Spread,-19.81,-43.99999999999999,43.99999999999999,106.0,53.65,46.35,-0.18688679245283019,-19.0,-2.0000000000000018,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MO,Bear Call Spread,-37.96,-199.99999999999997,199.99999999999997,200.00000000000003,39.35,60.65,-0.18979999999999997,-50.0,1.9999999999999991,-1.0000000000000002,0.9999999999999999,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MO,Bear Call Spread,-8.59,-6.0,6.0,44.0,68.67,31.33,-0.19522727272727272,-5.999999999999997,-0.9999999999999996,1.0000000000000002,-0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MO,Bear Call Spread,-34.19,-125.0,125.0,175.0,43.58,56.42,-0.19537142857142856,-39.00000000000001,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MO,Bear Call Spread,-18.4,-56.0,56.0,94.0,47.89,52.11,-0.1957446808510638,-20.000000000000007,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MO,Bear Call Spread,-32.05,-92.0,92.0,158.0,45.01,54.99,-0.20284810126582276,-33.0,-1.0000000000000009,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MO,Bear Call Spread,-16.01,-22.999999999999993,22.999999999999993,77.0,57.92,42.08,-0.20792207792207795,-12.0,-1.0000000000000009,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
