Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_47.0,C_47.5,C_48.0,C_48.5,C_49.0,C_49.5,C_50.0,C_50.5,C_51.0,C_51.5,C_52.0,C_52.5,C_53.0,C_53.5,P_47.0,P_47.5,P_48.0,P_48.5,P_49.0,P_49.5,P_50.0,P_50.5,P_51.0,P_51.5,P_52.0,P_52.5,P_53.0,P_53.5
MS,Bear Call Spread,-13.84,-51.0,51.0,199.0,67.28,32.72,-0.06954773869346734,-25.0,-6.000000000000001,1.0000000000000002,-2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MS,Bear Call Spread,-16.52,-70.0,70.0,230.0,63.47,36.53,-0.07182608695652173,-32.0,-6.000000000000001,1.0000000000000002,-2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MS,Bear Call Spread,-11.22,-45.0,45.0,155.0,66.04,33.95,-0.07238709677419355,-21.000000000000004,-5.000000000000002,1.0000000000000002,-2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MS,Bear Call Spread,-18.92,-92.99999999999999,92.99999999999999,257.0,59.38,40.62,-0.07361867704280156,-39.0,-6.000000000000001,1.0000000000000002,-2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MS,Bear Call Spread,-9.49,-22.0,22.0,128.0,74.91,25.09,-0.074140625,-13.0,-3.9999999999999996,1.0000000000000002,-0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MS,Bear Call Spread,-13.9,-64.0,64.0,186.0,62.13,37.86,-0.07473118279569893,-28.000000000000004,-5.000000000000002,1.0000000000000002,-2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MS,Bear Call Spread,-16.3,-86.99999999999999,86.99999999999999,213.0,57.96,42.03,-0.07652582159624413,-35.0,-5.000000000000002,1.0000000000000002,-2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MS,Bear Call Spread,-24.46,-186.0,186.0,314.0,50.57,49.43,-0.07789808917197452,-59.0,-3.9999999999999996,0.0,-0.9999999999999999,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MS,Bear Call Spread,-22.14,-119.0,119.0,281.0,55.05,44.94,-0.07879003558718861,-46.0,-6.000000000000001,1.0000000000000002,-2.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MS,Bear Call Spread,-26.73,-265.0,265.0,335.0,47.52,52.48,-0.07979104477611941,-66.0,0.0,0.0,-0.9999999999999999,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MS,Bear Call Spread,-21.84,-180.0,180.0,270.0,50.57,49.43,-0.08088888888888889,-55.00000000000001,-3.0,0.0,-0.9999999999999999,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MS,Bear Call Spread,-6.87,-16.000000000000004,16.000000000000004,84.0,73.93,26.06,-0.08178571428571428,-9.000000000000002,-3.0,1.0000000000000002,-0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MS,Bear Call Spread,-19.53,-113.0,113.0,237.0,55.05,44.94,-0.08240506329113925,-42.0,-5.000000000000002,1.0000000000000002,-2.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MS,Bear Call Spread,-24.11,-259.0,259.0,291.0,45.98,54.01,-0.08285223367697594,-62.000000000000014,0.9999999999999996,0.0,-0.9999999999999999,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MS,Bear Call Spread,-25.08,-149.0,149.0,301.0,52.08,47.92,-0.08332225913621262,-53.0,-5.0,1.0000000000000002,-0.9999999999999999,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MS,Bear Call Spread,-12.55,-55.0,55.0,145.0,60.77,39.23,-0.08655172413793104,-24.000000000000004,-4.000000000000001,1.0000000000000002,-1.0000000000000002,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MS,Bear Call Spread,-9.87,-36.0,36.0,114.0,64.77,35.22,-0.08657894736842105,-17.0,-4.000000000000001,1.0000000000000002,-1.0000000000000002,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MS,Bear Call Spread,-14.95,-77.99999999999999,77.99999999999999,172.0,56.52,43.48,-0.08691860465116279,-31.000000000000007,-4.000000000000001,1.0000000000000002,-1.0000000000000002,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MS,Bear Call Spread,-22.46,-143.0,143.0,257.0,52.08,47.92,-0.08739299610894942,-49.00000000000001,-4.000000000000001,1.0000000000000002,-0.9999999999999999,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MS,Bear Call Spread,-28.84,-221.0,221.0,329.0,49.04,50.95,-0.0876595744680851,-65.0,-2.0000000000000004,0.0,-0.9999999999999999,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MS,Bear Call Spread,-20.48,-171.0,171.0,229.0,49.04,50.95,-0.08943231441048036,-51.0,-1.9999999999999991,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MS,Bear Call Spread,-7.97,-11.0,11.0,89.0,78.45,21.54,-0.08955056179775281,-7.999999999999999,-2.0000000000000004,0.0,-0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MS,Bear Call Spread,-22.76,-250.0,250.0,250.0,45.98,54.01,-0.09104000000000001,-58.00000000000001,2.0000000000000004,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MS,Bear Call Spread,-26.22,-215.0,215.0,285.0,47.52,52.48,-0.092,-61.00000000000001,-1.0000000000000009,0.0,-0.9999999999999999,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MS,Bear Call Spread,-15.63,-31.0,31.0,169.0,70.77,29.22,-0.09248520710059172,-18.0,-5.0,1.0000000000000002,-0.9999999999999999,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MS,Bear Call Spread,-18.17,-104.0,104.0,196.0,53.57,46.42,-0.09270408163265308,-38.0,-4.000000000000001,1.0000000000000002,-1.0000000000000002,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MS,Bear Call Spread,-12.44,-67.99999999999999,67.99999999999999,132.0,55.05,44.94,-0.09424242424242424,-26.0,-2.0000000000000018,0.0,-1.0000000000000002,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MS,Bear Call Spread,-17.97,-161.0,161.0,189.0,47.52,52.48,-0.09507936507936507,-46.0,0.0,-1.0000000000000002,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MS,Bear Call Spread,-10.03,-45.0,45.0,105.0,59.38,40.62,-0.09552380952380951,-19.0,-2.0000000000000018,0.0,-1.0000000000000002,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MS,Bear Call Spread,-20.24,-240.0,240.0,210.0,44.45,55.54,-0.09638095238095237,-53.0,3.9999999999999996,-1.0000000000000002,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MS,Bear Call Spread,-33.61,-302.0,302.0,348.0,45.98,54.01,-0.09658045977011494,-74.0,0.9999999999999996,-0.9999999999999999,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MS,Bear Call Spread,-21.11,-134.0,134.0,216.0,50.57,49.43,-0.09773148148148147,-45.00000000000001,-3.0,1.0000000000000002,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MS,Bear Call Spread,-7.35,-26.0,26.0,74.0,63.47,36.53,-0.09932432432432432,-12.0,-2.0000000000000018,0.0,-1.0000000000000002,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MS,Bear Call Spread,-15.66,-94.0,94.0,156.0,52.08,47.92,-0.10038461538461539,-32.99999999999999,-2.0000000000000018,0.0,-1.0000000000000002,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MS,Bear Call Spread,-24.87,-206.0,206.0,244.0,45.98,54.01,-0.10192622950819673,-57.00000000000001,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
