Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_94.0,C_94.5,C_95.0,C_95.5,C_96.0,C_96.5,C_97.0,C_97.5,C_98.0,C_98.5,C_99.0,C_99.5,C_100.0,C_101.0,C_102.0,C_103.0,P_94.0,P_94.5,P_95.0,P_95.5,P_96.0,P_96.5,P_97.0,P_97.5,P_98.0,P_98.5,P_99.0,P_99.5,P_100.0,P_101.0,P_102.0,P_103.0
NKE,Bear Call Spread,-17.28,-76.0,76.0,224.0,63.63,36.37,-0.07714285714285715,-19.0,-2.0000000000000004,2.0000000000000004,-2.0000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NKE,Bear Call Spread,-29.37,-165.99999999999997,165.99999999999997,334.0,54.56,45.44,-0.08793413173652695,-34.0,-2.0000000000000004,2.0000000000000004,-2.0000000000000004,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NKE,Bear Call Spread,-22.64,-93.0,93.0,257.0,61.21,38.79,-0.08809338521400778,-23.0,-2.0000000000000004,2.0000000000000004,-2.0000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NKE,Bear Call Spread,-27.71,-138.99999999999997,138.99999999999997,311.0,56.24,43.76,-0.08909967845659164,-30.0,-2.0000000000000004,2.0000000000000004,-2.0000000000000004,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NKE,Bear Call Spread,-34.61,-224.0,224.0,376.0,51.17,48.83,-0.09204787234042552,-41.0,-2.0000000000000004,2.0000000000000004,-2.0000000000000004,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NKE,Bear Call Spread,-27.12,-113.0,113.0,287.0,58.75,41.25,-0.09449477351916377,-26.999999999999996,-2.0000000000000004,2.0000000000000004,-2.0000000000000004,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NKE,Bear Call Spread,-35.03,-190.99999999999997,190.99999999999997,359.0,52.02,47.98,-0.0975766016713092,-37.99999999999999,-2.0000000000000004,2.0000000000000004,-2.0000000000000004,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NKE,Bear Call Spread,-42.66,-363.0,363.0,437.0,46.11,53.89,-0.09762013729977116,-54.0,-0.9999999999999996,1.0000000000000009,-0.9999999999999996,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NKE,Bear Call Spread,-14.31,-55.0,55.0,145.0,62.02,37.98,-0.09868965517241379,-13.0,-1.0000000000000009,2.0000000000000004,-1.0000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NKE,Bear Call Spread,-41.05,-288.0,288.0,412.0,47.79,52.21,-0.09963592233009708,-48.00000000000001,-0.9999999999999996,2.0000000000000004,-2.0000000000000004,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
