Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_53.0,C_53.5,C_54.0,C_54.5,C_55.0,C_55.5,C_56.0,C_56.5,C_57.0,C_57.5,C_58.0,P_53.0,P_53.5,P_54.0,P_54.5,P_55.0,P_55.5,P_56.0,P_56.5,P_57.0,P_57.5,P_58.0
ORCL,Bear Call Spread,-17.74,-109.0,109.0,191.0,50.39,49.61,-0.09287958115183245,-43.99999999999999,-3.9999999999999996,2.0,-1.0000000000000002,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ORCL,Bear Call Spread,-23.38,-262.0,262.0,238.0,41.59,58.41,-0.09823529411764706,-65.99999999999999,2.0000000000000004,0.9999999999999999,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ORCL,Bear Call Spread,-22.3,-140.0,140.0,210.0,46.81,53.19,-0.1061904761904762,-51.0,-3.0000000000000013,2.0,-1.0000000000000002,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ORCL,Bear Call Spread,-24.98,-176.0,176.0,224.0,45.04,54.96,-0.11151785714285714,-57.99999999999999,-0.9999999999999996,0.9999999999999999,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ORCL,Bear Call Spread,-17.0,-99.0,99.0,151.0,48.59,51.41,-0.11258278145695365,-38.0,-1.9999999999999991,1.0000000000000002,-1.0000000000000002,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ORCL,Bear Call Spread,-12.5,-89.0,89.0,111.0,46.81,53.19,-0.11261261261261261,-31.999999999999996,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ORCL,Bear Call Spread,-22.64,-252.0,252.0,198.0,39.9,60.1,-0.11434343434343434,-60.0,4.000000000000001,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ORCL,Bear Call Spread,-17.19,-50.0,50.0,150.0,57.63,42.37,-0.11460000000000001,-29.000000000000004,-5.0,2.0,-1.0000000000000002,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ORCL,Bear Call Spread,-18.14,-242.0,242.0,158.0,38.25,61.75,-0.11481012658227849,-53.99999999999999,6.0,0.0,1.0000000000000002,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ORCL,Bear Call Spread,-20.88,-74.0,74.0,176.0,54.01,45.99,-0.11863636363636364,-37.0,-5.0,2.0,-1.0000000000000002,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ORCL,Bear Call Spread,-21.56,-130.0,130.0,170.0,45.04,54.96,-0.1268235294117647,-45.00000000000001,-1.0000000000000009,1.0000000000000002,-1.0000000000000002,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ORCL,Bear Call Spread,-17.06,-120.0,120.0,130.0,43.3,56.7,-0.13123076923076923,-39.0,0.9999999999999981,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ORCL,Bear Call Spread,-24.23,-166.0,166.0,184.0,43.3,56.7,-0.13168478260869565,-52.0,1.0000000000000009,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ORCL,Bear Call Spread,-19.73,-156.0,156.0,144.0,41.59,58.41,-0.13701388888888888,-46.0,3.0,0.0,1.0000000000000002,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ORCL,Bear Call Spread,-16.97,-27.0,27.0,123.0,63.0,37.0,-0.13796747967479675,-21.0,-5.0,0.9999999999999999,-1.0000000000000002,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ORCL,Bear Call Spread,-20.13,-64.0,64.0,136.0,52.2,47.8,-0.14801470588235294,-31.000000000000007,-3.0,1.0000000000000002,-1.0000000000000002,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ORCL,Bear Call Spread,-16.45,-40.0,40.0,110.0,55.82,44.18,-0.14954545454545454,-23.0,-3.0,1.0000000000000002,-1.0000000000000002,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ORCL,Bear Call Spread,-13.24,-12.0,12.0,88.0,68.17,31.83,-0.15045454545454545,-12.000000000000002,-3.9999999999999996,0.9999999999999999,-1.0000000000000002,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ORCL,Bear Call Spread,-39.18,-203.0,203.0,247.0,41.59,58.41,-0.15862348178137653,-65.0,0.0,0.9999999999999999,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ORCL,Bear Call Spread,-15.64,-54.0,54.0,96.0,50.39,49.61,-0.16291666666666668,-25.0,-1.0000000000000009,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
