Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_15.0,C_16.0,C_17.0,C_18.0,C_19.0,P_15.0,P_16.0,P_17.0,P_18.0,P_19.0
OXY,Bear Call Spread,-25.54,-52.0,52.0,148.0,52.54,47.02,-0.17256756756756755,-28.999999999999996,-5.000000000000002,2.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
OXY,Bear Call Spread,-15.94,-14.0,14.0,86.0,63.53,36.03,-0.18534883720930231,-13.0,-4.000000000000001,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0
OXY,Bear Call Spread,-46.51,-97.0,97.0,203.0,43.06,56.49,-0.22911330049261083,-46.0,-3.0,2.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
OXY,Bear Call Spread,-15.58,-32.0,32.0,68.0,48.74,50.82,-0.22911764705882354,-15.999999999999998,-1.0000000000000009,1.0000000000000002,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
OXY,Bear Call Spread,-56.32,-168.0,168.0,232.0,37.52,62.03,-0.24275862068965517,-59.00000000000001,0.9999999999999996,0.9999999999999999,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
OXY,Bear Call Spread,-36.54,-77.0,77.0,123.0,39.35,60.21,-0.2970731707317073,-33.0,1.0000000000000009,1.0000000000000002,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
OXY,Bear Call Spread,-46.36,-148.0,148.0,152.0,33.97,65.58,-0.305,-46.0,5.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
OXY,Bear Call Spread,-33.76,-113.0,113.0,87.0,27.37,72.19,-0.38804597701149424,-30.000000000000004,6.000000000000001,-1.0000000000000002,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OXY,Bear Call Spread,-23.95,-42.0,42.0,58.0,32.26,67.3,-0.4129310344827586,-17.000000000000004,2.0000000000000018,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OXY,Bear Call Spread,-36.69,-44.0,44.0,56.0,17.87,81.69,-0.6551785714285714,-13.0,3.9999999999999996,-1.0000000000000002,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OXY,Bear Put Spread,-51.34,226.99999999999997,173.00000000000003,226.99999999999997,37.52,62.03,-0.2261674008810573,-62.0,0.0,0.9999999999999999,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0
OXY,Bear Put Spread,-46.51,202.99999999999997,97.00000000000003,202.99999999999997,43.06,56.49,-0.22911330049261086,-48.0,-3.0,2.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0
OXY,Bear Put Spread,-36.49,158.99999999999997,41.00000000000003,158.99999999999997,50.64,48.92,-0.229496855345912,-30.999999999999993,-6.0,0.9999999999999999,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0
OXY,Bear Put Spread,-27.88,97.99999999999997,2.0000000000000284,97.99999999999997,61.76,37.79,-0.2844897959183674,-14.999999999999991,-3.0,0.9999999999999999,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0
OXY,Bear Put Spread,-26.79,80.0,120.0,80.0,28.95,70.61,-0.334875,-31.000000000000007,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0
OXY,Bear Put Spread,-53.33,159.0,141.0,159.0,32.26,67.3,-0.33540880503144654,-47.00000000000001,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0
OXY,Bear Put Spread,-48.49,135.0,65.0,135.0,35.73,63.83,-0.3591851851851852,-33.00000000000001,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0
OXY,Bear Put Spread,-21.96,56.0,44.0,56.0,32.26,67.3,-0.3921428571428572,-17.000000000000004,3.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0
OXY,Bear Put Spread,-38.48,91.0,9.0,91.0,44.95,54.61,-0.4228571428571428,-16.000000000000004,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0
OXY,Bear Put Spread,-25.74,45.0,55.0,45.0,19.05,80.51,-0.572,-13.999999999999998,3.0,-1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0
