Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_131.0,C_132.0,C_133.0,C_134.0,C_135.0,C_136.0,C_137.0,C_138.0,C_139.0,C_140.0,C_141.0,P_131.0,P_132.0,P_133.0,P_134.0,P_135.0,P_136.0,P_137.0,P_138.0,P_139.0,P_140.0,P_141.0
PEP,Bear Call Spread,-22.33,-159.99999999999997,159.99999999999997,340.0,56.01,43.99,-0.0656764705882353,-36.0,-3.0,4.0,-4.000000000000001,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PEP,Bear Call Spread,-28.49,-287.0,287.0,413.0,49.6,50.4,-0.06898305084745762,-50.0,-2.0000000000000004,4.0,-4.000000000000001,-1.9999999999999998,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PEP,Bear Call Spread,-35.8,-357.0,357.0,443.0,46.87,53.13,-0.08081264108352144,-55.99999999999999,-0.9999999999999996,3.0000000000000004,-3.0,-1.9999999999999998,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PEP,Bear Call Spread,-20.95,-140.99999999999997,140.99999999999997,259.0,54.18,45.82,-0.08088803088803088,-30.0,-2.0000000000000004,3.0,-3.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PEP,Bear Call Spread,-27.11,-268.0,268.0,332.0,47.78,52.22,-0.0816566265060241,-44.0,-1.0000000000000009,3.0,-3.0,-1.9999999999999998,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PEP,Bear Call Spread,-38.5,-437.0,437.0,463.0,45.06,54.94,-0.08315334773218143,-61.0,0.0,3.0000000000000004,-2.0000000000000004,-1.9999999999999998,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PEP,Bear Call Spread,-45.24,-517.0,517.0,483.0,43.27,56.73,-0.09366459627329193,-65.0,0.0,3.0000000000000004,-1.0000000000000009,-1.9999999999999998,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PEP,Bear Call Spread,-34.42,-338.0,338.0,362.0,45.06,54.94,-0.0950828729281768,-49.99999999999999,0.0,2.0000000000000004,-1.9999999999999991,-1.9999999999999998,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PEP,Bear Call Spread,-37.94,-207.0,207.0,393.0,51.43,48.57,-0.09653944020356234,-43.99999999999999,-2.0000000000000004,4.0,-4.000000000000001,-1.9999999999999998,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PEP,Bear Call Spread,-37.12,-418.0,418.0,382.0,43.27,56.73,-0.09717277486910994,-55.00000000000001,0.9999999999999996,2.0000000000000004,-0.9999999999999996,-1.9999999999999998,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PEP,Bear Call Spread,-25.54,-242.0,242.0,258.0,45.06,54.94,-0.0989922480620155,-37.0,0.0,2.0000000000000004,-2.0000000000000004,-1.9999999999999998,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PEP,Bear Call Spread,-31.49,-97.0,97.0,303.0,59.63,40.37,-0.10392739273927393,-27.999999999999996,-3.0,3.0000000000000004,-4.000000000000001,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PEP,Bear Call Spread,-19.38,-114.99999999999997,114.99999999999997,185.00000000000003,52.35,47.65,-0.10475675675675673,-23.0,-0.9999999999999996,2.0000000000000004,-2.0000000000000004,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PEP,Bear Call Spread,-43.86,-498.0,498.0,402.0,41.5,58.5,-0.1091044776119403,-59.00000000000001,0.9999999999999996,2.0000000000000004,0.0,-1.9999999999999998,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PEP,Bear Call Spread,-32.85,-312.0,312.0,288.0,42.38,57.62,-0.11406250000000001,-42.99999999999999,1.0000000000000009,1.0000000000000009,-0.9999999999999996,-1.9999999999999998,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PEP,Bear Call Spread,-35.55,-392.0,392.0,308.0,40.62,59.38,-0.11542207792207791,-48.0,2.0000000000000004,1.0000000000000009,0.0,-1.9999999999999998,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PEP,Bear Call Spread,-36.56,-188.0,188.0,312.0,49.6,50.4,-0.11717948717948719,-37.99999999999999,-1.0000000000000009,3.0,-3.0,-1.9999999999999998,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PEP,Bear Call Spread,-29.76,-54.0,54.0,246.0,64.91,35.09,-0.12097560975609757,-20.999999999999996,-2.0000000000000004,3.0000000000000004,-3.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PEP,Bear Call Spread,-42.29,-472.0,472.0,328.0,38.89,61.11,-0.1289329268292683,-52.0,2.0000000000000004,1.0000000000000009,0.9999999999999996,-1.9999999999999998,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PEP,Bear Call Spread,-17.0,-170.0,170.0,130.0,38.89,61.11,-0.13076923076923078,-22.000000000000004,0.9999999999999996,0.9999999999999996,0.0,-0.9999999999999999,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PEP,Bear Call Spread,-30.11,-78.0,78.0,222.0,57.82,42.18,-0.13563063063063063,-21.999999999999996,-2.0000000000000004,2.0000000000000004,-3.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PEP,Bear Call Spread,-23.95,-24.0,24.0,176.0,70.74,29.26,-0.13607954545454545,-13.0,-2.0000000000000004,1.9999999999999998,-2.0000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PEP,Bear Call Spread,-34.99,-162.0,162.0,238.0,46.87,53.13,-0.14701680672268908,-30.999999999999993,0.0,2.0000000000000004,-2.0000000000000004,-1.9999999999999998,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PEP,Bear Call Spread,-27.01,-320.0,320.0,180.0,34.7,65.3,-0.15005555555555555,-33.0,3.0,0.0,2.0000000000000004,-0.9999999999999999,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PEP,Bear Call Spread,-24.31,-240.0,240.0,160.0,36.35,63.65,-0.1519375,-27.999999999999996,2.0000000000000004,0.0,1.0000000000000009,-0.9999999999999999,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PEP,Bear Call Spread,-33.75,-400.0,400.0,200.0,33.09,66.91,-0.16875,-37.00000000000001,3.0,0.0,3.0,-0.9999999999999999,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PEP,Bear Call Spread,-28.38,-35.0,35.0,165.0,63.17,36.83,-0.172,-14.999999999999996,-1.0000000000000009,2.0000000000000004,-1.9999999999999991,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PEP,Bear Call Spread,-17.38,-3.0,3.0,97.0,76.8,23.2,-0.17917525773195875,-6.0,-0.9999999999999996,1.0000000000000002,-1.0000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PEP,Bear Call Spread,-10.84,-42.99999999999997,42.99999999999997,57.00000000000003,45.96,54.04,-0.19017543859649114,-8.000000000000002,0.0,0.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
