Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_35.5,C_36.0,C_36.5,C_37.0,C_37.5,C_38.0,C_38.5,C_39.0,C_40.0,P_35.5,P_36.0,P_36.5,P_37.0,P_37.5,P_38.0,P_38.5,P_39.0,P_40.0
PFE,Bear Call Spread,-10.3,-48.0,48.0,152.0,62.42,34.53,-0.06776315789473684,-18.999999999999996,-4.000000000000001,1.0000000000000002,-0.9999999999999999,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PFE,Bear Call Spread,-18.74,-155.0,155.0,245.0,49.5,47.44,-0.07648979591836734,-44.00000000000001,-2.0000000000000004,0.0,-0.9999999999999999,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PFE,Bear Call Spread,-17.29,-91.0,91.0,209.0,53.95,42.99,-0.08272727272727272,-32.00000000000001,-4.000000000000001,1.0000000000000002,-0.9999999999999999,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PFE,Bear Call Spread,-6.96,-15.999999999999993,15.999999999999993,84.0,71.14,25.8,-0.08285714285714285,-7.999999999999999,-2.0000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PFE,Bear Call Spread,-19.13,-120.0,120.0,230.0,51.0,45.95,-0.08317391304347825,-38.0,-3.0,1.0000000000000002,-0.9999999999999999,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PFE,Bear Call Spread,-15.31,-66.0,66.0,184.0,58.28,38.67,-0.08320652173913044,-24.999999999999996,-4.000000000000001,1.0000000000000002,-0.9999999999999999,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PFE,Bear Call Spread,-10.84,-28.0,28.0,122.0,66.33,30.61,-0.08885245901639344,-12.999999999999998,-3.0,0.0,-0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PFE,Bear Call Spread,-25.53,-185.99999999999997,185.99999999999997,264.0,46.49,50.45,-0.09670454545454546,-49.0,-1.0000000000000009,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PFE,Bear Call Spread,-19.53,-131.0,131.0,169.0,44.98,51.96,-0.1155621301775148,-36.00000000000001,0.0,0.0,-0.9999999999999999,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PFE,Bear Call Spread,-11.34,-104.0,104.0,96.0,41.96,54.98,-0.118125,-25.000000000000007,2.0000000000000004,-1.0000000000000002,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PFE,Bear Call Spread,-19.92,-96.0,96.0,154.0,48.0,48.95,-0.12935064935064935,-30.0,-0.9999999999999996,1.0000000000000002,-0.9999999999999999,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
