Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_120.0,C_121.0,C_122.0,C_123.0,C_124.0,C_125.0,C_126.0,C_127.0,C_128.0,C_129.0,C_130.0,C_131.0,C_132.0,P_120.0,P_121.0,P_122.0,P_123.0,P_124.0,P_125.0,P_126.0,P_127.0,P_128.0,P_129.0,P_130.0,P_131.0,P_132.0
PG,Bear Call Spread,-98.06,-327.99999999999994,327.99999999999994,572.0,40.55,59.45,-0.17143356643356644,-50.0,-1.0000000000000002,3.0,-2.0000000000000004,-1.9999999999999998,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PG,Bear Call Spread,-99.36,-263.0,263.0,537.0,42.12,57.88,-0.18502793296089384,-44.0,-1.9999999999999998,3.0,-3.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PG,Bear Call Spread,-101.34,-198.0,198.0,502.0,43.52,56.48,-0.20187250996015937,-38.00000000000001,-1.9999999999999998,3.0,-3.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PG,Bear Call Spread,-40.5,-205.99999999999994,205.99999999999994,194.00000000000006,37.62,62.38,-0.2087628865979381,-25.000000000000007,2.0000000000000004,0.0,0.9999999999999996,-0.9999999999999999,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PG,Bear Call Spread,-96.9,-141.0,141.0,459.0,46.33,53.67,-0.2111111111111111,-32.0,-1.9999999999999998,4.000000000000001,-3.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PG,Bear Call Spread,-85.71,-295.99999999999994,295.99999999999994,404.00000000000006,39.59,60.41,-0.21215346534653462,-43.00000000000001,0.0,1.9999999999999991,-0.9999999999999996,-1.9999999999999998,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PG,Bear Call Spread,-87.56,-92.0,92.0,408.0,49.73,50.27,-0.2146078431372549,-25.0,-3.0000000000000004,3.0,-3.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PG,Bear Call Spread,-108.36,-299.99999999999994,299.99999999999994,500.00000000000006,39.89,60.11,-0.21671999999999997,-47.00000000000001,0.0,1.9999999999999991,-0.9999999999999996,-1.9999999999999998,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PG,Bear Call Spread,-57.63,-241.99999999999994,241.99999999999994,258.00000000000006,38.34,61.66,-0.22337209302325578,-34.0,2.0000000000000004,1.9999999999999991,0.9999999999999996,-1.9999999999999998,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PG,Bear Call Spread,-87.0,-231.0,231.0,369.0,40.91,59.09,-0.23577235772357724,-37.0,-0.9999999999999996,1.9999999999999991,-1.9999999999999991,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PG,Bear Call Spread,-109.66,-235.0,235.0,465.0,40.91,59.09,-0.2358279569892473,-41.0,-0.9999999999999996,1.9999999999999991,-1.9999999999999991,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
