Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_82.0,C_83.0,C_84.0,C_85.0,C_86.0,C_87.0,C_88.0,C_89.0,C_90.0,C_91.0,C_92.0,C_93.0,C_94.0,C_95.0,C_96.0,P_82.0,P_83.0,P_84.0,P_85.0,P_86.0,P_87.0,P_88.0,P_89.0,P_90.0,P_91.0,P_92.0,P_93.0,P_94.0,P_95.0,P_96.0
QCOM,Bear Call Spread,-24.31,-104.99999999999997,104.99999999999997,295.0,64.33,35.67,-0.08240677966101695,-18.000000000000004,-1.0000000000000002,2.0000000000000004,-0.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QCOM,Bear Call Spread,-47.73,-369.00000000000006,369.00000000000006,531.0,54.65,45.34,-0.08988700564971751,-43.00000000000001,-1.0000000000000002,2.0000000000000004,-0.9999999999999996,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QCOM,Bear Call Spread,-34.81,-117.99999999999997,117.99999999999997,382.0,64.72,35.28,-0.09112565445026179,-21.000000000000004,-1.0000000000000002,3.0,-0.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QCOM,Bear Call Spread,-21.29,-70.0,70.0,230.0,66.64,33.36,-0.09256521739130434,-12.999999999999998,-1.0000000000000002,2.0000000000000004,-0.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QCOM,Bear Call Spread,-52.37,-439.0,439.0,561.0,53.42,46.58,-0.0933511586452763,-48.0,0.0,2.0000000000000004,-0.9999999999999996,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QCOM,Bear Call Spread,-46.88,-299.0,299.0,501.0,55.89,44.11,-0.09357285429141717,-39.0,-1.0000000000000002,2.0000000000000004,-0.9999999999999996,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QCOM,Bear Call Spread,-58.23,-382.00000000000006,382.00000000000006,618.0,55.07,44.93,-0.09422330097087378,-46.0,-1.0000000000000002,3.0,-0.9999999999999996,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QCOM,Bear Call Spread,-57.17,-594.0,594.0,606.0,45.18,54.82,-0.09433993399339934,-55.00000000000001,1.0000000000000002,1.0000000000000009,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QCOM,Bear Call Spread,-45.0,-234.0,234.0,466.0,57.11,42.88,-0.09656652360515021,-34.00000000000001,-1.0000000000000002,2.0000000000000004,-2.0000000000000004,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QCOM,Bear Call Spread,-62.87,-452.0,452.0,648.0,53.83,46.17,-0.0970216049382716,-51.0,0.0,3.0,-0.9999999999999996,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
