Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_17.5,C_18.0,C_18.5,C_19.0,C_19.5,C_20.0,C_20.5,C_21.0,C_21.5,P_17.5,P_18.0,P_18.5,P_19.0,P_19.5,P_20.0,P_20.5,P_21.0,P_21.5
SLB,Bear Call Spread,-16.52,-57.0,57.0,143.0,56.15,43.85,-0.11552447552447552,-34.0,-7.000000000000001,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLB,Bear Call Spread,-19.82,-84.0,84.0,166.0,52.21,47.79,-0.11939759036144579,-43.99999999999999,-6.0,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLB,Bear Call Spread,-14.22,-34.0,34.0,116.0,61.86,38.13,-0.12258620689655172,-23.999999999999996,-7.000000000000001,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLB,Bear Call Spread,-7.7,-38.0,38.0,62.0,52.21,47.79,-0.12419354838709677,-20.0,-1.0000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLB,Bear Call Spread,-11.0,-65.0,65.0,85.0,48.21,51.79,-0.12941176470588237,-30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLB,Bear Call Spread,-10.82,-17.0,17.0,83.0,67.25,32.74,-0.13036144578313252,-13.999999999999998,-6.0,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLB,Bear Call Spread,-26.26,-152.0,152.0,198.0,44.18,55.81,-0.13262626262626265,-61.0,-1.0000000000000009,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLB,Bear Call Spread,-13.58,-48.0,48.0,102.0,54.19,45.81,-0.1331372549019608,-28.000000000000004,-4.000000000000001,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLB,Bear Call Spread,-16.88,-75.0,75.0,125.0,50.21,49.78,-0.13504,-38.0,-3.0,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLB,Bear Call Spread,-25.9,-113.0,113.0,187.0,46.19,53.8,-0.13850267379679143,-52.99999999999999,-4.000000000000001,0.9999999999999999,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
