Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_28.5,C_29.0,C_29.5,C_30.0,C_30.5,C_31.0,P_28.5,P_29.0,P_29.5,P_30.0,P_30.5,P_31.0
T,Bear Call Spread,-4.11,-45.99999999999999,45.99999999999999,104.0,58.7,41.3,-0.03951923076923077,-35.0,-10.0,1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
T,Bear Call Spread,-3.56,-23.0,23.0,77.0,67.38,32.62,-0.04623376623376623,-21.0,-10.0,1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
T,Bear Call Spread,-8.5,-73.0,73.0,127.0,52.46,47.54,-0.06692913385826772,-48.0,-7.999999999999999,1.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
T,Bear Call Spread,-4.73,-34.99999999999999,34.99999999999999,65.0,55.61,44.39,-0.07276923076923078,-26.0,-5.000000000000002,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T,Bear Call Spread,-3.38,-7.0,7.0,43.0,74.88,25.12,-0.0786046511627907,-9.0,-4.999999999999999,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
T,Bear Call Spread,-11.72,-108.0,108.0,142.0,46.08,53.92,-0.08253521126760564,-60.0,-3.9999999999999982,1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
T,Bear Call Spread,-2.55,-20.999999999999993,20.999999999999993,29.000000000000007,52.46,47.54,-0.08793103448275859,-14.000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T,Bear Call Spread,-9.12,-62.0,62.0,88.0,49.28,50.72,-0.10363636363636362,-39.0,-3.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T,Bear Call Spread,-4.18,-12.0,12.0,38.0,64.61,35.39,-0.10999999999999999,-12.0,-5.000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T,Bear Call Spread,-12.34,-97.0,97.0,103.0,42.89,57.11,-0.11980582524271845,-51.0,1.0000000000000009,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T,Bear Call Spread,-6.94,-48.0,48.0,52.0,42.89,57.11,-0.13346153846153846,-27.0,2.0000000000000018,0.0,0.0,-1.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T,Bear Call Spread,-10.16,-83.0,83.0,67.0,39.75,60.25,-0.15164179104477613,-39.0,6.000000000000003,0.0,0.0,-1.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T,Bear Call Spread,-10.61,-59.0,59.0,41.0,33.69,66.31,-0.25878048780487806,-25.0,6.000000000000003,0.0,0.0,-1.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T,Bear Call Spread,-7.39,-24.0,24.0,26.0,36.67,63.33,-0.28423076923076923,-13.0,2.0000000000000018,0.0,0.0,-1.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T,Bear Call Spread,-10.22,-28.0,28.0,22.0,23.03,76.97,-0.4645454545454546,-12.0,4.000000000000001,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T,Bear Put Spread,-2.61,33.0,67.0,33.0,33.69,66.31,-0.07909090909090909,-26.0,10.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0
T,Bear Put Spread,-5.16,62.0,88.0,62.0,39.75,60.25,-0.0832258064516129,-42.00000000000001,9.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0
T,Bear Put Spread,-12.72,143.0,107.00000000000017,143.0,46.08,53.92,-0.08895104895104895,-66.0,-4.999999999999999,1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0
T,Bear Put Spread,-9.34,100.0,100.0,100.0,46.08,53.92,-0.0934,-56.00000000000001,3.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0
T,Bear Put Spread,-14.5,133.0,67.00000000000017,133.0,49.28,50.72,-0.10902255639097744,-55.00000000000001,-12.000000000000002,1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0
T,Bear Put Spread,-13.11,113.0,37.00000000000017,113.0,55.61,44.39,-0.11601769911504424,-40.0,-15.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0
T,Bear Put Spread,-11.12,90.0,60.0,90.0,49.28,50.72,-0.12355555555555554,-45.0,-4.0000000000000036,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0
T,Bear Put Spread,-6.94,52.0,48.0,52.0,42.89,57.11,-0.13346153846153846,-31.0,1.9999999999999962,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0
T,Bear Put Spread,-9.73,70.0,30.0,70.0,55.61,44.39,-0.139,-30.000000000000004,-7.000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0
T,Bear Put Spread,-13.56,87.0,13.00000000000017,87.0,64.61,35.39,-0.15586206896551724,-24.0,-13.999999999999998,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0
T,Bear Put Spread,-2.22,14.0,36.0,14.0,25.47,74.53,-0.15857142857142859,-11.000000000000002,7.0000000000000036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0
T,Bear Put Spread,-5.55,32.0,18.0,32.0,49.28,50.72,-0.1734375,-16.000000000000004,-1.0000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0
T,Bear Put Spread,-4.39,23.000000000000004,26.999999999999996,23.000000000000004,36.67,63.33,-0.19086956521739126,-14.999999999999996,2.9999999999999973,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0
T,Bear Put Spread,-10.18,44.0,6.0,44.0,61.71,38.29,-0.23136363636363635,-14.000000000000002,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0
