Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_167.5,C_170.0,C_172.5,C_175.0,C_177.5,C_180.0,C_182.5,C_185.0,P_167.5,P_170.0,P_172.5,P_175.0,P_177.5,P_180.0,P_182.5,P_185.0
UNP,Bear Call Spread,-39.34,-820.9999999999999,820.9999999999999,679.0000000000001,44.95,55.05,-0.057938144329896905,-53.0,2.0,7.000000000000001,-0.9999999999999996,-3.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNP,Bear Call Spread,-39.85,-621.0,621.0,629.0,46.93,53.07,-0.06335453100158983,-49.0,1.0000000000000002,5.000000000000002,-0.9999999999999996,-3.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNP,Bear Call Spread,-45.35,-436.0,436.0,564.0,49.7,50.3,-0.08040780141843971,-42.00000000000001,1.0000000000000002,6.0,-1.9999999999999991,-3.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNP,Bear Call Spread,-60.59,-328.0,328.0,672.0,55.21,44.79,-0.09016369047619048,-39.0,-1.0000000000000002,8.0,-5.0,-1.9999999999999998,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNP,Bear Call Spread,-48.67,-276.0,276.0,474.0,53.25,46.75,-0.10267932489451477,-33.00000000000001,0.0,7.000000000000001,-3.0,-1.9999999999999998,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNP,Bear Call Spread,-63.3,-193.0,193.0,557.0,59.44,40.56,-0.11364452423698383,-29.000000000000004,-1.0000000000000002,6.999999999999999,-5.0,-1.9999999999999998,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNP,Bear Call Spread,-51.38,-141.0,141.0,359.0,57.53,42.47,-0.14311977715877439,-23.0,0.0,6.0,-3.0,-1.9999999999999998,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNP,Bear Call Spread,-59.52,-89.0,89.0,411.0,64.99,35.01,-0.14481751824817518,-18.999999999999996,-1.0000000000000002,6.000000000000001,-3.9999999999999996,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNP,Bear Call Spread,-80.74,-694.9999999999999,694.9999999999999,555.0000000000001,39.84,60.16,-0.14547747747747744,-40.0,2.0,1.9999999999999991,0.9999999999999996,-2.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNP,Bear Call Spread,-81.25,-495.0,495.0,505.0,41.8,58.2,-0.1608910891089109,-36.0,1.0000000000000002,0.0,0.9999999999999996,-2.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
