Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_111.0,C_112.0,C_113.0,C_114.0,C_115.0,C_116.0,C_117.0,C_118.0,C_119.0,C_120.0,C_121.0,C_122.0,C_123.0,C_124.0,C_125.0,C_126.0,P_111.0,P_112.0,P_113.0,P_114.0,P_115.0,P_116.0,P_117.0,P_118.0,P_119.0,P_120.0,P_121.0,P_122.0,P_123.0,P_124.0,P_125.0,P_126.0
UPS,Bear Call Spread,-20.73,-151.0,151.0,349.0,61.67,38.33,-0.059398280802292265,-18.0,-1.0000000000000002,2.0000000000000018,-1.9999999999999991,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UPS,Bear Call Spread,-30.81,-164.0,164.0,436.0,62.16,37.84,-0.0706651376146789,-21.0,-1.0000000000000002,3.0000000000000013,-1.9999999999999991,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UPS,Bear Call Spread,-39.81,-181.0,181.0,419.0,58.12,41.88,-0.09501193317422435,-21.999999999999996,-1.0000000000000002,2.0000000000000018,-1.9999999999999991,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UPS,Bear Call Spread,-27.59,-118.0,118.0,282.0,60.17,39.82,-0.09783687943262412,-15.000000000000002,0.0,2.0000000000000018,-0.9999999999999996,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UPS,Bear Call Spread,-49.89,-194.0,194.0,506.0,58.64,41.36,-0.09859683794466403,-24.999999999999996,-1.0000000000000002,3.0000000000000013,-1.9999999999999991,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UPS,Bear Call Spread,-15.83,-40.0,40.0,160.0,70.03,29.96,-0.0989375,-6.0,-1.0000000000000002,1.0000000000000009,-0.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UPS,Bear Call Spread,-30.12,-98.0,98.0,302.0,64.06,35.94,-0.09973509933774835,-14.000000000000002,-1.0000000000000002,2.0000000000000018,-1.9999999999999991,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UPS,Bear Call Spread,-40.2,-111.0,111.0,389.0,64.52,35.48,-0.10334190231362468,-17.0,-1.0000000000000002,3.0000000000000013,-1.9999999999999991,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UPS,Bear Call Spread,-25.92,-53.0,53.0,247.0,70.42,29.58,-0.10493927125506074,-9.0,-1.0000000000000002,2.0000000000000004,-0.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UPS,Bear Call Spread,-60.27,-340.99999999999994,340.99999999999994,559.0,50.5,49.5,-0.10781753130590341,-35.0,-1.0000000000000002,2.0000000000000018,-1.9999999999999991,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UPS,Bear Call Spread,-70.35,-353.99999999999994,353.99999999999994,646.0,51.06,48.94,-0.10890092879256966,-38.0,-1.0000000000000002,3.0000000000000013,-1.9999999999999991,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
