Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_34.5,C_35.0,C_35.5,C_36.0,C_36.5,C_37.0,C_37.5,C_38.0,C_38.5,C_39.0,C_39.5,P_34.5,P_35.0,P_35.5,P_36.0,P_36.5,P_37.0,P_37.5,P_38.0,P_38.5,P_39.0,P_39.5
USB,Bear Call Spread,-33.17,-125.0,125.0,225.0,46.84,53.16,-0.14742222222222223,-45.0,-3.0,1.0000000000000002,-0.9999999999999999,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USB,Bear Call Spread,-36.17,-158.0,158.0,242.0,45.42,54.58,-0.1494628099173554,-52.0,-1.9999999999999991,1.0000000000000002,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USB,Bear Call Spread,-31.13,-94.0,94.0,206.0,49.74,50.26,-0.15111650485436892,-38.99999999999999,-4.000000000000001,1.0000000000000002,-0.9999999999999999,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USB,Bear Call Spread,-38.81,-194.0,194.0,256.0,42.6,57.4,-0.1516015625,-57.00000000000001,-0.9999999999999996,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USB,Bear Call Spread,-28.35,-67.0,67.0,183.0,54.15,45.85,-0.15491803278688526,-32.0,-4.000000000000001,1.0000000000000002,-0.9999999999999999,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USB,Bear Call Spread,-25.06,-44.0,44.0,156.0,57.12,42.88,-0.16064102564102564,-24.0,-4.000000000000001,1.0000000000000002,-0.9999999999999999,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USB,Bear Call Spread,-30.07,-116.0,116.0,184.0,45.42,54.58,-0.16342391304347825,-40.0,-2.0000000000000004,1.0000000000000002,-0.9999999999999999,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USB,Bear Call Spread,-33.06,-149.0,149.0,201.0,44.0,56.0,-0.16447761194029853,-47.0,-0.9999999999999996,1.0000000000000002,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USB,Bear Call Spread,-20.44,-25.999999999999993,25.999999999999993,124.0,61.54,38.46,-0.16483870967741937,-17.0,-4.000000000000001,1.0000000000000002,-0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USB,Bear Call Spread,-35.71,-185.0,185.0,215.0,41.23,58.77,-0.16609302325581396,-52.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USB,Bear Call Spread,-28.03,-85.0,85.0,165.0,48.29,51.71,-0.16987878787878788,-34.0,-3.0000000000000013,1.0000000000000002,-0.9999999999999999,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USB,Bear Call Spread,-25.24,-58.0,58.0,142.0,52.68,47.32,-0.17774647887323944,-27.0,-3.0000000000000013,1.0000000000000002,-0.9999999999999999,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USB,Bear Call Spread,-21.96,-35.0,35.0,115.0,55.63,44.37,-0.19095652173913044,-18.999999999999996,-3.0000000000000013,1.0000000000000002,-0.9999999999999999,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USB,Bear Call Spread,-34.32,-171.0,171.0,179.0,39.87,60.13,-0.191731843575419,-46.0,2.0000000000000004,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USB,Bear Call Spread,-31.67,-135.0,135.0,165.0,41.23,58.77,-0.19193939393939394,-41.0,1.0000000000000009,1.0000000000000002,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USB,Bear Call Spread,-28.68,-102.0,102.0,148.0,44.0,56.0,-0.19378378378378378,-34.0,0.0,1.0000000000000002,-0.9999999999999999,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USB,Bear Call Spread,-17.49,-10.0,10.0,90.0,67.29,32.71,-0.1943333333333333,-10.999999999999998,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USB,Bear Call Spread,-56.81,-217.0,217.0,283.0,39.87,60.13,-0.20074204946996468,-64.99999999999999,0.0,-0.9999999999999999,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USB,Bear Call Spread,-29.37,-157.0,157.0,143.0,38.53,61.47,-0.2053846153846154,-40.0,3.0000000000000013,-1.0000000000000002,0.9999999999999999,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USB,Bear Call Spread,-26.64,-71.0,71.0,129.0,46.84,53.16,-0.20651162790697675,-27.999999999999996,-1.0000000000000009,1.0000000000000002,-0.9999999999999999,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USB,Bear Call Spread,-26.73,-121.0,121.0,129.0,39.87,60.13,-0.2072093023255814,-35.0,2.0000000000000018,0.0,0.9999999999999999,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USB,Bear Call Spread,-17.33,-16.999999999999993,16.999999999999993,83.0,61.54,38.46,-0.20879518072289155,-11.999999999999996,-3.0000000000000013,1.0000000000000002,-0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USB,Bear Call Spread,-23.73,-88.0,88.0,112.0,42.6,57.4,-0.211875,-28.000000000000004,1.0000000000000009,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
