Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_185.0,C_187.5,C_190.0,C_192.5,C_195.0,C_197.5,C_200.0,C_202.5,C_205.0,P_185.0,P_187.5,P_190.0,P_192.5,P_195.0,P_197.5,P_200.0,P_202.5,P_205.0
V,Bear Call Spread,-80.91,-318.0,318.0,682.0,54.7,45.3,-0.11863636363636364,-31.0,0.0,6.0,-4.999999999999999,-1.9999999999999998,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V,Bear Call Spread,-72.7,-198.0,198.0,552.0,58.63,41.37,-0.13170289855072465,-23.0,0.0,6.0,-4.000000000000001,-1.9999999999999998,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V,Bear Call Spread,-87.4,-850.0,850.0,650.0,40.37,59.63,-0.13446153846153847,-48.00000000000001,0.9999999999999999,-1.9999999999999991,3.0,-2.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V,Bear Call Spread,-83.14,-392.0,392.0,608.0,49.25,50.75,-0.13674342105263157,-32.99999999999999,0.0,3.9999999999999982,-2.0000000000000018,-2.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V,Bear Call Spread,-91.0,-645.0,645.0,605.0,41.6,58.4,-0.15041322314049588,-42.0,0.0,0.0,1.0000000000000009,-2.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V,Bear Call Spread,-64.83,-320.0,320.0,430.0,47.12,52.88,-0.15076744186046512,-26.999999999999996,0.0,3.0,-1.0000000000000009,-2.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V,Bear Call Spread,-75.8,-252.0,252.0,498.0,52.59,47.41,-0.15220883534136545,-24.0,0.0,3.9999999999999982,-3.0,-0.9999999999999999,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V,Bear Call Spread,-33.11,-38.0,38.0,212.0,69.02,30.98,-0.15617924528301885,-7.000000000000001,0.0,2.0000000000000018,-1.9999999999999991,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V,Bear Call Spread,-57.49,-180.0,180.0,320.0,50.47,49.53,-0.17965625000000002,-18.0,0.0,3.0,-1.9999999999999991,-0.9999999999999999,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V,Bear Call Spread,-67.58,-132.0,132.0,368.0,56.51,43.49,-0.18364130434782608,-15.999999999999998,0.0,3.9999999999999982,-2.0000000000000018,-0.9999999999999999,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V,Bear Call Spread,-79.91,-620.0,620.0,380.0,33.34,66.66,-0.21028947368421053,-30.000000000000004,0.9999999999999999,-4.999999999999999,4.999999999999999,-1.0000000000000002,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V,Bear Call Spread,-94.42,-67.0,67.0,433.0,61.97,38.03,-0.21806004618937644,-13.0,0.0,3.0,-3.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V,Bear Call Spread,-118.12,-710.0,710.0,540.0,36.08,63.92,-0.21874074074074074,-38.00000000000001,0.9999999999999999,-4.999999999999999,4.000000000000001,-1.0000000000000002,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V,Bear Call Spread,-136.26,-415.0,415.0,585.0,42.22,57.78,-0.2329230769230769,-35.99999999999999,0.0,0.0,0.0,-2.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V,Bear Call Spread,-121.72,-505.0,505.0,495.0,37.3,62.7,-0.2458989898989899,-32.0,0.0,-3.0,2.0000000000000018,-1.0000000000000002,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V,Bear Call Spread,-83.51,-415.0,415.0,335.0,34.55,65.45,-0.24928358208955226,-24.0,0.0,-3.0,3.0,-1.0000000000000002,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V,Bear Call Spread,-49.28,-60.0,60.0,190.0,54.4,45.6,-0.2593684210526316,-9.999999999999998,0.0,3.0,-1.0000000000000009,-0.9999999999999999,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V,Bear Call Spread,-41.14,-345.0,345.0,155.0,25.16,74.84,-0.26541935483870965,-12.00000000000001,0.9999999999999999,-1.9999999999999991,3.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V,Bear Call Spread,-77.57,-475.0,475.0,275.0,28.88,71.12,-0.28207272727272725,-21.000000000000007,0.9999999999999999,-4.999999999999999,4.000000000000001,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V,Bear Call Spread,-95.56,-180.0,180.0,320.0,42.83,57.17,-0.29862500000000003,-17.0,0.0,0.0,0.0,-1.0000000000000002,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V,Bear Call Spread,-166.98,-275.0,275.0,475.0,37.91,62.09,-0.35153684210526315,-25.999999999999996,0.0,-3.0,1.0000000000000009,-1.0000000000000002,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V,Bear Call Spread,-81.17,-270.0,270.0,230.0,30.35,69.65,-0.35291304347826086,-15.000000000000002,0.0,-3.0,2.0000000000000018,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V,Bear Call Spread,-57.34,-90.0,90.0,160.0,40.06,59.94,-0.358375,-8.999999999999996,0.0,0.0,0.9999999999999981,-1.0000000000000002,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V,Bear Call Spread,-89.31,-1.0,1.0,249.0,60.14,39.86,-0.3586746987951807,-6.0,0.0,0.9999999999999981,-1.0000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
