Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_55.0,C_56.0,C_57.0,C_58.0,C_59.0,P_55.0,P_56.0,P_57.0,P_58.0,P_59.0
VZ,Bear Call Spread,-8.92,-55.0,55.0,145.0,61.09,38.91,-0.06151724137931035,-31.999999999999996,-6.999999999999999,0.9999999999999999,-2.0,-1.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
VZ,Bear Call Spread,-6.48,-17.0,17.0,83.0,71.73,28.27,-0.0780722891566265,-13.999999999999998,-5.0,0.9999999999999999,-2.0,-1.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0
VZ,Bear Call Spread,-5.45,-35.0,35.0,65.0,57.26,42.74,-0.08384615384615385,-18.0,-1.9999999999999991,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
VZ,Bear Call Spread,-16.71,-107.0,107.0,193.0,51.37,48.63,-0.08658031088082901,-50.0,-6.000000000000001,0.9999999999999999,-2.0,-1.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
VZ,Bear Call Spread,-13.24,-87.0,87.0,113.0,47.41,52.59,-0.11716814159292036,-36.00000000000001,-1.0000000000000009,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
VZ,Bear Call Spread,-29.49,-171.0,171.0,229.0,43.49,56.51,-0.1287772925764192,-65.0,-2.0000000000000004,0.0,-0.9999999999999999,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
VZ,Bear Call Spread,-26.01,-151.0,151.0,149.0,39.63,60.37,-0.17456375838926175,-51.0,3.0,-0.9999999999999999,1.0000000000000002,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
VZ,Bear Call Spread,-16.79,-43.0,43.0,57.0,39.63,60.37,-0.2945614035087719,-18.000000000000004,0.9999999999999981,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VZ,Bear Call Spread,-29.56,-107.0,107.0,93.0,32.27,67.73,-0.31784946236559136,-33.00000000000001,4.999999999999999,-0.9999999999999999,1.0000000000000002,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VZ,Bear Call Spread,-26.78,-50.0,50.0,50.0,22.62,77.38,-0.5356000000000001,-15.000000000000002,4.000000000000001,-0.9999999999999999,1.0000000000000002,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VZ,Bear Put Spread,-16.01,139.0,161.0,139.0,41.54,58.46,-0.11517985611510792,-52.0,4.000000000000001,0.0,1.0000000000000002,-2.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0
VZ,Bear Put Spread,-29.49,229.0,171.0,229.0,43.49,56.51,-0.1287772925764192,-65.0,-2.0000000000000004,0.9999999999999999,-0.9999999999999999,-2.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0
VZ,Bear Put Spread,-3.78,27.0,73.0,27.0,27.2,72.8,-0.13999999999999999,-13.999999999999998,4.999999999999999,0.0,1.0000000000000002,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0
VZ,Bear Put Spread,-31.71,208.0,92.0,208.0,47.41,52.59,-0.15245192307692307,-51.0,-6.999999999999999,0.9999999999999999,-2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0
VZ,Bear Put Spread,-18.24,118.0,82.0,118.0,45.44,54.56,-0.15457627118644066,-38.0,-0.9999999999999981,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0
VZ,Bear Put Spread,-12.56,76.0,124.0,76.0,35.87,64.13,-0.16526315789473686,-33.00000000000001,7.000000000000001,0.0,1.0000000000000002,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0
VZ,Bear Put Spread,-31.92,168.0,32.0,168.0,55.31,44.69,-0.19,-31.999999999999996,-9.000000000000002,0.9999999999999999,-2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0
VZ,Bear Put Spread,-18.45,78.0,22.0,78.0,53.34,46.66,-0.23653846153846153,-18.999999999999993,-3.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0
VZ,Bear Put Spread,-14.79,55.0,45.0,55.0,39.63,60.37,-0.2689090909090909,-19.000000000000007,2.0000000000000018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0
