Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_24.0,C_24.5,C_25.0,C_25.5,C_26.0,C_26.5,C_27.0,C_27.5,C_28.0,C_28.5,P_24.0,P_24.5,P_25.0,P_25.5,P_26.0,P_26.5,P_27.0,P_27.5,P_28.0,P_28.5
WFC,Bear Call Spread,-8.67,-14.0,14.0,86.0,72.48,27.04,-0.10081395348837209,-10.999999999999998,-3.9999999999999996,0.9999999999999999,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WFC,Bear Call Spread,-12.97,-27.0,27.0,123.0,65.65,33.86,-0.10544715447154472,-19.0,-6.000000000000001,0.9999999999999999,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WFC,Bear Call Spread,-19.64,-70.0,70.0,180.0,53.87,45.65,-0.10911111111111112,-36.00000000000001,-6.999999999999999,0.9999999999999999,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WFC,Bear Call Spread,-17.17,-45.0,45.0,155.0,59.94,39.57,-0.1107741935483871,-27.0,-6.999999999999999,0.9999999999999999,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WFC,Bear Call Spread,-23.29,-99.0,99.0,201.0,49.68,49.83,-0.11587064676616915,-45.0,-6.000000000000001,0.9999999999999999,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WFC,Bear Call Spread,-25.67,-134.0,134.0,216.0,47.57,51.94,-0.1188425925925926,-52.0,-3.9999999999999996,0.9999999999999999,-1.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WFC,Bear Call Spread,-18.01,-62.0,62.0,138.0,51.78,47.73,-0.1305072463768116,-31.000000000000007,-4.999999999999999,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WFC,Bear Call Spread,-21.66,-91.0,91.0,159.0,47.57,51.94,-0.13622641509433964,-40.0,-4.000000000000001,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WFC,Bear Call Spread,-15.54,-37.0,37.0,113.0,57.95,41.56,-0.1375221238938053,-22.0,-4.999999999999999,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WFC,Bear Call Spread,-24.03,-126.0,126.0,174.0,45.45,54.06,-0.13810344827586207,-47.0,-1.9999999999999991,0.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WFC,Bear Call Spread,-11.34,-19.0,19.0,81.0,63.8,35.72,-0.13999999999999999,-13.999999999999998,-4.000000000000001,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WFC,Bear Call Spread,-6.61,-3.0,3.0,47.0,78.27,21.25,-0.14063829787234045,-5.000000000000002,-2.0000000000000004,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WFC,Bear Call Spread,-7.04,-6.0,6.0,44.0,70.86,28.65,-0.16,-5.999999999999997,-1.9999999999999991,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WFC,Bear Call Spread,-22.97,-114.0,114.0,136.0,43.34,56.17,-0.1688970588235294,-41.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WFC,Bear Call Spread,-16.94,-50.0,50.0,100.0,49.68,49.83,-0.16940000000000002,-25.000000000000007,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WFC,Bear Call Spread,-20.59,-79.0,79.0,121.0,45.45,54.06,-0.17016528925619834,-34.0,-2.0000000000000018,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
