Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_40.0,C_40.5,C_41.0,C_41.5,C_42.0,C_42.5,C_43.0,C_43.5,C_44.0,C_44.5,C_45.0,C_45.5,C_46.0,C_46.5,C_47.0,P_40.0,P_40.5,P_41.0,P_41.5,P_42.0,P_42.5,P_43.0,P_43.5,P_44.0,P_44.5,P_45.0,P_45.5,P_46.0,P_46.5,P_47.0
XOM,Bear Call Spread,-15.37,-101.0,101.0,249.0,58.45,41.25,-0.06172690763052208,-34.0,-3.9999999999999996,2.0000000000000004,-0.9999999999999999,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XOM,Bear Call Spread,-16.88,-128.0,128.0,272.0,55.95,43.74,-0.062058823529411763,-39.0,-3.9999999999999996,2.0000000000000004,-0.9999999999999999,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XOM,Bear Call Spread,-12.09,-57.0,57.0,193.0,65.56,34.14,-0.06264248704663213,-22.0,-3.9999999999999996,2.0000000000000004,-0.9999999999999999,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XOM,Bear Call Spread,-10.13,-40.0,40.0,160.0,68.84,30.85,-0.06331250000000001,-17.0,-3.0,2.0000000000000004,-0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XOM,Bear Call Spread,-14.12,-77.0,77.0,223.0,62.08,37.61,-0.06331838565022421,-28.000000000000004,-3.9999999999999996,2.0000000000000004,-0.9999999999999999,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XOM,Bear Call Spread,-18.59,-158.0,158.0,292.0,53.41,46.28,-0.06366438356164383,-43.99999999999999,-3.0,2.0000000000000004,-0.9999999999999999,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XOM,Bear Call Spread,-9.03,-25.000000000000007,25.000000000000007,125.0,72.91,26.79,-0.07224,-12.000000000000002,-3.0,1.0000000000000002,-0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XOM,Bear Call Spread,-6.52,-14.0,14.0,86.0,76.57,23.12,-0.07581395348837208,-7.999999999999999,-1.9999999999999991,1.0000000000000002,-0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XOM,Bear Call Spread,-17.59,-118.0,118.0,232.0,54.69,45.01,-0.07581896551724138,-35.0,-3.0,1.0000000000000002,-0.9999999999999999,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XOM,Bear Call Spread,-19.3,-148.0,148.0,252.0,52.13,47.57,-0.07658730158730159,-40.0,-2.0000000000000004,1.0000000000000002,-0.9999999999999999,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
