Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Profit_Factor,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,Strike_1_type,Strike_1,Strike_1_alloc,Strike_2_type,Strike_2,Strike_2_alloc
ALB,Bull Call Spread,21.58,525.0,475.0,525.0,54.81,45.19,0.0411047619047619,0.9047619047619048,56.00000000000001,0.0,-2.0000000000000004,1.0000000000000002,1.0,Call,80.0,1.0,Call,90.0,-1.0
DRI,Bull Call Spread,35.98,905.0,595.0,905.0,56.01,43.99,0.03975690607734806,0.6574585635359116,66.0,-2.0,2.0000000000000004,-2.0000000000000004,1.0,Call,70.0,1.0,Call,85.0,-1.0
DRI,Bull Call Spread,37.0,475.0,525.0,475.0,52.22,47.78,0.07789473684210527,1.105263157894737,50.0,0.0,-0.9999999999999996,0.0,1.0,Call,75.0,1.0,Call,85.0,-1.0
DRI,Bull Call Spread,15.84,175.0,325.0,175.0,41.56,58.43,0.09051428571428571,1.8571428571428572,23.999999999999996,1.9999999999999998,-2.0000000000000004,0.9999999999999996,0.0,Call,80.0,1.0,Call,85.0,-1.0
FE,Bull Call Spread,7.12,240.0,160.0,240.0,56.24,43.62,0.029666666666666668,0.6666666666666666,59.0,-5.000000000000002,0.9999999999999999,-1.0,1.0,Call,27.0,1.0,Call,31.0,-1.0
FE,Bull Call Spread,5.96,155.0,145.0,155.0,52.33,47.53,0.0384516129032258,0.9354838709677419,49.0,0.0,0.9999999999999999,0.0,1.0,Call,28.0,1.0,Call,31.0,-1.0
FE,Bull Call Spread,5.93,175.0,225.0,175.0,48.42,51.44,0.03388571428571428,1.2857142857142858,61.0,4.000000000000001,0.0,1.0,1.0,Call,28.0,1.0,Call,32.0,-1.0
FITB,Bull Call Spread,9.87,204.99999999999997,95.00000000000003,204.99999999999997,62.65,37.35,0.048146341463414635,0.46341463414634165,52.0,-12.000000000000002,1.9999999999999998,-1.0,0.0,Call,18.0,1.0,Call,21.0,-1.0
FITB,Bull Call Spread,2.35,125.0,75.0,125.0,58.72,41.28,0.0188,0.6,38.0,-5.000000000000002,0.9999999999999999,-1.0,0.0,Call,19.0,1.0,Call,21.0,-1.0
FITB,Bull Call Spread,15.07,234.99999999999997,165.00000000000003,234.99999999999997,56.74,43.26,0.06412765957446809,0.7021276595744683,70.0,-8.0,1.0,0.0,0.0,Call,18.0,1.0,Call,22.0,-1.0
FITB,Bull Call Spread,7.56,155.0,145.0,155.0,52.75,47.25,0.04877419354838709,0.9354838709677419,56.00000000000001,-1.0000000000000009,0.0,0.0,0.0,Call,19.0,1.0,Call,22.0,-1.0
