Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Profit_Factor,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,Strike_1_type,Strike_1,Strike_1_alloc,Strike_2_type,Strike_2,Strike_2_alloc
C,Bull Call Spread,-7.53,172.00000000000003,27.99999999999997,172.00000000000003,75.97,23.99,-0.04377906976744186,0.16279069767441842,16.000000000000004,-3.9999999999999996,0.0,-1.0000000000000002,0.0,Call,46.0,1.0,Call,48.0,-1.0
C,Bull Call Spread,-4.05,82.00000000000003,17.99999999999997,82.00000000000003,74.89,25.07,-0.049390243902439006,0.2195121951219508,9.999999999999998,-2.0000000000000004,0.0,-1.0000000000000002,0.0,Call,47.0,1.0,Call,48.0,-1.0
C,Bull Call Spread,-0.19,113.0,37.0,113.0,71.49,28.47,-0.0016814159292035398,0.3274336283185841,15.000000000000002,-2.0000000000000004,1.0000000000000002,-1.0000000000000002,0.0,Call,47.0,1.0,Call,48.5,-1.0
C,Bull Call Spread,-7.81,163.0,37.0,163.0,71.49,28.47,-0.04791411042944785,0.22699386503067484,18.000000000000004,-3.0,1.0000000000000002,-1.0000000000000002,0.0,Call,46.5,1.0,Call,48.5,-1.0
C,Bull Call Spread,-9.42,82.0,18.0,82.0,69.1,30.86,-0.11487804878048781,0.21951219512195122,9.999999999999998,-0.9999999999999996,1.0000000000000002,-1.0000000000000002,0.0,Call,47.5,1.0,Call,48.5,-1.0
C,Bull Call Spread,1.53,143.0,57.0,143.0,67.88,32.08,0.010699300699300699,0.3986013986013986,20.999999999999996,-3.0,1.0000000000000002,-1.0000000000000002,0.0,Call,47.0,1.0,Call,49.0,-1.0
C,Bull Call Spread,-6.14,41.0,9.0,41.0,67.88,32.08,-0.1497560975609756,0.21951219512195122,5.000000000000004,0.0,1.0000000000000002,0.0,0.0,Call,48.0,1.0,Call,48.5,-1.0
C,Bull Call Spread,-7.7,112.0,38.0,112.0,65.36,34.6,-0.06875,0.3392857142857143,15.999999999999993,-1.9999999999999991,1.0000000000000002,-1.0000000000000002,0.0,Call,47.5,1.0,Call,49.0,-1.0
C,Bull Call Spread,-4.42,71.0,29.0,71.0,64.08,35.88,-0.06225352112676056,0.4084507042253521,10.999999999999998,-0.9999999999999996,1.0000000000000002,0.0,0.0,Call,48.0,1.0,Call,49.0,-1.0
C,Bull Call Spread,-8.28,40.0,10.0,40.0,61.47,38.49,-0.207,0.25,5.999999999999995,-0.9999999999999996,0.0,0.0,0.0,Call,48.5,1.0,Call,49.0,-1.0
C,Bull Call Spread,-3.31,136.0,64.0,136.0,61.47,38.49,-0.024338235294117647,0.47058823529411764,21.999999999999996,-1.9999999999999991,1.0000000000000002,-1.0000000000000002,0.0,Call,47.5,1.0,Call,49.5,-1.0
C,Bull Call Spread,-0.03,95.0,55.0,95.0,61.47,38.49,-0.00031578947368421053,0.5789473684210527,17.000000000000004,-0.9999999999999996,1.0000000000000002,0.0,0.0,Call,48.0,1.0,Call,49.5,-1.0
C,Bull Call Spread,-3.88,64.0,36.0,64.0,58.8,41.16,-0.060625,0.5625,12.0,-0.9999999999999996,0.0,0.0,0.0,Call,48.5,1.0,Call,49.5,-1.0
C,Bull Call Spread,1.97,118.0,82.0,118.0,57.45,42.5,0.01669491525423729,0.6949152542372882,23.000000000000004,-0.9999999999999996,1.0000000000000002,0.0,0.0,Call,48.0,1.0,Call,50.0,-1.0
C,Bull Call Spread,-2.6,31.0,19.0,31.0,56.1,43.86,-0.08387096774193549,0.6129032258064516,6.000000000000005,0.0,0.0,0.0,0.0,Call,49.0,1.0,Call,49.5,-1.0
C,Bull Call Spread,-1.89,87.0,63.0,87.0,54.74,45.22,-0.021724137931034483,0.7241379310344828,18.0,-0.9999999999999996,0.0,0.0,0.0,Call,48.5,1.0,Call,50.0,-1.0
C,Bull Call Spread,1.73,105.0,95.0,105.0,53.38,46.58,0.016476190476190478,0.9047619047619048,24.0,0.0,-1.0000000000000002,0.0,0.0,Call,48.5,1.0,Call,50.5,-1.0
C,Bull Call Spread,-0.61,54.0,46.0,54.0,53.38,46.58,-0.011296296296296296,0.8518518518518519,12.000000000000005,0.0,0.0,0.0,0.0,Call,49.0,1.0,Call,50.0,-1.0
C,Bull Call Spread,3.01,72.0,78.0,72.0,50.65,49.31,0.041805555555555554,1.0833333333333333,18.000000000000004,0.9999999999999996,-1.0000000000000002,0.0,0.0,Call,49.0,1.0,Call,50.5,-1.0
C,Bull Call Spread,-4.0,29.0,21.0,29.0,49.28,50.68,-0.13793103448275862,0.7241379310344828,6.0,0.0,0.0,0.0,0.0,Call,49.5,1.0,Call,50.0,-1.0
