Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Profit_Factor,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,Strike_1_type,Strike_1,Strike_1_alloc,Strike_2_type,Strike_2,Strike_2_alloc
COF,Bull Call Spread,-7.62,80.0,20.0,80.0,70.47,29.5,-0.09525,0.25,7.000000000000006,-0.9999999999999996,0.0,0.0,0.0,Call,62.0,1.0,Call,63.0,-1.0
COF,Bull Call Spread,-5.48,111.0,39.0,111.0,67.15,32.82,-0.04936936936936937,0.35135135135135137,10.999999999999998,-0.9999999999999996,0.0,0.0,0.0,Call,62.0,1.0,Call,63.5,-1.0
COF,Bull Call Spread,-9.61,78.0,22.0,78.0,66.29,33.68,-0.1232051282051282,0.28205128205128205,7.9999999999999964,-0.9999999999999996,0.0,0.0,0.0,Call,62.5,1.0,Call,63.5,-1.0
COF,Bull Call Spread,-0.59,137.0,63.0,137.0,65.41,34.56,-0.004306569343065694,0.45985401459854014,15.000000000000002,-0.9999999999999996,0.0,0.0,0.0,Call,62.0,1.0,Call,64.0,-1.0
COF,Bull Call Spread,-4.72,104.0,46.0,104.0,63.61,36.36,-0.045384615384615384,0.4423076923076923,12.0,-0.9999999999999996,0.0,0.0,0.0,Call,62.5,1.0,Call,64.0,-1.0
COF,Bull Call Spread,4.78,123.0,77.0,123.0,61.77,38.2,0.03886178861788618,0.6260162601626016,15.999999999999998,-0.9999999999999996,0.0,0.0,0.0,Call,62.5,1.0,Call,64.5,-1.0
COF,Bull Call Spread,-3.46,95.99999999999997,54.00000000000003,95.99999999999997,59.88,40.08,-0.03604166666666668,0.5625000000000004,11.999999999999995,0.0,0.0,0.0,0.0,Call,63.0,1.0,Call,64.5,-1.0
COF,Bull Call Spread,-7.61,66.99999999999997,33.00000000000003,66.99999999999997,57.97,42.0,-0.11358208955223886,0.49253731343283647,8.000000000000002,0.0,0.0,0.0,0.0,Call,63.5,1.0,Call,64.5,-1.0
COF,Bull Call Spread,-2.43,120.99999999999997,79.00000000000003,120.99999999999997,56.99,42.97,-0.02008264462809918,0.6528925619834715,15.999999999999998,0.0,0.0,0.0,0.0,Call,63.0,1.0,Call,65.0,-1.0
COF,Bull Call Spread,-6.57,91.99999999999997,58.00000000000003,91.99999999999997,55.03,44.94,-0.0714130434782609,0.6304347826086961,12.000000000000005,0.0,0.0,0.0,0.0,Call,63.5,1.0,Call,65.0,-1.0
COF,Bull Call Spread,-1.03,109.99999999999999,90.00000000000001,109.99999999999999,54.05,45.92,-0.009363636363636366,0.8181818181818185,16.000000000000004,0.0,0.0,0.0,0.0,Call,63.5,1.0,Call,65.5,-1.0
COF,Bull Call Spread,-8.92,86.99999999999999,63.000000000000014,86.99999999999999,51.06,48.91,-0.10252873563218393,0.7241379310344831,12.0,0.0,0.0,0.0,0.0,Call,64.0,1.0,Call,65.5,-1.0
COF,Bull Call Spread,-3.85,102.99999999999997,97.00000000000003,102.99999999999997,49.06,50.91,-0.03737864077669904,0.9417475728155346,15.999999999999998,0.0,-1.0000000000000009,0.0,0.0,Call,64.0,1.0,Call,66.0,-1.0
COF,Bull Call Spread,-8.46,32.000000000000014,17.999999999999986,32.000000000000014,46.07,53.9,-0.2643749999999999,0.5624999999999993,3.9999999999999982,0.0,0.0,0.0,0.0,Call,65.0,1.0,Call,65.5,-1.0
COF,Bull Call Spread,-9.69,99.0,101.0,99.0,45.07,54.9,-0.09787878787878787,1.02020202020202,15.000000000000002,0.9999999999999996,-1.0000000000000009,1.0000000000000002,0.0,Call,64.5,1.0,Call,66.5,-1.0
COF,Bull Call Spread,-3.39,48.0,52.0,48.0,45.07,54.9,-0.07062500000000001,1.0833333333333333,7.9999999999999964,0.0,-1.0000000000000009,0.0,0.0,Call,65.0,1.0,Call,66.0,-1.0
COF,Bull Call Spread,0.27,63.0,87.0,63.0,43.1,56.87,0.004285714285714286,1.380952380952381,10.999999999999998,0.9999999999999996,-1.0000000000000009,1.0000000000000002,0.0,Call,65.0,1.0,Call,66.5,-1.0
COF,Bull Call Spread,3.66,76.0,124.0,76.0,42.11,57.85,0.04815789473684211,1.631578947368421,13.999999999999996,0.9999999999999996,-1.0000000000000009,1.0000000000000002,0.0,Call,65.0,1.0,Call,67.0,-1.0
COF,Bull Call Spread,-8.93,30.0,20.0,30.0,42.11,57.85,-0.29766666666666663,0.6666666666666666,3.9999999999999982,0.0,-1.0000000000000009,0.0,0.0,Call,65.5,1.0,Call,66.0,-1.0
COF,Bull Call Spread,-5.26,45.0,55.0,45.0,40.17,59.8,-0.11688888888888889,1.2222222222222223,7.000000000000001,0.9999999999999996,-1.0000000000000009,1.0000000000000002,0.0,Call,65.5,1.0,Call,66.5,-1.0
