Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Profit_Factor,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,Strike_1_type,Strike_1,Strike_1_alloc,Strike_2_type,Strike_2,Strike_2_alloc
WFC,Bull Call Spread,-6.66,85.0,15.0,85.0,72.5,27.5,-0.07835294117647058,0.17647058823529413,16.999999999999993,-7.000000000000001,0.0,-1.0,0.0,Call,22.0,1.0,Call,23.0,-1.0
WFC,Bull Call Spread,-4.76,42.0,8.0,42.0,70.76,29.24,-0.11333333333333333,0.19047619047619047,9.999999999999998,-3.0,0.0,-1.0,0.0,Call,22.5,1.0,Call,23.0,-1.0
WFC,Bull Call Spread,-0.9,71.0,29.0,71.0,67.19,32.81,-0.01267605633802817,0.4084507042253521,20.999999999999996,-3.9999999999999982,0.9999999999999999,-1.0,1.0,Call,22.5,1.0,Call,23.5,-1.0
WFC,Bull Call Spread,-2.81,114.0,36.0,114.0,67.19,32.81,-0.024649122807017546,0.3157894736842105,27.999999999999993,-7.999999999999999,0.9999999999999999,-1.0,1.0,Call,22.0,1.0,Call,23.5,-1.0
WFC,Bull Call Spread,-1.15,34.000000000000014,15.999999999999986,34.000000000000014,63.52,36.48,-0.03382352941176469,0.47058823529411703,10.999999999999998,-0.9999999999999981,0.9999999999999999,0.0,1.0,Call,23.0,1.0,Call,23.5,-1.0
WFC,Bull Call Spread,-0.65,140.0,60.0,140.0,63.52,36.48,-0.004642857142857143,0.42857142857142855,38.99999999999999,-10.0,0.0,-1.0,1.0,Call,22.0,1.0,Call,24.0,-1.0
WFC,Bull Call Spread,1.26,97.0,53.0,97.0,61.66,38.34,0.012989690721649485,0.5463917525773195,32.0,-6.0,0.0,-1.0,1.0,Call,22.5,1.0,Call,24.0,-1.0
WFC,Bull Call Spread,1.01,60.000000000000014,39.999999999999986,60.000000000000014,59.79,40.21,0.01683333333333333,0.6666666666666663,22.000000000000004,-3.0,0.0,0.0,1.0,Call,23.0,1.0,Call,24.0,-1.0
WFC,Bull Call Spread,4.2,116.0,84.0,116.0,57.91,42.09,0.03620689655172414,0.7241379310344828,43.0,-3.9999999999999982,0.0,-1.0,1.0,Call,22.5,1.0,Call,24.5,-1.0
WFC,Bull Call Spread,3.96,79.00000000000001,70.99999999999999,79.00000000000001,56.0,44.0,0.050126582278481005,0.8987341772151896,33.0,-0.9999999999999981,0.0,0.0,1.0,Call,23.0,1.0,Call,24.5,-1.0
WFC,Bull Call Spread,7.17,90.00000000000001,109.99999999999999,90.00000000000001,54.03,45.97,0.07966666666666665,1.2222222222222219,42.00000000000001,2.0000000000000018,0.0,1.0,1.0,Call,23.0,1.0,Call,25.0,-1.0
WFC,Bull Call Spread,-7.9,58.0,42.0,58.0,49.53,50.47,-0.13620689655172413,0.7241379310344828,22.000000000000004,0.0,-0.9999999999999999,0.0,0.0,Call,23.5,1.0,Call,24.5,-1.0
WFC,Bull Call Spread,-4.68,69.0,81.0,69.0,46.77,53.23,-0.06782608695652173,1.173913043478261,31.000000000000007,3.0,-0.9999999999999999,1.0,0.0,Call,23.5,1.0,Call,25.0,-1.0
WFC,Bull Call Spread,-2.84,77.0,123.0,77.0,43.58,56.42,-0.03688311688311688,1.5974025974025974,38.0,6.999999999999998,-1.9999999999999998,1.0,0.0,Call,23.5,1.0,Call,25.5,-1.0
WFC,Bull Call Spread,-0.05,22.0,28.0,22.0,43.58,56.42,-0.002272727272727273,1.2727272727272727,10.999999999999998,2.0000000000000018,0.0,0.0,0.0,Call,24.0,1.0,Call,24.5,-1.0
WFC,Bull Call Spread,3.16,33.0,67.0,33.0,40.05,59.95,0.09575757575757576,2.0303030303030303,20.0,5.000000000000002,0.0,1.0,0.0,Call,24.0,1.0,Call,25.0,-1.0
WFC,Bull Call Spread,5.0,41.0,109.0,41.0,40.05,59.95,0.12195121951219512,2.658536585365854,27.0,9.0,-1.0,1.0,0.0,Call,24.0,1.0,Call,25.5,-1.0
