Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Profit_Factor,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,Strike_1_type,Strike_1,Strike_1_alloc,Strike_2_type,Strike_2,Strike_2_alloc
XOM,Bull Call Spread,-7.93,169.0,31.0,169.0,73.51,26.49,-0.04692307692307692,0.1834319526627219,22.000000000000007,-5.000000000000002,0.0,-0.9999999999999999,0.0,Call,38.5,1.0,Call,40.5,-1.0
XOM,Bull Call Spread,-9.62,85.0,15.0,85.0,70.57,29.43,-0.11317647058823528,0.17647058823529413,13.0,-2.0000000000000018,0.0,0.0,0.0,Call,39.5,1.0,Call,40.5,-1.0
XOM,Bull Call Spread,-2.96,39.0,11.0,39.0,70.57,29.43,-0.0758974358974359,0.28205128205128205,7.000000000000006,0.0,0.0,0.0,0.0,Call,40.0,1.0,Call,40.5,-1.0
XOM,Bull Call Spread,-7.59,115.0,35.0,115.0,65.73,34.27,-0.066,0.30434782608695654,19.999999999999996,-4.000000000000001,0.0,0.0,0.0,Call,39.5,1.0,Call,41.0,-1.0
XOM,Bull Call Spread,-0.93,69.0,31.0,69.0,65.73,34.27,-0.013478260869565217,0.4492753623188406,14.000000000000002,-1.9999999999999991,0.0,0.0,0.0,Call,40.0,1.0,Call,41.0,-1.0
XOM,Bull Call Spread,-1.1,136.0,64.0,136.0,62.26,37.74,-0.008088235294117648,0.47058823529411764,27.999999999999996,-3.0,0.0,0.0,0.0,Call,39.5,1.0,Call,41.5,-1.0
XOM,Bull Call Spread,5.56,90.0,60.0,90.0,62.26,37.74,0.06177777777777777,0.6666666666666666,22.000000000000004,-0.9999999999999981,0.0,0.0,0.0,Call,40.0,1.0,Call,41.5,-1.0
XOM,Bull Call Spread,-6.48,66.0,34.0,66.0,56.78,43.22,-0.09818181818181819,0.5151515151515151,14.999999999999996,-0.9999999999999981,0.0,0.0,0.0,Call,40.5,1.0,Call,41.5,-1.0
XOM,Bull Call Spread,7.26,111.0,89.0,111.0,56.78,43.22,0.0654054054054054,0.8018018018018018,30.000000000000004,-0.9999999999999981,0.0,0.0,0.0,Call,40.0,1.0,Call,42.0,-1.0
XOM,Bull Call Spread,-0.51,28.0,22.0,28.0,54.9,45.1,-0.018214285714285714,0.7857142857142857,8.000000000000002,1.0000000000000009,0.0,0.0,0.0,Call,41.0,1.0,Call,41.5,-1.0
XOM,Bull Call Spread,-4.78,87.0,63.0,87.0,52.99,47.01,-0.054942528735632185,0.7241379310344828,23.0,-0.9999999999999981,0.0,0.0,0.0,Call,40.5,1.0,Call,42.0,-1.0
XOM,Bull Call Spread,1.19,48.99999999999999,51.00000000000001,48.99999999999999,51.08,48.92,0.02428571428571429,1.0408163265306125,16.000000000000004,1.0000000000000009,0.0,0.0,0.0,Call,41.0,1.0,Call,42.0,-1.0
XOM,Bull Call Spread,-4.74,105.0,95.0,105.0,49.15,50.85,-0.045142857142857144,0.9047619047619048,29.999999999999993,0.0,0.0,0.0,1.0,Call,40.5,1.0,Call,42.5,-1.0
XOM,Bull Call Spread,1.23,67.0,83.0,67.0,47.23,52.77,0.01835820895522388,1.2388059701492538,23.0,1.9999999999999991,0.0,0.0,1.0,Call,41.0,1.0,Call,42.5,-1.0
XOM,Bull Call Spread,6.04,76.0,124.0,76.0,45.3,54.7,0.07947368421052632,1.631578947368421,29.000000000000004,4.000000000000001,-0.9999999999999999,0.9999999999999999,1.0,Call,41.0,1.0,Call,43.0,-1.0
XOM,Bull Call Spread,-4.29,26.999999999999993,23.000000000000007,26.999999999999993,45.3,54.7,-0.15888888888888894,0.8518518518518523,8.000000000000002,0.0,0.0,0.0,0.0,Call,41.5,1.0,Call,42.0,-1.0
XOM,Bull Call Spread,-4.26,45.0,55.0,45.0,41.49,58.5,-0.09466666666666666,1.2222222222222223,14.999999999999996,0.9999999999999981,0.0,0.0,1.0,Call,41.5,1.0,Call,42.5,-1.0
