Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Profit_Factor,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,Strike_1_type,Strike_1,Strike_1_alloc,Strike_2_type,Strike_2,Strike_2_alloc
EWZ,Bull Call Spread,-3.29,83.0,17.0,83.0,74.97,25.03,-0.03963855421686747,0.20481927710843373,12.0,-4.000000000000001,0.0,0.0,0.0,Call,27.5,1.0,Call,28.5,-1.0
EWZ,Bull Call Spread,-4.69,43.0,7.0,43.0,73.57,26.43,-0.10906976744186048,0.16279069767441862,5.999999999999995,-2.0000000000000018,0.0,0.0,0.0,Call,28.0,1.0,Call,28.5,-1.0
EWZ,Bull Call Spread,-2.53,117.0,33.0,117.0,70.67,29.33,-0.02162393162393162,0.28205128205128205,19.000000000000007,-4.999999999999999,0.0,0.0,0.0,Call,27.5,1.0,Call,29.0,-1.0
EWZ,Bull Call Spread,-3.93,77.0,23.0,77.0,69.18,30.82,-0.051038961038961043,0.2987012987012987,13.0,-3.0,0.0,0.0,0.0,Call,28.0,1.0,Call,29.0,-1.0
EWZ,Bull Call Spread,-4.24,39.0,11.0,39.0,67.66,32.34,-0.10871794871794872,0.28205128205128205,7.000000000000006,-0.9999999999999981,0.0,0.0,0.0,Call,28.5,1.0,Call,29.0,-1.0
EWZ,Bull Call Spread,-2.66,148.0,52.0,148.0,66.11,33.89,-0.017972972972972973,0.35135135135135137,27.0,-6.0,0.0,0.0,0.0,Call,27.5,1.0,Call,29.5,-1.0
EWZ,Bull Call Spread,-4.06,108.0,42.0,108.0,64.55,35.45,-0.03759259259259259,0.3888888888888889,20.999999999999996,-4.000000000000001,0.0,0.0,0.0,Call,28.0,1.0,Call,29.5,-1.0
EWZ,Bull Call Spread,-4.37,70.0,30.0,70.0,62.96,37.04,-0.06242857142857143,0.42857142857142855,15.000000000000002,-1.9999999999999991,0.0,0.0,0.0,Call,28.5,1.0,Call,29.5,-1.0
EWZ,Bull Call Spread,-5.13,36.0,14.0,36.0,59.74,40.26,-0.1425,0.3888888888888889,7.9999999999999964,-1.0000000000000009,0.0,0.0,0.0,Call,29.0,1.0,Call,29.5,-1.0
EWZ,Bull Call Spread,-2.26,133.0,67.0,133.0,59.74,40.26,-0.016992481203007517,0.5037593984962406,28.999999999999996,-5.000000000000002,0.0,0.0,1.0,Call,28.0,1.0,Call,30.0,-1.0
EWZ,Bull Call Spread,-2.57,95.0,55.0,95.0,58.11,41.89,-0.027052631578947366,0.5789473684210527,23.000000000000004,-3.0,0.0,0.0,1.0,Call,28.5,1.0,Call,30.0,-1.0
EWZ,Bull Call Spread,-3.33,61.0,39.0,61.0,56.47,43.53,-0.05459016393442623,0.639344262295082,15.999999999999998,-2.0000000000000018,0.0,0.0,1.0,Call,29.0,1.0,Call,30.0,-1.0
EWZ,Bull Call Spread,-0.85,116.0,84.0,116.0,54.83,45.17,-0.007327586206896552,0.7241379310344828,31.000000000000007,-1.9999999999999991,0.0,0.0,1.0,Call,28.5,1.0,Call,30.5,-1.0
EWZ,Bull Call Spread,-1.62,82.0,68.0,82.0,53.18,46.82,-0.01975609756097561,0.8292682926829268,24.0,-1.0000000000000009,0.0,0.0,1.0,Call,29.0,1.0,Call,30.5,-1.0
EWZ,Bull Call Spread,-4.2,31.0,19.0,31.0,53.18,46.82,-0.13548387096774195,0.6129032258064516,8.000000000000002,-1.0000000000000009,0.0,0.0,1.0,Call,29.5,1.0,Call,30.0,-1.0
EWZ,Bull Call Spread,0.18,99.0,101.0,99.0,49.9,50.1,0.0018181818181818182,1.02020202020202,32.0,0.0,0.0,0.0,1.0,Call,29.0,1.0,Call,31.0,-1.0
EWZ,Bull Call Spread,-2.49,52.0,48.0,52.0,49.9,50.1,-0.04788461538461539,0.9230769230769231,16.000000000000004,0.0,0.0,0.0,1.0,Call,29.5,1.0,Call,30.5,-1.0
EWZ,Bull Call Spread,-0.7,69.0,81.0,69.0,46.63,53.37,-0.010144927536231883,1.173913043478261,24.000000000000004,1.0000000000000009,0.0,0.0,1.0,Call,29.5,1.0,Call,31.0,-1.0
EWZ,Bull Call Spread,1.47,82.0,118.0,82.0,45.01,54.99,0.01792682926829268,1.4390243902439024,32.00000000000001,3.0,-0.9999999999999999,0.0,1.0,Call,29.5,1.0,Call,31.5,-1.0
EWZ,Bull Call Spread,-3.28,26.0,24.0,26.0,45.01,54.99,-0.12615384615384614,0.9230769230769231,8.000000000000002,1.0000000000000009,0.0,0.0,0.0,Call,30.0,1.0,Call,30.5,-1.0
EWZ,Bull Call Spread,-1.49,43.0,57.0,43.0,41.82,58.18,-0.03465116279069767,1.3255813953488371,16.000000000000004,2.0000000000000018,0.0,0.0,0.0,Call,30.0,1.0,Call,31.0,-1.0
EWZ,Bull Call Spread,0.67,56.0,94.0,56.0,40.25,59.75,0.011964285714285715,1.6785714285714286,24.000000000000004,4.000000000000001,-0.9999999999999999,0.0,0.0,Call,30.0,1.0,Call,31.5,-1.0
