Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Profit_Factor,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,Strike_1_type,Strike_1,Strike_1_alloc,Strike_2_type,Strike_2,Strike_2_alloc
FAS,Bull Call Spread,-1.57,166.0,34.0,166.0,77.71,21.98,-0.009457831325301206,0.20481927710843373,14.000000000000002,-3.0,0.9999999999999996,-0.9999999999999999,0.0,Call,33.0,1.0,Call,35.0,-1.0
FAS,Bull Call Spread,-7.03,86.0,14.0,86.0,76.07,23.62,-0.08174418604651162,0.16279069767441862,7.9999999999999964,-1.9999999999999991,0.9999999999999996,-0.9999999999999999,0.0,Call,34.0,1.0,Call,35.0,-1.0
FAS,Bull Call Spread,-3.73,119.0,31.0,119.0,73.43,26.25,-0.03134453781512605,0.2605042016806723,12.0,-1.9999999999999991,0.9999999999999996,-0.9999999999999999,0.0,Call,34.0,1.0,Call,35.5,-1.0
FAS,Bull Call Spread,-6.66,164.0,36.0,164.0,73.43,26.25,-0.04060975609756098,0.21951219512195122,15.000000000000002,-1.9999999999999991,0.9999999999999996,-0.9999999999999999,0.0,Call,33.5,1.0,Call,35.5,-1.0
FAS,Bull Call Spread,-6.15,81.0,19.0,81.0,71.57,28.12,-0.07592592592592592,0.2345679012345679,7.9999999999999964,-0.9999999999999996,0.0,0.0,0.0,Call,34.5,1.0,Call,35.5,-1.0
FAS,Bull Call Spread,-3.88,153.0,47.0,153.0,69.63,30.06,-0.025359477124183006,0.30718954248366015,16.999999999999993,-3.0,0.9999999999999996,-0.9999999999999999,0.0,Call,34.0,1.0,Call,36.0,-1.0
FAS,Bull Call Spread,-6.31,115.0,35.0,115.0,68.62,31.07,-0.0548695652173913,0.30434782608695654,12.99999999999999,-2.0000000000000004,0.0,0.0,0.0,Call,34.5,1.0,Call,36.0,-1.0
FAS,Bull Call Spread,2.83,137.0,63.0,137.0,66.57,33.12,0.020656934306569345,0.45985401459854014,17.999999999999993,-2.0000000000000004,0.0,0.0,0.0,Call,34.5,1.0,Call,36.5,-1.0
FAS,Bull Call Spread,-9.81,80.0,20.0,80.0,66.57,33.12,-0.12262500000000001,0.25,8.999999999999996,-1.0000000000000009,0.0,0.0,0.0,Call,35.0,1.0,Call,36.0,-1.0
FAS,Bull Call Spread,-0.68,102.0,48.0,102.0,64.44,35.25,-0.006666666666666667,0.47058823529411764,14.000000000000002,-1.0000000000000009,0.0,0.0,0.0,Call,35.0,1.0,Call,36.5,-1.0
FAS,Bull Call Spread,-3.98,69.0,31.0,69.0,63.36,36.33,-0.057681159420289854,0.4492753623188406,9.999999999999998,-1.0000000000000009,0.0,0.0,0.0,Call,35.5,1.0,Call,36.5,-1.0
