Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Profit_Factor,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,Strike_1_type,Strike_1,Strike_1_alloc,Strike_2_type,Strike_2,Strike_2_alloc
TNA,Bull Call Spread,-4.16,154.0,46.0,154.0,71.3,28.67,-0.027012987012987013,0.2987012987012987,14.999999999999991,-0.9999999999999996,0.0,-0.9999999999999999,0.0,Call,31.5,1.0,Call,33.5,-1.0
TNA,Bull Call Spread,-9.23,119.0,31.0,119.0,69.66,30.31,-0.07756302521008404,0.2605042016806723,12.0,-0.9999999999999996,0.0,-0.9999999999999999,0.0,Call,32.0,1.0,Call,33.5,-1.0
TNA,Bull Call Spread,-4.79,147.0,53.0,147.0,67.07,32.9,-0.03258503401360544,0.36054421768707484,16.000000000000004,-1.9999999999999991,0.0,-0.9999999999999999,0.0,Call,32.0,1.0,Call,34.0,-1.0
TNA,Bull Call Spread,-8.26,112.0,38.0,112.0,66.19,33.78,-0.07375,0.3392857142857143,12.0,-0.9999999999999996,0.0,-0.9999999999999999,0.0,Call,32.5,1.0,Call,34.0,-1.0
TNA,Bull Call Spread,-4.17,138.0,62.0,138.0,63.44,36.52,-0.030217391304347824,0.4492753623188406,17.0,-0.9999999999999996,0.0,-0.9999999999999999,0.0,Call,32.5,1.0,Call,34.5,-1.0
TNA,Bull Call Spread,-8.83,106.00000000000003,43.99999999999997,106.00000000000003,61.56,38.41,-0.0833018867924528,0.41509433962264114,12.999999999999995,-0.9999999999999996,0.0,0.0,0.0,Call,33.0,1.0,Call,34.5,-1.0
TNA,Bull Call Spread,-2.21,127.00000000000004,72.99999999999996,127.00000000000004,59.63,40.34,-0.017401574803149602,0.5748031496062986,17.0,-0.9999999999999996,-1.0000000000000009,0.0,1.0,Call,33.0,1.0,Call,35.0,-1.0
TNA,Bull Call Spread,-6.85,97.00000000000001,52.999999999999986,97.00000000000001,57.67,42.3,-0.07061855670103091,0.5463917525773193,13.000000000000005,-0.9999999999999996,-1.0000000000000009,0.0,1.0,Call,33.5,1.0,Call,35.0,-1.0
TNA,Bull Call Spread,-4.76,120.0,80.0,120.0,55.68,44.29,-0.03966666666666666,0.6666666666666666,18.000000000000004,-0.9999999999999996,-1.0000000000000009,0.9999999999999999,1.0,Call,33.5,1.0,Call,35.5,-1.0
TNA,Bull Call Spread,11.33,94.0,106.0,94.0,53.67,46.3,0.12053191489361702,1.127659574468085,17.0,0.9999999999999996,-1.0000000000000009,0.9999999999999999,1.0,Call,34.0,1.0,Call,36.0,-1.0
TNA,Bull Call Spread,-9.2,92.0,58.0,92.0,53.67,46.3,-0.09999999999999999,0.6304347826086957,14.000000000000002,0.0,-1.0000000000000009,0.9999999999999999,1.0,Call,34.0,1.0,Call,35.5,-1.0
TNA,Bull Call Spread,6.24,69.0,81.0,69.0,50.62,49.35,0.09043478260869565,1.173913043478261,12.0,0.9999999999999996,-1.0000000000000009,0.9999999999999999,1.0,Call,34.5,1.0,Call,36.0,-1.0
TNA,Bull Call Spread,2.26,93.0,107.0,93.0,48.58,51.39,0.024301075268817203,1.1505376344086022,17.000000000000004,0.9999999999999996,-2.0000000000000004,0.9999999999999999,1.0,Call,34.5,1.0,Call,36.5,-1.0
TNA,Bull Call Spread,2.62,45.0,55.0,45.0,48.58,51.39,0.058222222222222224,1.2222222222222223,7.9999999999999964,0.9999999999999996,0.0,0.9999999999999999,0.0,Call,35.0,1.0,Call,36.0,-1.0
TNA,Bull Call Spread,-1.36,69.0,81.0,69.0,45.51,54.46,-0.019710144927536234,1.173913043478261,13.0,0.9999999999999996,-0.9999999999999996,0.9999999999999999,0.0,Call,35.0,1.0,Call,36.5,-1.0
TNA,Bull Call Spread,3.22,82.0,118.0,82.0,44.5,55.47,0.03926829268292683,1.4390243902439024,15.999999999999998,1.9999999999999991,-0.9999999999999996,0.9999999999999999,0.0,Call,35.0,1.0,Call,37.0,-1.0
TNA,Bull Call Spread,-4.46,27.0,23.0,27.0,44.5,55.47,-0.16518518518518518,0.8518518518518519,2.9999999999999973,0.9999999999999996,0.0,0.0,0.0,Call,35.5,1.0,Call,36.0,-1.0
TNA,Bull Call Spread,-8.44,51.0,49.0,51.0,42.47,57.5,-0.16549019607843135,0.9607843137254902,8.000000000000002,0.9999999999999996,-0.9999999999999996,0.0,0.0,Call,35.5,1.0,Call,36.5,-1.0
TNA,Bull Call Spread,-3.87,64.0,86.0,64.0,41.46,58.5,-0.06046875,1.34375,10.999999999999998,1.9999999999999991,-0.9999999999999996,0.0,0.0,Call,35.5,1.0,Call,37.0,-1.0
TNA,Bull Call Spread,0.39,75.0,125.0,75.0,40.46,59.51,0.0052,1.6666666666666667,15.0,1.9999999999999991,-1.9999999999999998,0.0,0.0,Call,35.5,1.0,Call,37.5,-1.0
