Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Profit_Factor,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,Strike_1_type,Strike_1,Strike_1_alloc,Strike_2_type,Strike_2,Strike_2_alloc
XOP,Bull Call Spread,-7.18,147.0,53.0,147.0,66.45,33.55,-0.048843537414965985,0.36054421768707484,18.000000000000004,-1.9999999999999991,0.9999999999999996,-1.0000000000000002,0.0,Call,49.0,1.0,Call,51.0,-1.0
XOP,Bull Call Spread,-8.28,74.0,26.0,74.0,63.79,36.21,-0.11189189189189189,0.35135135135135137,9.000000000000007,0.0,0.9999999999999996,0.0,0.0,Call,50.0,1.0,Call,51.0,-1.0
XOP,Bull Call Spread,-8.74,140.0,60.0,140.0,61.99,38.01,-0.06242857142857143,0.42857142857142855,17.999999999999993,-0.9999999999999996,0.9999999999999996,-1.0000000000000002,0.0,Call,49.5,1.0,Call,51.5,-1.0
XOP,Bull Call Spread,-9.24,41.0,9.0,41.0,61.99,38.01,-0.2253658536585366,0.21951219512195122,5.000000000000004,0.0,0.9999999999999996,0.0,0.0,Call,50.5,1.0,Call,51.0,-1.0
XOP,Bull Call Spread,-6.8,102.0,48.0,102.0,61.08,38.92,-0.06666666666666667,0.47058823529411764,14.000000000000002,0.0,0.9999999999999996,0.0,0.0,Call,50.0,1.0,Call,51.5,-1.0
XOP,Bull Call Spread,-2.63,125.0,75.0,125.0,59.25,40.75,-0.02104,0.6,18.000000000000004,0.0,0.9999999999999996,0.0,0.0,Call,50.0,1.0,Call,52.0,-1.0
XOP,Bull Call Spread,-7.76,69.0,31.0,69.0,59.25,40.75,-0.11246376811594203,0.4492753623188406,9.999999999999998,0.0,0.9999999999999996,0.0,0.0,Call,50.5,1.0,Call,51.5,-1.0
XOP,Bull Call Spread,-3.58,92.0,58.0,92.0,57.41,42.59,-0.03891304347826087,0.6304347826086957,14.000000000000002,0.0,0.9999999999999996,0.0,0.0,Call,50.5,1.0,Call,52.0,-1.0
XOP,Bull Call Spread,-1.73,115.0,85.0,115.0,55.55,44.45,-0.015043478260869565,0.7391304347826086,19.0,-1.0000000000000009,0.9999999999999996,0.0,0.0,Call,50.5,1.0,Call,52.5,-1.0
XOP,Bull Call Spread,-6.34,63.0,37.0,63.0,55.55,44.45,-0.10063492063492063,0.5873015873015873,8.999999999999996,0.0,0.0,0.0,0.0,Call,51.0,1.0,Call,52.0,-1.0
XOP,Bull Call Spread,-9.83,37.0,13.0,37.0,53.7,46.3,-0.2656756756756757,0.35135135135135137,4.0000000000000036,0.0,0.0,0.0,0.0,Call,51.5,1.0,Call,52.0,-1.0
XOP,Bull Call Spread,-4.49,86.0,64.0,86.0,53.7,46.3,-0.0522093023255814,0.7441860465116279,13.999999999999996,-1.0000000000000009,0.0,0.0,0.0,Call,51.0,1.0,Call,52.5,-1.0
XOP,Bull Call Spread,1.07,103.0,97.0,103.0,51.84,48.16,0.010388349514563107,0.941747572815534,18.999999999999993,0.0,0.0,0.0,0.0,Call,51.0,1.0,Call,53.0,-1.0
XOP,Bull Call Spread,-7.97,60.0,40.0,60.0,50.91,49.09,-0.13283333333333333,0.6666666666666666,9.000000000000002,-1.0000000000000009,0.0,0.0,0.0,Call,51.5,1.0,Call,52.5,-1.0
XOP,Bull Call Spread,-2.41,77.0,73.0,77.0,49.98,50.01,-0.0312987012987013,0.948051948051948,14.000000000000002,0.0,0.0,0.0,0.0,Call,51.5,1.0,Call,53.0,-1.0
XOP,Bull Call Spread,-0.09,95.0,105.0,95.0,48.14,51.86,-0.0009473684210526315,1.105263157894737,18.000000000000004,0.0,-0.9999999999999996,0.0,0.0,Call,51.5,1.0,Call,53.5,-1.0
XOP,Bull Call Spread,-5.59,53.0,47.0,53.0,47.22,52.78,-0.10547169811320754,0.8867924528301887,9.999999999999998,0.0,0.0,0.0,0.0,Call,52.0,1.0,Call,53.0,-1.0
XOP,Bull Call Spread,-3.27,71.0,79.0,71.0,45.39,54.61,-0.04605633802816901,1.1126760563380282,14.000000000000002,0.0,-0.9999999999999996,0.0,0.0,Call,52.0,1.0,Call,53.5,-1.0
XOP,Bull Call Spread,0.89,85.0,115.0,85.0,44.48,55.52,0.010470588235294117,1.3529411764705883,18.0,0.9999999999999996,-0.9999999999999996,0.0,0.0,Call,52.0,1.0,Call,54.0,-1.0
XOP,Bull Call Spread,-5.44,28.0,22.0,28.0,44.48,55.52,-0.1942857142857143,0.7857142857142857,4.999999999999999,1.0000000000000009,0.0,0.0,0.0,Call,52.5,1.0,Call,53.0,-1.0
XOP,Bull Call Spread,-3.12,46.0,54.0,46.0,43.58,56.42,-0.06782608695652174,1.173913043478261,9.000000000000002,1.0000000000000009,-0.9999999999999996,0.0,0.0,Call,52.5,1.0,Call,53.5,-1.0
XOP,Bull Call Spread,1.03,60.0,90.0,60.0,41.78,58.22,0.017166666666666667,1.5,13.0,2.0000000000000004,-0.9999999999999996,0.0,0.0,Call,52.5,1.0,Call,54.0,-1.0
XOP,Bull Call Spread,4.13,73.0,127.0,73.0,40.89,59.11,0.05657534246575342,1.7397260273972603,17.0,2.0000000000000004,-0.9999999999999996,1.0000000000000002,0.0,Call,52.5,1.0,Call,54.5,-1.0
XOP,Bull Call Spread,-5.68,25.999999999999986,24.000000000000014,25.999999999999986,40.89,59.11,-0.21846153846153857,0.9230769230769241,4.0000000000000036,0.0,-0.9999999999999996,0.0,0.0,Call,53.0,1.0,Call,53.5,-1.0
