Underlying,Description,Name,Expected PnL,Cost of Strategy,Leg_profit,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Profit_Factor,Leg_Profit_Factor,Strike_1_type,Strike_1,Strike_1_alloc,Strike_2_type,Strike_2,Strike_2_alloc,Strike_3_type,Strike_3,Strike_3_alloc,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho
MS,MORGAN STANLEY COM,Bearish Call Modified Butterfly,-224.51,-409.99999999999966,409.99999999999966,855.0000000003836,2090.000000000006,68.38,31.62,-0.10742105263157864,0.40909090909109147,0.19617224880382703,Call,53.0,10.0,Call,53.5,-30.0,Call,55.0,20.0,-359.99999999999994,-119.99999999999997,19.999999999999996,-19.999999999999986,10.0
MS,MORGAN STANLEY COM,Bearish Call Modified Butterfly,-167.68,-249.99999999999955,249.99999999999955,695.0000000003836,1250.0000000000061,66.91,33.09,-0.13414399999999935,0.5560000000003041,0.19999999999999865,Call,53.0,10.0,Call,53.5,-30.0,Call,54.5,20.0,-239.99999999999994,-59.999999999999964,0.0,-19.999999999999986,10.0
MS,MORGAN STANLEY COM,Bearish Call Modified Butterfly,-286.66,-440.00000000000045,440.00000000000045,1385.0000000003774,2560.000000000005,63.89,36.11,-0.1119765624999998,0.5410156250001463,0.17187499999999983,Call,52.0,10.0,Call,53.0,-30.0,Call,55.0,20.0,-440.00000000000006,-209.99999999999991,30.000000000000004,-29.999999999999993,-20.0
MS,MORGAN STANLEY COM,Bearish Call Modified Butterfly,-275.18,-750.0000000000005,750.0000000000005,1195.0000000003774,2750.000000000005,62.34,37.66,-0.10006545454545436,0.434545454545591,0.2727272727272724,Call,52.5,10.0,Call,53.0,-30.0,Call,55.0,20.0,-550.0,-190.0,19.999999999999996,-19.999999999999986,-20.0
MS,MORGAN STANLEY COM,Bearish Call Modified Butterfly,-229.83,-280.00000000000034,280.00000000000034,1225.0000000003772,1720.0000000000055,62.34,37.66,-0.1336220930232554,0.7122093023257985,0.16279069767441828,Call,52.0,10.0,Call,53.0,-30.0,Call,54.5,20.0,-320.0,-149.99999999999991,10.000000000000009,-29.999999999999993,-20.0
MS,MORGAN STANLEY COM,Bearish Call Modified Butterfly,-218.35,-590.0000000000003,590.0000000000003,1035.0000000003772,1910.000000000005,60.76,39.24,-0.11431937172774839,0.5418848167541228,0.3089005235602088,Call,52.5,10.0,Call,53.0,-30.0,Call,54.5,20.0,-430.0,-129.99999999999997,0.0,-19.999999999999986,-20.0
MS,MORGAN STANLEY COM,Bearish Call Modified Butterfly,-197.73,-330.00000000000057,330.00000000000057,775.0000000003774,1170.000000000005,59.17,40.83,-0.16899999999999926,0.6623931623934821,0.2820512820512813,Call,52.5,10.0,Call,53.0,-30.0,Call,54.0,20.0,-269.99999999999994,-90.00000000000003,0.0,1.1102230246251565e-14,-20.0
MS,MORGAN STANLEY COM,Bearish Call Modified Butterfly,-360.13,-800.0,800.0,1745.0000000003697,3200.0000000000114,59.17,40.83,-0.1125406249999996,0.5453125000001136,0.2499999999999991,Call,51.5,10.0,Call,52.5,-30.0,Call,55.0,20.0,-650.0,-219.99999999999997,50.0,-29.999999999999993,-20.0
MS,MORGAN STANLEY COM,Bearish Call Modified Butterfly,-303.3,-639.9999999999999,639.9999999999999,1585.0000000003697,2360.0000000000114,57.56,42.44,-0.12851694915254175,0.6716101694916788,0.27118644067796477,Call,51.5,10.0,Call,52.5,-30.0,Call,54.5,20.0,-530.0,-159.99999999999997,30.000000000000004,-29.999999999999993,-20.0
MS,MORGAN STANLEY COM,Bearish Call Modified Butterfly,-338.26,-1160.0,1160.0,1605.0000000003697,3340.000000000011,57.56,42.44,-0.10127544910179608,0.48053892215579774,0.34730538922155574,Call,52.0,10.0,Call,52.5,-30.0,Call,55.0,20.0,-769.9999999999999,-180.00000000000003,30.000000000000004,-29.999999999999993,-20.0
MS,MORGAN STANLEY COM,Bearish Call Modified Butterfly,-281.43,-999.9999999999999,999.9999999999999,1445.0000000003697,2500.0000000000114,57.56,42.44,-0.11257199999999949,0.5780000000001453,0.39999999999999813,Call,52.0,10.0,Call,52.5,-30.0,Call,54.5,20.0,-649.9999999999999,-120.00000000000001,10.000000000000009,-29.999999999999993,-20.0
