Underlying,Description,Name,Expected PnL,Cost of Strategy,Leg_profit,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Profit_Factor,Leg_Profit_Factor,Strike_1_type,Strike_1,Strike_1_alloc,Strike_2_type,Strike_2,Strike_2_alloc,Strike_3_type,Strike_3,Strike_3_alloc,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho
MU,MICRON TECHNOLOGY INC COM,Bearish Call Modified Butterfly,-126.14,-380.0,380.0,825.0000000003272,1120.0000000000057,61.33,38.67,-0.11262499999999943,0.7366071428574312,0.3392857142857126,Call,45.5,10.0,Call,46.0,-30.0,Call,47.0,20.0,-200.0,-19.99999999999997,19.99999999999997,-19.999999999999986,0.0
MU,MICRON TECHNOLOGY INC COM,Bearish Call Modified Butterfly,-155.75,-480.00000000000045,480.00000000000045,1425.0000000003206,1520.0000000000052,58.51,41.49,-0.10246710526315754,0.9375000000002077,0.31578947368420973,Call,44.5,10.0,Call,45.5,-30.0,Call,47.0,20.0,-290.0000000000004,-39.99999999999999,29.99999999999996,-29.999999999999993,10.0
MU,MICRON TECHNOLOGY INC COM,Bearish Call Modified Butterfly,-118.78,-830.0000000000005,830.0000000000005,1275.0000000003206,1670.000000000005,58.51,41.49,-0.0711257485029938,0.7634730538924053,0.4970059880239509,Call,45.0,10.0,Call,45.5,-30.0,Call,47.0,20.0,-360.00000000000034,-19.99999999999997,29.99999999999996,-29.999999999999993,10.0
MU,MICRON TECHNOLOGY INC COM,Bearish Call Modified Butterfly,-137.08,-160.00000000000045,160.00000000000045,1105.0000000003206,840.0000000000052,57.08,42.92,-0.1631904761904752,1.315476190476564,0.19047619047618983,Call,44.5,10.0,Call,45.5,-30.0,Call,46.5,20.0,-150.00000000000026,-19.999999999999996,29.99999999999997,-29.99999999999999,10.0
MU,MICRON TECHNOLOGY INC COM,Bearish Call Modified Butterfly,-148.06,-969.9999999999995,969.9999999999995,1915.0000000003124,2030.000000000006,55.64,44.36,-0.07293596059113279,0.9433497536947324,0.4778325123152693,Call,44.0,10.0,Call,45.0,-30.0,Call,47.0,20.0,-470.0000000000001,-49.99999999999996,9.999999999999986,5.551115123125783e-15,-20.0
MU,MICRON TECHNOLOGY INC COM,Bearish Call Modified Butterfly,-100.1,-510.00000000000045,510.00000000000045,955.0000000003205,990.0000000000052,55.64,44.36,-0.10111111111111057,0.9646464646467833,0.5151515151515129,Call,45.0,10.0,Call,45.5,-30.0,Call,46.5,20.0,-220.00000000000028,0.0,29.99999999999996,-29.999999999999993,10.0
MU,MICRON TECHNOLOGY INC COM,Bearish Call Modified Butterfly,-145.7,-1320.0,1320.0,1765.0000000003129,2180.0000000000055,54.18,45.82,-0.06683486238532092,0.8096330275230773,0.6055045871559618,Call,44.5,10.0,Call,45.0,-30.0,Call,47.0,20.0,-530.0000000000002,-39.99999999999999,-2.220446049250313e-14,5.551115123125783e-15,-20.0
MU,MICRON TECHNOLOGY INC COM,Bearish Call Modified Butterfly,-130.24,-1140.0,1140.0,2585.0000000003056,2360.0000000000055,52.72,47.28,-0.05518644067796598,1.0953389830509743,0.483050847457626,Call,43.0,10.0,Call,44.5,-30.0,Call,47.0,20.0,-560.0,-30.00000000000003,30.000000000000004,-9.999999999999998,-20.0
MU,MICRON TECHNOLOGY INC COM,Bearish Call Modified Butterfly,-129.38,-649.9999999999995,649.9999999999995,1595.0000000003124,1350.0000000000061,52.72,47.28,-0.0958370370370366,1.1814814814817076,0.48148148148147896,Call,44.0,10.0,Call,45.0,-30.0,Call,46.5,20.0,-330.00000000000006,-30.000000000000004,9.999999999999998,5.551115123125783e-15,-20.0
MU,MICRON TECHNOLOGY INC COM,Bearish Call Modified Butterfly,-127.02,-1000.0,1000.0,1445.0000000003129,1500.0000000000055,52.72,47.28,-0.08467999999999969,0.9633333333335384,0.6666666666666642,Call,44.5,10.0,Call,45.0,-30.0,Call,46.5,20.0,-390.0000000000001,-19.999999999999996,-1.1102230246251565e-14,5.551115123125783e-15,-20.0
MU,MICRON TECHNOLOGY INC COM,Bearish Call Modified Butterfly,-92.87,-110.00000000000045,110.00000000000045,555.0000000003205,390.00000000000523,52.72,47.28,-0.23812820512820196,1.4230769230777258,0.28205128205127944,Call,45.0,10.0,Call,45.5,-30.0,Call,46.0,20.0,-80.00000000000026,0.0,9.999999999999964,-9.999999999999998,10.0
MU,MICRON TECHNOLOGY INC COM,Bearish Call Modified Butterfly,-111.56,-820.0,820.0,2265.0000000003056,1680.0000000000055,51.24,48.76,-0.06640476190476169,1.3482142857144632,0.4880952380952365,Call,43.0,10.0,Call,44.5,-30.0,Call,46.5,20.0,-419.99999999999994,-10.000000000000053,30.000000000000004,-9.999999999999998,-20.0
MU,MICRON TECHNOLOGY INC COM,Bearish Call Modified Butterfly,-97.12,-1959.9999999999995,1959.9999999999995,2405.0000000003056,2540.000000000006,51.24,48.76,-0.03823622047244086,0.9468503937009055,0.7716535433070847,Call,44.0,10.0,Call,44.5,-30.0,Call,47.0,20.0,-679.9999999999999,10.000000000000009,9.999999999999986,5.551115123125783e-15,-20.0
