Underlying,Description,Name,Expected PnL,Cost of Strategy,Leg_profit,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Profit_Factor,Leg_Profit_Factor,Strike_1_type,Strike_1,Strike_1_alloc,Strike_2_type,Strike_2,Strike_2_alloc,Strike_3_type,Strike_3,Strike_3_alloc,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho
PHM,PULTE GROUP INC COM,Bearish Call Modified Butterfly,-443.47,-900.0,900.0,1360.0000000003206,4600.0000000000055,64.31,35.69,-0.09640652173913032,0.2956521739131128,0.19565217391304324,Call,45.0,10.0,Call,45.5,-30.0,Call,48.5,20.0,-719.9999999999998,-179.99999999999997,99.99999999999999,-19.999999999999996,0.0
PHM,PULTE GROUP INC COM,Bearish Call Modified Butterfly,-411.33,-800.0,800.0,1260.0000000003206,3700.0000000000055,62.89,37.11,-0.1111702702702701,0.3405405405406267,0.2162162162162159,Call,45.0,10.0,Call,45.5,-30.0,Call,48.0,20.0,-619.9999999999998,-140.0,80.0,-19.999999999999996,0.0
PHM,PULTE GROUP INC COM,Bearish Call Modified Butterfly,-436.54,-600.0,600.0,1060.0000000003206,2900.0000000000055,61.46,38.54,-0.15053103448275834,0.3655172413794202,0.20689655172413754,Call,45.0,10.0,Call,45.5,-30.0,Call,47.5,20.0,-519.9999999999999,-79.99999999999999,60.0,5.551115123125783e-15,0.0
PHM,PULTE GROUP INC COM,Bearish Call Modified Butterfly,-479.4,-1000.0,1000.0,1960.0000000003206,5000.0000000000055,61.46,38.54,-0.0958799999999999,0.3920000000000637,0.1999999999999998,Call,44.0,10.0,Call,45.0,-30.0,Call,48.5,20.0,-810.0000000000001,-199.99999999999994,110.00000000000001,-19.999999999999996,10.0
PHM,PULTE GROUP INC COM,Bearish Call Modified Butterfly,-410.69,-400.0,400.0,860.0000000003206,2100.0000000000055,60.0,40.0,-0.19556666666666617,0.4095238095239611,0.19047619047619,Call,45.0,10.0,Call,45.5,-30.0,Call,47.0,20.0,-379.99999999999983,-59.999999999999964,20.000000000000007,5.551115123125783e-15,0.0
PHM,PULTE GROUP INC COM,Bearish Call Modified Butterfly,-454.61,-1350.0,1350.0,1810.0000000003206,5150.0000000000055,60.0,40.0,-0.0882737864077669,0.35145631067967353,0.2621359223300968,Call,44.5,10.0,Call,45.0,-30.0,Call,48.5,20.0,-880.0000000000001,-189.99999999999997,99.99999999999999,-19.999999999999996,0.0
PHM,PULTE GROUP INC COM,Bearish Call Modified Butterfly,-422.48,-1250.0,1250.0,1710.0000000003206,4250.0000000000055,60.0,40.0,-0.09940705882352929,0.4023529411765455,0.29411764705882315,Call,44.5,10.0,Call,45.0,-30.0,Call,48.0,20.0,-780.0000000000001,-150.0,80.0,-19.999999999999996,0.0
PHM,PULTE GROUP INC COM,Bearish Call Modified Butterfly,-447.26,-900.0,900.0,1860.0000000003206,4100.0000000000055,60.0,40.0,-0.10908780487804863,0.4536585365854434,0.21951219512195091,Call,44.0,10.0,Call,45.0,-30.0,Call,48.0,20.0,-710.0000000000001,-159.99999999999997,90.0,-19.999999999999996,10.0
PHM,PULTE GROUP INC COM,Bearish Call Modified Butterfly,-472.47,-700.0,700.0,1660.0000000003206,3300.0000000000055,58.53,41.47,-0.14317272727272704,0.5030303030303993,0.21212121212121177,Call,44.0,10.0,Call,45.0,-30.0,Call,47.5,20.0,-610.0000000000001,-99.99999999999996,70.0,5.551115123125783e-15,10.0
PHM,PULTE GROUP INC COM,Bearish Call Modified Butterfly,-447.69,-1050.0,1050.0,1510.0000000003206,3450.0000000000055,58.53,41.47,-0.12976521739130414,0.4376811594203821,0.30434782608695604,Call,44.5,10.0,Call,45.0,-30.0,Call,47.5,20.0,-680.0000000000001,-89.99999999999999,59.999999999999986,5.551115123125783e-15,0.0
PHM,PULTE GROUP INC COM,Bearish Call Modified Butterfly,-421.84,-850.0,850.0,1310.0000000003206,2650.0000000000055,57.05,42.95,-0.15918490566037702,0.4943396226416294,0.3207547169811314,Call,44.5,10.0,Call,45.0,-30.0,Call,47.0,20.0,-540.0,-69.99999999999997,19.999999999999996,5.551115123125783e-15,0.0
PHM,PULTE GROUP INC COM,Bearish Call Modified Butterfly,-446.62,-500.0,500.0,1460.0000000003206,2500.0000000000055,57.05,42.95,-0.1786479999999996,0.584000000000127,0.19999999999999957,Call,44.0,10.0,Call,45.0,-30.0,Call,47.0,20.0,-470.0000000000001,-79.99999999999994,30.000000000000004,5.551115123125783e-15,10.0
