Underlying,Description,Name,Expected PnL,Cost of Strategy,Leg_profit,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Profit_Factor,Leg_Profit_Factor,Strike_1_type,Strike_1,Strike_1_alloc,Strike_2_type,Strike_2,Strike_2_alloc,Strike_3_type,Strike_3,Strike_3_alloc,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho
XOP,SPDR SERIES TRUST S&P OIL & GAS EXPL & PRODTN,Bearish Call Modified Butterfly,-347.8,-439.9999999999998,439.9999999999998,1429.9999999992415,2560.0000000000055,65.73,34.27,-0.13585937499999973,0.5585937499997025,0.17187499999999956,Call,52.5,10.0,Call,53.5,-30.0,Call,55.5,20.0,-320.0,-39.99999999999994,39.99999999999997,-19.999999999999986,10.0
XOP,SPDR SERIES TRUST S&P OIL & GAS EXPL & PRODTN,Bearish Call Modified Butterfly,-287.47,-760.0,760.0,1249.9999999992417,2740.0000000000055,64.63,35.37,-0.10491605839416039,0.4562043795617661,0.27737226277372207,Call,53.0,10.0,Call,53.5,-30.0,Call,55.5,20.0,-380.0,-29.999999999999982,39.99999999999997,-19.999999999999986,0.0
XOP,SPDR SERIES TRUST S&P OIL & GAS EXPL & PRODTN,Bearish Call Modified Butterfly,-344.66,-460.0,460.0,949.9999999992417,2040.0000000000055,62.39,37.61,-0.16895098039215642,0.46568627450943095,0.22549019607843077,Call,53.0,10.0,Call,53.5,-30.0,Call,55.0,20.0,-280.0,-9.999999999999964,19.99999999999997,-19.999999999999986,0.0
XOP,SPDR SERIES TRUST S&P OIL & GAS EXPL & PRODTN,Bearish Call Modified Butterfly,-366.34,-499.99999999999955,499.99999999999955,1989.9999999992413,3000.000000000006,62.39,37.61,-0.12211333333333309,0.6633333333330791,0.16666666666666619,Call,51.5,10.0,Call,53.0,-30.0,Call,55.5,20.0,-380.00000000000017,-80.00000000000003,39.99999999999997,-19.999999999999986,10.0
XOP,SPDR SERIES TRUST S&P OIL & GAS EXPL & PRODTN,Bearish Call Modified Butterfly,-316.02,-869.9999999999995,869.9999999999995,1859.9999999992413,3130.000000000012,62.39,37.61,-0.10096485623003155,0.5942492012777106,0.277955271565494,Call,52.0,10.0,Call,53.0,-30.0,Call,55.5,20.0,-439.99999999999994,-70.00000000000001,39.99999999999997,-19.999999999999986,10.0
XOP,SPDR SERIES TRUST S&P OIL & GAS EXPL & PRODTN,Bearish Call Modified Butterfly,-273.8,-240.0,240.0,729.9999999992417,1260.0000000000057,61.25,38.75,-0.21730158730158633,0.5793650793644749,0.1904761904761896,Call,53.0,10.0,Call,53.5,-30.0,Call,54.5,20.0,-179.99999999999997,-9.999999999999964,19.99999999999997,1.1102230246251565e-14,0.0
XOP,SPDR SERIES TRUST S&P OIL & GAS EXPL & PRODTN,Bearish Call Modified Butterfly,-316.01,-1159.9999999999993,1159.9999999999993,1649.999999999241,3340.000000000012,61.25,38.75,-0.09461377245508948,0.4940119760476752,0.34730538922155546,Call,52.5,10.0,Call,53.0,-30.0,Call,55.5,20.0,-500.0000000000001,-70.00000000000001,39.99999999999997,-19.999999999999986,10.0
XOP,SPDR SERIES TRUST S&P OIL & GAS EXPL & PRODTN,Bearish Call Modified Butterfly,-373.21,-569.9999999999995,569.9999999999995,1559.9999999992413,2430.000000000012,60.09,39.91,-0.15358436213991694,0.64197530864166,0.23456790123456658,Call,52.0,10.0,Call,53.0,-30.0,Call,55.0,20.0,-339.99999999999994,-50.0,19.99999999999997,-19.999999999999986,10.0
XOP,SPDR SERIES TRUST S&P OIL & GAS EXPL & PRODTN,Bearish Call Modified Butterfly,-357.33,-940.0,940.0,2429.99999999927,3560.000000000011,60.09,39.91,-0.10037359550561767,0.6825842696627142,0.2640449438202239,Call,51.0,10.0,Call,52.5,-30.0,Call,55.5,20.0,-509.9999999999997,-59.999999999999964,49.99999999999996,-29.999999999999993,-20.0
XOP,SPDR SERIES TRUST S&P OIL & GAS EXPL & PRODTN,Bearish Call Modified Butterfly,-352.89,-570.0,570.0,2559.99999999927,3430.0000000000114,60.09,39.91,-0.10288338192419791,0.74635568513098,0.16618075801749216,Call,50.5,10.0,Call,52.5,-30.0,Call,55.5,20.0,-469.99999999999966,-69.99999999999997,59.99999999999994,-29.999999999999993,-20.0
