Cost of Strategy,Description,Exp_Pnl/Max_Loss,Expected PnL,Leg_Profit_Factor,Leg_profit,Max_Loss,Max_Profit,Name,Prob of Loss,Prob of Profit,Profit_Factor,Strategy_Delta,Strategy_Gamma,Strategy_Rho,Strategy_Theta,Strategy_Vega,Strike_1,Strike_1_alloc,Strike_1_type,Strike_2,Strike_2_alloc,Strike_2_type,Strike_3,Strike_3_alloc,Strike_3_type,Underlying
-399.99999999999994,ABBVIE INC COM,-0.11110384615384566,-288.87,0.15384615384615316,399.99999999999994,2600.0000000000114,1385.0000000006814,Bearish Call Modified Butterfly,31.01,68.99,0.5326923076925675,-340.0,-80.00000000000003,-20.0,89.99999999999997,-40.0,94.0,10.0,Call,95.0,-30.0,Call,97.0,20.0,Call,ABBV
-739.9999999999998,ABBVIE INC COM,-0.09615425531914866,-361.54,0.19680851063829724,739.9999999999998,3760.000000000011,1225.0000000006812,Bearish Call Modified Butterfly,32.09,67.91,0.32579787234060575,-450.0,-120.00000000000004,-20.0,79.99999999999999,-40.0,94.5,10.0,Call,95.0,-30.0,Call,97.5,20.0,Call,ABBV
-659.9999999999998,ABBVIE INC COM,-0.0952887323943658,-270.62,0.23239436619718204,659.9999999999998,2840.000000000012,1145.0000000006812,Bearish Call Modified Butterfly,33.19,66.81,0.4031690140847452,-409.99999999999994,-100.00000000000004,-20.0,79.99999999999999,-40.0,94.5,10.0,Call,95.0,-30.0,Call,97.0,20.0,Call,ABBV
-399.9999999999998,ABBVIE INC COM,-0.15192857142857058,-319.05,0.1904761904761893,399.9999999999998,2100.000000000012,885.0000000006813,Bearish Call Modified Butterfly,34.3,65.7,0.4214285714288935,-290.00000000000006,-60.00000000000006,-20.0,59.999999999999986,-19.999999999999996,94.5,10.0,Call,95.0,-30.0,Call,96.5,20.0,Call,ABBV
-800.0000000000002,ABBVIE INC COM,-0.10033571428571403,-421.41,0.19047619047619002,800.0000000000002,4200.000000000011,1785.0000000006676,Bearish Call Modified Butterfly,34.3,65.7,0.42500000000015786,-530.0000000000001,-120.00000000000004,-20.0,79.99999999999999,-40.0,93.5,10.0,Call,94.5,-30.0,Call,97.5,20.0,Call,ABBV
-199.99999999999977,ABBVIE INC COM,-0.2010846153846136,-261.41,0.1538461538461523,199.99999999999977,1300.0000000000116,685.0000000006813,Bearish Call Modified Butterfly,35.42,64.58,0.5269230769235963,-190.00000000000003,-20.000000000000064,-20.0,39.99999999999999,-19.999999999999996,94.5,10.0,Call,95.0,-30.0,Call,96.0,20.0,Call,ABBV
-1110.0,ABBVIE INC COM,-0.08744874715261937,-383.9,0.25284738041002214,1110.0,4390.000000000011,1595.0000000006673,Bearish Call Modified Butterfly,35.42,64.58,0.36332574031905773,-590.0,-100.00000000000003,-20.0,89.99999999999997,-40.0,94.0,10.0,Call,94.5,-30.0,Call,97.5,20.0,Call,ABBV
-720.0000000000002,ABBVIE INC COM,-0.10076219512195088,-330.5,0.21951219512195055,720.0000000000002,3280.000000000011,1705.0000000006676,Bearish Call Modified Butterfly,35.42,64.58,0.5198170731709335,-490.00000000000006,-100.00000000000004,-20.0,79.99999999999999,-40.0,93.5,10.0,Call,94.5,-30.0,Call,97.0,20.0,Call,ABBV
-1030.0,ABBVIE INC COM,-0.08443515850144066,-292.99,0.29682997118155524,1030.0,3470.000000000011,1515.0000000006673,Bearish Call Modified Butterfly,36.56,63.44,0.4365994236313149,-550.0,-80.00000000000003,-20.0,89.99999999999997,-40.0,94.0,10.0,Call,94.5,-30.0,Call,97.0,20.0,Call,ABBV
-460.0000000000002,ABBVIE INC COM,-0.1491850393700781,-378.93,0.18110236220472373,460.0000000000002,2540.000000000011,1445.0000000006676,Bearish Call Modified Butterfly,36.56,63.44,0.5688976377955359,-370.0,-60.00000000000006,-20.0,59.999999999999986,-19.999999999999996,93.5,10.0,Call,94.5,-30.0,Call,96.5,20.0,Call,ABBV
-770.0,ABBVIE INC COM,-0.12505860805860755,-341.41,0.2820512820512809,770.0,2730.0000000000114,1255.0000000006673,Bearish Call Modified Butterfly,37.72,62.28,0.45970695970720227,-430.00000000000006,-40.000000000000036,-20.0,69.99999999999997,-19.999999999999996,94.0,10.0,Call,94.5,-30.0,Call,96.5,20.0,Call,ABBV
-570.0,ABBVIE INC COM,-0.1470310880829007,-283.77,0.2953367875647651,570.0,1930.0000000000114,1055.0000000006673,Bearish Call Modified Butterfly,38.88,61.12,0.5466321243526742,-330.00000000000006,-4.440892098500626e-14,-20.0,49.99999999999998,-19.999999999999996,94.0,10.0,Call,94.5,-30.0,Call,96.0,20.0,Call,ABBV
-1020.0,ABBVIE INC COM,-0.0731947791164657,-364.51,0.20481927710843328,1020.0,4980.000000000011,3005.0000000006676,Bearish Call Modified Butterfly,38.88,61.12,0.6034136546186066,-659.9999999999998,-150.00000000000003,-20.0,120.0,-60.0,91.5,10.0,Call,93.5,-30.0,Call,97.5,20.0,Call,ABBV
-940.0,ABBVIE INC COM,-0.06738916256157618,-273.6,0.2315270935960585,940.0,4060.000000000011,2925.0000000006676,Bearish Call Modified Butterfly,40.06,59.94,0.720443349753857,-619.9999999999998,-130.00000000000003,-20.0,120.0,-60.0,91.5,10.0,Call,93.5,-30.0,Call,97.0,20.0,Call,ABBV
-290.0,ABBVIE INC COM,-0.2107933884297501,-255.06,0.23966942148760106,290.0,1210.0000000000114,775.0000000006673,Bearish Call Modified Butterfly,40.06,59.94,0.6404958677691406,-210.00000000000006,19.99999999999997,2.7755575615628914e-15,29.99999999999996,0.0,94.0,10.0,Call,94.5,-30.0,Call,95.5,20.0,Call,ABBV
-1299.9999999999995,ABBVIE INC COM,-0.09028269230769212,-469.47,0.2499999999999994,1299.9999999999995,5200.000000000011,2785.0000000006667,Bearish Call Modified Butterfly,40.06,59.94,0.5355769230770502,-749.9999999999998,-150.00000000000003,-20.0,89.99999999999997,-50.000000000000014,92.0,10.0,Call,93.5,-30.0,Call,97.5,20.0,Call,ABBV
-680.0,ABBVIE INC COM,-0.09699698795180689,-322.03,0.20481927710843303,680.0,3320.0000000000114,2665.0000000006676,Bearish Call Modified Butterfly,41.25,58.75,0.8027108433736923,-499.99999999999983,-90.00000000000003,-20.0,100.0,-39.99999999999999,91.5,10.0,Call,93.5,-30.0,Call,96.5,20.0,Call,ABBV
-2200.0,ABBVIE INC COM,-0.04929811320754706,-261.28,0.41509433962264064,2200.0,5300.000000000011,2685.0000000006676,Bearish Call Modified Butterfly,41.25,58.75,0.5066037735850306,-859.9999999999998,-130.0,-20.0,79.99999999999999,-40.0,93.0,10.0,Call,93.5,-30.0,Call,97.5,20.0,Call,ABBV
-1610.0,ABBVIE INC COM,-0.09631725417439684,-519.15,0.2987012987012981,1610.0,5390.000000000011,2595.0000000006676,Bearish Call Modified Butterfly,41.25,58.75,0.48144712430439,-810.0,-150.00000000000003,-20.0,79.99999999999999,-40.0,92.5,10.0,Call,93.5,-30.0,Call,97.5,20.0,Call,ABBV
-1219.9999999999995,ABBVIE INC COM,-0.0884485981308409,-378.56,0.28504672897196176,1219.9999999999995,4280.000000000011,2705.0000000006667,Bearish Call Modified Butterfly,41.25,58.75,0.6320093457945467,-709.9999999999998,-130.00000000000003,-20.0,89.99999999999997,-50.000000000000014,92.0,10.0,Call,93.5,-30.0,Call,97.0,20.0,Call,ABBV
-2120.0,ABBVIE INC COM,-0.03889497716894968,-170.36,0.48401826484018146,2120.0,4380.000000000011,2605.0000000006676,Bearish Call Modified Butterfly,41.25,58.75,0.5947488584476395,-819.9999999999998,-110.00000000000001,-20.0,79.99999999999999,-40.0,93.0,10.0,Call,93.5,-30.0,Call,97.0,20.0,Call,ABBV
-1530.0,ABBVIE INC COM,-0.0958008948545859,-428.23,0.34228187919463005,1530.0,4470.000000000011,2515.0000000006676,Bearish Call Modified Butterfly,42.45,57.55,0.5626398210292307,-769.9999999999999,-130.00000000000003,-20.0,79.99999999999999,-40.0,92.5,10.0,Call,93.5,-30.0,Call,97.0,20.0,Call,ABBV
-959.9999999999995,ABBVIE INC COM,-0.12061864406779622,-426.99,0.2711864406779651,959.9999999999995,3540.0000000000114,2445.0000000006667,Bearish Call Modified Butterfly,42.45,57.55,0.690677966101881,-589.9999999999999,-90.00000000000003,-20.0,69.99999999999997,-30.000000000000004,92.0,10.0,Call,93.5,-30.0,Call,96.5,20.0,Call,ABBV
-480.0,ABBVIE INC COM,-0.10491666666666619,-264.39,0.1904761904761896,480.0,2520.0000000000114,2465.0000000006676,Bearish Call Modified Butterfly,42.45,57.55,0.9781746031748637,-399.99999999999983,-50.00000000000004,-20.0,80.0,-39.99999999999999,91.5,10.0,Call,93.5,-30.0,Call,96.0,20.0,Call,ABBV
-1900.000000000001,ABBVIE INC COM,-0.048291304347825977,-222.14,0.41304347826086885,1900.000000000001,4600.00000000001,3385.000000000654,Bearish Call Modified Butterfly,42.45,57.55,0.7358695652175319,-799.9999999999998,-99.99999999999996,-20.0,120.0,-60.0,91.5,10.0,Call,93.0,-30.0,Call,97.0,20.0,Call,ABBV
-1980.000000000001,ABBVIE INC COM,-0.05671195652173903,-313.05,0.3586956521739126,1980.000000000001,5520.00000000001,3465.000000000654,Bearish Call Modified Butterfly,42.45,57.55,0.6277173913044651,-839.9999999999999,-119.99999999999996,-20.0,120.0,-60.0,91.5,10.0,Call,93.0,-30.0,Call,97.5,20.0,Call,ABBV
-2180.0000000000005,ABBVIE INC COM,-0.06786307053941894,-327.1,0.4522821576763476,2180.0000000000005,4820.000000000011,3165.0000000006535,Bearish Call Modified Butterfly,43.65,56.35,0.6566390041495117,-889.9999999999999,-99.99999999999996,-20.0,89.99999999999997,-50.000000000000014,92.0,10.0,Call,93.0,-30.0,Call,97.0,20.0,Call,ABBV
-1860.0,ABBVIE INC COM,-0.06010714285714267,-218.79,0.5109890109890095,1860.0,3640.000000000011,2345.0000000006676,Bearish Call Modified Butterfly,43.65,56.35,0.6442307692309507,-699.9999999999998,-70.00000000000001,-20.0,59.999999999999986,-19.999999999999996,93.0,10.0,Call,93.5,-30.0,Call,96.5,20.0,Call,ABBV
-759.9999999999995,ABBVIE INC COM,-0.13479927007299214,-369.35,0.2773722627737213,759.9999999999995,2740.000000000012,2245.0000000006667,Bearish Call Modified Butterfly,43.65,56.35,0.8193430656936704,-489.9999999999999,-50.00000000000004,-20.0,49.99999999999998,-30.000000000000004,92.0,10.0,Call,93.5,-30.0,Call,96.0,20.0,Call,ABBV
-1270.0,ABBVIE INC COM,-0.12779088471849828,-476.66,0.34048257372654056,1270.0,3730.000000000011,2255.0000000006676,Bearish Call Modified Butterfly,43.65,56.35,0.6045576407508474,-650.0,-90.00000000000003,-20.0,59.999999999999986,-19.999999999999996,92.5,10.0,Call,93.5,-30.0,Call,96.5,20.0,Call,ABBV
-2260.0000000000005,ABBVIE INC COM,-0.07282404181184655,-418.01,0.393728222996515,2260.0000000000005,5740.000000000011,3245.0000000006535,Bearish Call Modified Butterfly,43.65,56.35,0.5653310104530744,-929.9999999999999,-119.99999999999996,-20.0,89.99999999999997,-50.000000000000014,92.0,10.0,Call,93.0,-30.0,Call,97.5,20.0,Call,ABBV
-1640.000000000001,ABBVIE INC COM,-0.07009585492227961,-270.57,0.42487046632124265,1640.000000000001,3860.00000000001,3125.000000000654,Bearish Call Modified Butterfly,44.86,55.14,0.8095854922281466,-679.9999999999999,-59.999999999999964,-20.0,100.0,-39.99999999999999,91.5,10.0,Call,93.0,-30.0,Call,96.5,20.0,Call,ABBV
-2570.000000000001,ABBVIE INC COM,-0.07886846543001673,-467.69,0.43338954468802643,2570.000000000001,5930.00000000001,3055.000000000654,Bearish Call Modified Butterfly,44.86,55.14,0.5151770657673944,-990.0,-119.99999999999996,-20.0,79.99999999999999,-40.0,92.5,10.0,Call,93.0,-30.0,Call,97.5,20.0,Call,ABBV
-1080.000000000001,ABBVIE INC COM,-0.1360591216216214,-805.47,0.1824324324324323,1080.000000000001,5920.00000000001,3065.000000000654,Bearish Call Modified Butterfly,44.86,55.14,0.5177364864865961,-869.9999999999998,-139.99999999999997,-20.0,99.99999999999997,-50.000000000000014,91.0,10.0,Call,93.0,-30.0,Call,97.5,20.0,Call,ABBV
-1000.0000000000009,ABBVIE INC COM,-0.1429099999999997,-714.55,0.1999999999999998,1000.0000000000009,5000.00000000001,2985.000000000654,Bearish Call Modified Butterfly,44.86,55.14,0.5970000000001295,-829.9999999999998,-119.99999999999997,-20.0,99.99999999999997,-50.000000000000014,91.0,10.0,Call,93.0,-30.0,Call,97.0,20.0,Call,ABBV
-1660.0,ABBVIE INC COM,-0.05674295774647866,-161.15,0.5845070422535189,1660.0,2840.000000000011,2145.0000000006676,Bearish Call Modified Butterfly,44.86,55.14,0.7552816901410773,-599.9999999999998,-30.00000000000003,-20.0,39.99999999999999,-19.999999999999996,93.0,10.0,Call,93.5,-30.0,Call,96.0,20.0,Call,ABBV
-1070.0,ABBVIE INC COM,-0.14301023890784928,-419.02,0.3651877133105788,1070.0,2930.0000000000114,2055.0000000006676,Bearish Call Modified Butterfly,44.86,55.14,0.7013651877135357,-550.0,-50.00000000000004,-20.0,39.99999999999999,-19.999999999999996,92.5,10.0,Call,93.5,-30.0,Call,96.0,20.0,Call,ABBV
-479.99999999999955,ABBVIE INC COM,-0.16863366336633565,-340.64,0.237623762376236,479.99999999999955,2020.0000000000118,1965.000000000667,Bearish Call Modified Butterfly,44.86,55.14,0.9727722772280473,-369.99999999999983,-30.00000000000003,2.7755575615628914e-15,29.99999999999996,-10.000000000000009,92.0,10.0,Call,93.5,-30.0,Call,95.5,20.0,Call,ABBV
-2490.000000000001,ABBVIE INC COM,-0.07520558882235513,-376.78,0.4970059880239513,2490.000000000001,5010.00000000001,2975.000000000654,Bearish Call Modified Butterfly,44.86,55.14,0.5938123752496304,-950.0,-99.99999999999996,-20.0,79.99999999999999,-40.0,92.5,10.0,Call,93.0,-30.0,Call,97.0,20.0,Call,ABBV
-1440.000000000001,ABBVIE INC COM,-0.06958496732026122,-212.93,0.4705882352941164,1440.000000000001,3060.00000000001,2925.000000000654,Bearish Call Modified Butterfly,46.08,53.92,0.955882352941387,-579.9999999999999,-19.99999999999997,-20.0,80.0,-39.99999999999999,91.5,10.0,Call,93.0,-30.0,Call,96.0,20.0,Call,ABBV
-1380.0,ABBVIE INC COM,-0.062471698113207214,-132.44,0.6509433962264116,1380.0,2120.0000000000114,1865.0000000006673,Bearish Call Modified Butterfly,46.08,53.92,0.8797169811323855,-479.99999999999983,-10.000000000000009,2.7755575615628914e-15,19.99999999999997,0.0,93.0,10.0,Call,93.5,-30.0,Call,95.5,20.0,Call,ABBV
-1920.0000000000005,ABBVIE INC COM,-0.09204166666666642,-375.53,0.47058823529411653,1920.0000000000005,4080.0000000000105,2905.0000000006535,Bearish Call Modified Butterfly,46.08,53.92,0.712009803921727,-769.9999999999999,-59.999999999999964,-20.0,69.99999999999997,-30.000000000000004,92.0,10.0,Call,93.0,-30.0,Call,96.5,20.0,Call,ABBV
-790.0,ABBVIE INC COM,-0.17661085972850588,-390.31,0.35746606334841446,790.0,2210.0000000000114,1775.0000000006673,Bearish Call Modified Butterfly,46.08,53.92,0.8031674208147774,-430.0,-30.00000000000003,2.7755575615628914e-15,19.99999999999997,0.0,92.5,10.0,Call,93.5,-30.0,Call,95.5,20.0,Call,ABBV
-2230.000000000001,ABBVIE INC COM,-0.09958079625292716,-425.21,0.522248243559718,2230.000000000001,4270.00000000001,2715.000000000654,Bearish Call Modified Butterfly,47.3,52.7,0.6358313817331728,-830.0000000000001,-59.999999999999964,-20.0,59.999999999999986,-19.999999999999996,92.5,10.0,Call,93.0,-30.0,Call,96.5,20.0,Call,ABBV
-2650.000000000001,ABBVIE INC COM,-0.08757383177570077,-468.52,0.49532710280373754,2650.000000000001,5350.00000000001,3635.00000000064,Bearish Call Modified Butterfly,47.3,52.7,0.6794392523365669,-949.9999999999998,-39.99999999999999,-20.0,120.0,-60.0,91.5,10.0,Call,92.5,-30.0,Call,97.0,20.0,Call,ABBV
-2730.000000000001,ABBVIE INC COM,-0.08922328548644323,-559.43,0.43540669856459274,2730.000000000001,6270.00000000001,3715.00000000064,Bearish Call Modified Butterfly,47.3,52.7,0.5925039872409305,-989.9999999999999,-59.999999999999986,-20.0,120.0,-60.0,91.5,10.0,Call,92.5,-30.0,Call,97.5,20.0,Call,ABBV
-740.0000000000009,ABBVIE INC COM,-0.1791032863849761,-762.98,0.17370892018779324,740.0000000000009,4260.00000000001,2725.000000000654,Bearish Call Modified Butterfly,47.3,52.7,0.6396713615024994,-709.9999999999998,-79.99999999999999,-20.0,79.99999999999999,-30.000000000000004,91.0,10.0,Call,93.0,-30.0,Call,96.5,20.0,Call,ABBV
-1160.000000000001,ABBVIE INC COM,-0.07872649572649537,-184.22,0.4957264957264939,1160.000000000001,2340.0000000000105,2645.000000000654,Bearish Call Modified Butterfly,47.3,52.7,1.1303418803421548,-459.9999999999999,4.440892098500626e-14,2.7755575615628914e-15,59.999999999999986,-19.999999999999996,91.5,10.0,Call,93.0,-30.0,Call,95.5,20.0,Call,ABBV
-1720.0000000000005,ABBVIE INC COM,-0.09691768292682895,-317.89,0.5243902439024375,1720.0000000000005,3280.0000000000105,2705.0000000006535,Bearish Call Modified Butterfly,47.3,52.7,0.8246951219514161,-669.9999999999999,-19.99999999999997,-20.0,49.99999999999998,-30.000000000000004,92.0,10.0,Call,93.0,-30.0,Call,96.0,20.0,Call,ABBV
