Underlying,Description,Name,Expected PnL,Cost of Strategy,Leg_profit,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Profit_Factor,Leg_Profit_Factor,Strike_1_type,Strike_1,Strike_1_alloc,Strike_2_type,Strike_2,Strike_2_alloc,Strike_3_type,Strike_3,Strike_3_alloc,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho
ABBV,ABBVIE INC COM,Bearish Call Modified Butterfly,-288.87,-399.99999999999994,399.99999999999994,1385.0000000006814,2600.0000000000114,68.99,31.01,-0.11110384615384566,0.5326923076925675,0.15384615384615316,Call,94.0,10.0,Call,95.0,-30.0,Call,97.0,20.0,-340.0,-80.00000000000003,89.99999999999997,-40.0,-20.0
ABBV,ABBVIE INC COM,Bearish Call Modified Butterfly,-361.54,-739.9999999999998,739.9999999999998,1225.0000000006812,3760.000000000011,67.91,32.09,-0.09615425531914866,0.32579787234060575,0.19680851063829724,Call,94.5,10.0,Call,95.0,-30.0,Call,97.5,20.0,-450.0,-120.00000000000004,79.99999999999999,-40.0,-20.0
ABBV,ABBVIE INC COM,Bearish Call Modified Butterfly,-270.62,-659.9999999999998,659.9999999999998,1145.0000000006812,2840.000000000012,66.81,33.19,-0.0952887323943658,0.4031690140847452,0.23239436619718204,Call,94.5,10.0,Call,95.0,-30.0,Call,97.0,20.0,-409.99999999999994,-100.00000000000004,79.99999999999999,-40.0,-20.0
ABBV,ABBVIE INC COM,Bearish Call Modified Butterfly,-319.05,-399.9999999999998,399.9999999999998,885.0000000006813,2100.000000000012,65.7,34.3,-0.15192857142857058,0.4214285714288935,0.1904761904761893,Call,94.5,10.0,Call,95.0,-30.0,Call,96.5,20.0,-290.00000000000006,-60.00000000000006,59.999999999999986,-19.999999999999996,-20.0
ABBV,ABBVIE INC COM,Bearish Call Modified Butterfly,-421.41,-800.0000000000002,800.0000000000002,1785.0000000006676,4200.000000000011,65.7,34.3,-0.10033571428571403,0.42500000000015786,0.19047619047619002,Call,93.5,10.0,Call,94.5,-30.0,Call,97.5,20.0,-530.0000000000001,-120.00000000000004,79.99999999999999,-40.0,-20.0
ABBV,ABBVIE INC COM,Bearish Call Modified Butterfly,-261.41,-199.99999999999977,199.99999999999977,685.0000000006813,1300.0000000000116,64.58,35.42,-0.2010846153846136,0.5269230769235963,0.1538461538461523,Call,94.5,10.0,Call,95.0,-30.0,Call,96.0,20.0,-190.00000000000003,-20.000000000000064,39.99999999999999,-19.999999999999996,-20.0
ABBV,ABBVIE INC COM,Bearish Call Modified Butterfly,-383.9,-1110.0,1110.0,1595.0000000006673,4390.000000000011,64.58,35.42,-0.08744874715261937,0.36332574031905773,0.25284738041002214,Call,94.0,10.0,Call,94.5,-30.0,Call,97.5,20.0,-590.0,-100.00000000000003,89.99999999999997,-40.0,-20.0
ABBV,ABBVIE INC COM,Bearish Call Modified Butterfly,-330.5,-720.0000000000002,720.0000000000002,1705.0000000006676,3280.000000000011,64.58,35.42,-0.10076219512195088,0.5198170731709335,0.21951219512195055,Call,93.5,10.0,Call,94.5,-30.0,Call,97.0,20.0,-490.00000000000006,-100.00000000000004,79.99999999999999,-40.0,-20.0
ABBV,ABBVIE INC COM,Bearish Call Modified Butterfly,-292.99,-1030.0,1030.0,1515.0000000006673,3470.000000000011,63.44,36.56,-0.08443515850144066,0.4365994236313149,0.29682997118155524,Call,94.0,10.0,Call,94.5,-30.0,Call,97.0,20.0,-550.0,-80.00000000000003,89.99999999999997,-40.0,-20.0
ABBV,ABBVIE INC COM,Bearish Call Modified Butterfly,-378.93,-460.0000000000002,460.0000000000002,1445.0000000006676,2540.000000000011,63.44,36.56,-0.1491850393700781,0.5688976377955359,0.18110236220472373,Call,93.5,10.0,Call,94.5,-30.0,Call,96.5,20.0,-370.0,-60.00000000000006,59.999999999999986,-19.999999999999996,-20.0
ABBV,ABBVIE INC COM,Bearish Call Modified Butterfly,-341.41,-770.0,770.0,1255.0000000006673,2730.0000000000114,62.28,37.72,-0.12505860805860755,0.45970695970720227,0.2820512820512809,Call,94.0,10.0,Call,94.5,-30.0,Call,96.5,20.0,-430.00000000000006,-40.000000000000036,69.99999999999997,-19.999999999999996,-20.0
ABBV,ABBVIE INC COM,Bearish Call Modified Butterfly,-283.77,-570.0,570.0,1055.0000000006673,1930.0000000000114,61.12,38.88,-0.1470310880829007,0.5466321243526742,0.2953367875647651,Call,94.0,10.0,Call,94.5,-30.0,Call,96.0,20.0,-330.00000000000006,-4.440892098500626e-14,49.99999999999998,-19.999999999999996,-20.0
ABBV,ABBVIE INC COM,Bearish Call Modified Butterfly,-364.51,-1020.0,1020.0,3005.0000000006676,4980.000000000011,61.12,38.88,-0.0731947791164657,0.6034136546186066,0.20481927710843328,Call,91.5,10.0,Call,93.5,-30.0,Call,97.5,20.0,-659.9999999999998,-150.00000000000003,120.0,-60.0,-20.0
ABBV,ABBVIE INC COM,Bearish Call Modified Butterfly,-273.6,-940.0,940.0,2925.0000000006676,4060.000000000011,59.94,40.06,-0.06738916256157618,0.720443349753857,0.2315270935960585,Call,91.5,10.0,Call,93.5,-30.0,Call,97.0,20.0,-619.9999999999998,-130.00000000000003,120.0,-60.0,-20.0
ABBV,ABBVIE INC COM,Bearish Call Modified Butterfly,-255.06,-290.0,290.0,775.0000000006673,1210.0000000000114,59.94,40.06,-0.2107933884297501,0.6404958677691406,0.23966942148760106,Call,94.0,10.0,Call,94.5,-30.0,Call,95.5,20.0,-210.00000000000006,19.99999999999997,29.99999999999996,0.0,2.7755575615628914e-15
ABBV,ABBVIE INC COM,Bearish Call Modified Butterfly,-469.47,-1299.9999999999995,1299.9999999999995,2785.0000000006667,5200.000000000011,59.94,40.06,-0.09028269230769212,0.5355769230770502,0.2499999999999994,Call,92.0,10.0,Call,93.5,-30.0,Call,97.5,20.0,-749.9999999999998,-150.00000000000003,89.99999999999997,-50.000000000000014,-20.0
ABBV,ABBVIE INC COM,Bearish Call Modified Butterfly,-322.03,-680.0,680.0,2665.0000000006676,3320.0000000000114,58.75,41.25,-0.09699698795180689,0.8027108433736923,0.20481927710843303,Call,91.5,10.0,Call,93.5,-30.0,Call,96.5,20.0,-499.99999999999983,-90.00000000000003,100.0,-39.99999999999999,-20.0
ABBV,ABBVIE INC COM,Bearish Call Modified Butterfly,-261.28,-2200.0,2200.0,2685.0000000006676,5300.000000000011,58.75,41.25,-0.04929811320754706,0.5066037735850306,0.41509433962264064,Call,93.0,10.0,Call,93.5,-30.0,Call,97.5,20.0,-859.9999999999998,-130.0,79.99999999999999,-40.0,-20.0
ABBV,ABBVIE INC COM,Bearish Call Modified Butterfly,-519.15,-1610.0,1610.0,2595.0000000006676,5390.000000000011,58.75,41.25,-0.09631725417439684,0.48144712430439,0.2987012987012981,Call,92.5,10.0,Call,93.5,-30.0,Call,97.5,20.0,-810.0,-150.00000000000003,79.99999999999999,-40.0,-20.0
ABBV,ABBVIE INC COM,Bearish Call Modified Butterfly,-378.56,-1219.9999999999995,1219.9999999999995,2705.0000000006667,4280.000000000011,58.75,41.25,-0.0884485981308409,0.6320093457945467,0.28504672897196176,Call,92.0,10.0,Call,93.5,-30.0,Call,97.0,20.0,-709.9999999999998,-130.00000000000003,89.99999999999997,-50.000000000000014,-20.0
ABBV,ABBVIE INC COM,Bearish Call Modified Butterfly,-170.36,-2120.0,2120.0,2605.0000000006676,4380.000000000011,58.75,41.25,-0.03889497716894968,0.5947488584476395,0.48401826484018146,Call,93.0,10.0,Call,93.5,-30.0,Call,97.0,20.0,-819.9999999999998,-110.00000000000001,79.99999999999999,-40.0,-20.0
ABBV,ABBVIE INC COM,Bearish Call Modified Butterfly,-428.23,-1530.0,1530.0,2515.0000000006676,4470.000000000011,57.55,42.45,-0.0958008948545859,0.5626398210292307,0.34228187919463005,Call,92.5,10.0,Call,93.5,-30.0,Call,97.0,20.0,-769.9999999999999,-130.00000000000003,79.99999999999999,-40.0,-20.0
ABBV,ABBVIE INC COM,Bearish Call Modified Butterfly,-426.99,-959.9999999999995,959.9999999999995,2445.0000000006667,3540.0000000000114,57.55,42.45,-0.12061864406779622,0.690677966101881,0.2711864406779651,Call,92.0,10.0,Call,93.5,-30.0,Call,96.5,20.0,-589.9999999999999,-90.00000000000003,69.99999999999997,-30.000000000000004,-20.0
ABBV,ABBVIE INC COM,Bearish Call Modified Butterfly,-264.39,-480.0,480.0,2465.0000000006676,2520.0000000000114,57.55,42.45,-0.10491666666666619,0.9781746031748637,0.1904761904761896,Call,91.5,10.0,Call,93.5,-30.0,Call,96.0,20.0,-399.99999999999983,-50.00000000000004,80.0,-39.99999999999999,-20.0
ABBV,ABBVIE INC COM,Bearish Call Modified Butterfly,-222.14,-1900.000000000001,1900.000000000001,3385.000000000654,4600.00000000001,57.55,42.45,-0.048291304347825977,0.7358695652175319,0.41304347826086885,Call,91.5,10.0,Call,93.0,-30.0,Call,97.0,20.0,-799.9999999999998,-99.99999999999996,120.0,-60.0,-20.0
ABBV,ABBVIE INC COM,Bearish Call Modified Butterfly,-313.05,-1980.000000000001,1980.000000000001,3465.000000000654,5520.00000000001,57.55,42.45,-0.05671195652173903,0.6277173913044651,0.3586956521739126,Call,91.5,10.0,Call,93.0,-30.0,Call,97.5,20.0,-839.9999999999999,-119.99999999999996,120.0,-60.0,-20.0
ABBV,ABBVIE INC COM,Bearish Call Modified Butterfly,-327.1,-2180.0000000000005,2180.0000000000005,3165.0000000006535,4820.000000000011,56.35,43.65,-0.06786307053941894,0.6566390041495117,0.4522821576763476,Call,92.0,10.0,Call,93.0,-30.0,Call,97.0,20.0,-889.9999999999999,-99.99999999999996,89.99999999999997,-50.000000000000014,-20.0
ABBV,ABBVIE INC COM,Bearish Call Modified Butterfly,-218.79,-1860.0,1860.0,2345.0000000006676,3640.000000000011,56.35,43.65,-0.06010714285714267,0.6442307692309507,0.5109890109890095,Call,93.0,10.0,Call,93.5,-30.0,Call,96.5,20.0,-699.9999999999998,-70.00000000000001,59.999999999999986,-19.999999999999996,-20.0
ABBV,ABBVIE INC COM,Bearish Call Modified Butterfly,-369.35,-759.9999999999995,759.9999999999995,2245.0000000006667,2740.000000000012,56.35,43.65,-0.13479927007299214,0.8193430656936704,0.2773722627737213,Call,92.0,10.0,Call,93.5,-30.0,Call,96.0,20.0,-489.9999999999999,-50.00000000000004,49.99999999999998,-30.000000000000004,-20.0
ABBV,ABBVIE INC COM,Bearish Call Modified Butterfly,-476.66,-1270.0,1270.0,2255.0000000006676,3730.000000000011,56.35,43.65,-0.12779088471849828,0.6045576407508474,0.34048257372654056,Call,92.5,10.0,Call,93.5,-30.0,Call,96.5,20.0,-650.0,-90.00000000000003,59.999999999999986,-19.999999999999996,-20.0
ABBV,ABBVIE INC COM,Bearish Call Modified Butterfly,-418.01,-2260.0000000000005,2260.0000000000005,3245.0000000006535,5740.000000000011,56.35,43.65,-0.07282404181184655,0.5653310104530744,0.393728222996515,Call,92.0,10.0,Call,93.0,-30.0,Call,97.5,20.0,-929.9999999999999,-119.99999999999996,89.99999999999997,-50.000000000000014,-20.0
ABBV,ABBVIE INC COM,Bearish Call Modified Butterfly,-270.57,-1640.000000000001,1640.000000000001,3125.000000000654,3860.00000000001,55.14,44.86,-0.07009585492227961,0.8095854922281466,0.42487046632124265,Call,91.5,10.0,Call,93.0,-30.0,Call,96.5,20.0,-679.9999999999999,-59.999999999999964,100.0,-39.99999999999999,-20.0
ABBV,ABBVIE INC COM,Bearish Call Modified Butterfly,-467.69,-2570.000000000001,2570.000000000001,3055.000000000654,5930.00000000001,55.14,44.86,-0.07886846543001673,0.5151770657673944,0.43338954468802643,Call,92.5,10.0,Call,93.0,-30.0,Call,97.5,20.0,-990.0,-119.99999999999996,79.99999999999999,-40.0,-20.0
ABBV,ABBVIE INC COM,Bearish Call Modified Butterfly,-805.47,-1080.000000000001,1080.000000000001,3065.000000000654,5920.00000000001,55.14,44.86,-0.1360591216216214,0.5177364864865961,0.1824324324324323,Call,91.0,10.0,Call,93.0,-30.0,Call,97.5,20.0,-869.9999999999998,-139.99999999999997,99.99999999999997,-50.000000000000014,-20.0
ABBV,ABBVIE INC COM,Bearish Call Modified Butterfly,-714.55,-1000.0000000000009,1000.0000000000009,2985.000000000654,5000.00000000001,55.14,44.86,-0.1429099999999997,0.5970000000001295,0.1999999999999998,Call,91.0,10.0,Call,93.0,-30.0,Call,97.0,20.0,-829.9999999999998,-119.99999999999997,99.99999999999997,-50.000000000000014,-20.0
ABBV,ABBVIE INC COM,Bearish Call Modified Butterfly,-161.15,-1660.0,1660.0,2145.0000000006676,2840.000000000011,55.14,44.86,-0.05674295774647866,0.7552816901410773,0.5845070422535189,Call,93.0,10.0,Call,93.5,-30.0,Call,96.0,20.0,-599.9999999999998,-30.00000000000003,39.99999999999999,-19.999999999999996,-20.0
ABBV,ABBVIE INC COM,Bearish Call Modified Butterfly,-419.02,-1070.0,1070.0,2055.0000000006676,2930.0000000000114,55.14,44.86,-0.14301023890784928,0.7013651877135357,0.3651877133105788,Call,92.5,10.0,Call,93.5,-30.0,Call,96.0,20.0,-550.0,-50.00000000000004,39.99999999999999,-19.999999999999996,-20.0
ABBV,ABBVIE INC COM,Bearish Call Modified Butterfly,-340.64,-479.99999999999955,479.99999999999955,1965.000000000667,2020.0000000000118,55.14,44.86,-0.16863366336633565,0.9727722772280473,0.237623762376236,Call,92.0,10.0,Call,93.5,-30.0,Call,95.5,20.0,-369.99999999999983,-30.00000000000003,29.99999999999996,-10.000000000000009,2.7755575615628914e-15
