Underlying,Description,Name,Expected PnL,Cost of Strategy,Leg_profit,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Profit_Factor,Leg_Profit_Factor,Strike_1_type,Strike_1,Strike_1_alloc,Strike_2_type,Strike_2,Strike_2_alloc,Strike_3_type,Strike_3,Strike_3_alloc,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho
AMAT,APPLIED MATERIALS INC COM,Bearish Call Modified Butterfly,-368.15,-450.0,450.0,885.000000000457,2050.0000000000114,62.04,37.96,-0.17958536585365753,0.4317073170733913,0.21951219512195,Call,63.0,10.0,Call,63.5,-30.0,Call,65.0,20.0,-300.0,-40.000000000000036,39.99999999999997,1.1102230246251565e-14,-20.0
AMAT,APPLIED MATERIALS INC COM,Bearish Call Modified Butterfly,-254.24,-380.0,380.0,1815.000000000443,2120.0000000000114,62.04,37.96,-0.11992452830188616,0.8561320754719024,0.17924528301886697,Call,61.5,10.0,Call,63.0,-30.0,Call,65.0,20.0,-290.00000000000006,-60.00000000000001,49.99999999999996,1.1102230246251565e-14,-20.0
AMAT,APPLIED MATERIALS INC COM,Bearish Call Modified Butterfly,-292.88,-230.0,230.0,665.000000000457,1270.0000000000114,60.87,39.13,-0.23061417322834438,0.5236220472444496,0.18110236220472278,Call,63.0,10.0,Call,63.5,-30.0,Call,64.5,20.0,-200.0,-20.000000000000064,19.99999999999997,1.1102230246251565e-14,-20.0
AMAT,APPLIED MATERIALS INC COM,Bearish Call Modified Butterfly,-235.09,-1020.0,1020.0,1455.000000000443,2480.0000000000114,59.69,40.31,-0.09479435483870924,0.5866935483872727,0.4112903225806433,Call,62.5,10.0,Call,63.0,-30.0,Call,65.0,20.0,-409.99999999999994,-40.000000000000036,39.99999999999997,1.1102230246251565e-14,-20.0
AMAT,APPLIED MATERIALS INC COM,Bearish Call Modified Butterfly,-289.61,-670.0000000000002,670.0000000000002,1605.000000000443,2330.000000000011,59.69,40.31,-0.12429613733905522,0.6888412017169251,0.2875536480686683,Call,62.0,10.0,Call,63.0,-30.0,Call,65.0,20.0,-350.0,-50.0,39.99999999999997,1.1102230246251565e-14,-20.0
AMAT,APPLIED MATERIALS INC COM,Bearish Call Modified Butterfly,-159.82,-800.0,800.0,1235.000000000443,1700.0000000000114,58.5,41.5,-0.09401176470588173,0.7264705882355498,0.4705882352941145,Call,62.5,10.0,Call,63.0,-30.0,Call,64.5,20.0,-309.99999999999994,-20.000000000000064,19.99999999999997,1.1102230246251565e-14,-20.0
AMAT,APPLIED MATERIALS INC COM,Bearish Call Modified Butterfly,-214.34,-450.0000000000002,450.0000000000002,1385.000000000443,1550.0000000000111,58.5,41.5,-0.13828387096774095,0.8935483870970535,0.29032258064515937,Call,62.0,10.0,Call,63.0,-30.0,Call,64.5,20.0,-250.0,-30.00000000000003,19.99999999999997,1.1102230246251565e-14,-20.0
AMAT,APPLIED MATERIALS INC COM,Bearish Call Modified Butterfly,-298.47,-1130.0,1130.0,2065.000000000443,2870.0000000000114,57.3,42.7,-0.10399651567944211,0.7195121951221027,0.3937282229965141,Call,61.5,10.0,Call,62.5,-30.0,Call,65.0,20.0,-499.99999999999983,-60.00000000000001,49.99999999999996,1.1102230246251565e-14,-20.0
AMAT,APPLIED MATERIALS INC COM,Bearish Call Modified Butterfly,-334.76,-740.0,740.0,2175.000000000443,2760.0000000000114,57.3,42.7,-0.12128985507246326,0.7880434782610268,0.2681159420289844,Call,61.0,10.0,Call,62.5,-30.0,Call,65.0,20.0,-459.9999999999998,-70.00000000000001,49.99999999999996,1.1102230246251565e-14,-20.0
AMAT,APPLIED MATERIALS INC COM,Bearish Call Modified Butterfly,-223.2,-910.0,910.0,1845.000000000443,2090.0000000000114,56.1,43.9,-0.10679425837320515,0.882775119617432,0.4354066985645909,Call,61.5,10.0,Call,62.5,-30.0,Call,64.5,20.0,-399.99999999999983,-40.000000000000036,29.99999999999996,1.1102230246251565e-14,-20.0
AMAT,APPLIED MATERIALS INC COM,Bearish Call Modified Butterfly,-333.84,-1420.0,1420.0,1855.000000000443,3080.000000000011,56.1,43.9,-0.10838961038961,0.602272727272869,0.4610389610389594,Call,62.0,10.0,Call,62.5,-30.0,Call,65.0,20.0,-559.9999999999998,-50.0,39.99999999999997,1.1102230246251565e-14,-20.0
AMAT,APPLIED MATERIALS INC COM,Bearish Call Modified Butterfly,-259.49,-520.0,520.0,1955.000000000443,1980.0000000000114,56.1,43.9,-0.13105555555555481,0.9873737373739554,0.2626262626262611,Call,61.0,10.0,Call,62.5,-30.0,Call,64.5,20.0,-359.9999999999998,-50.00000000000004,29.99999999999996,1.1102230246251565e-14,-20.0
AMAT,APPLIED MATERIALS INC COM,Bearish Call Modified Butterfly,-210.38,-400.0,400.0,835.0000000004428,1100.0000000000114,56.1,43.9,-0.19125454545454348,0.7590909090913038,0.36363636363635987,Call,62.5,10.0,Call,63.0,-30.0,Call,64.0,20.0,-190.00000000000003,-4.440892098500626e-14,19.99999999999997,1.1102230246251565e-14,-20.0
AMAT,APPLIED MATERIALS INC COM,Bearish Call Modified Butterfly,-258.57,-1200.0,1200.0,1635.000000000443,2300.0000000000114,54.88,45.12,-0.11242173913043423,0.7108695652175804,0.52173913043478,Call,62.0,10.0,Call,62.5,-30.0,Call,64.5,20.0,-459.9999999999998,-30.00000000000003,19.99999999999997,1.1102230246251565e-14,-20.0
AMAT,APPLIED MATERIALS INC COM,Bearish Call Modified Butterfly,-254.92,-2060.0,2060.0,2495.0000000004284,3440.000000000011,53.66,46.34,-0.07410465116279046,0.7252906976745408,0.5988372093023236,Call,61.5,10.0,Call,62.0,-30.0,Call,65.0,20.0,-679.9999999999999,-29.999999999999936,49.99999999999996,1.1102230246251565e-14,-20.0
AMAT,APPLIED MATERIALS INC COM,Bearish Call Modified Butterfly,-273.76,-510.0,510.0,1445.000000000443,1490.0000000000114,53.66,46.34,-0.18373154362415967,0.9697986577184107,0.34228187919462827,Call,61.5,10.0,Call,62.5,-30.0,Call,64.0,20.0,-279.9999999999999,-20.000000000000018,29.99999999999996,1.1102230246251565e-14,-20.0
AMAT,APPLIED MATERIALS INC COM,Bearish Call Modified Butterfly,-567.79,-610.0,610.0,2545.0000000004284,3390.0000000000114,53.66,46.34,-0.16748967551622362,0.7507374631269675,0.1799410029498519,Call,60.0,10.0,Call,62.0,-30.0,Call,65.0,20.0,-560.0,-69.99999999999993,69.99999999999996,-9.999999999999998,-20.0
AMAT,APPLIED MATERIALS INC COM,Bearish Call Modified Butterfly,-291.21,-1670.0,1670.0,2605.0000000004284,3330.000000000011,53.66,46.34,-0.08745045045045016,0.7822822822824084,0.5015015015014999,Call,61.0,10.0,Call,62.0,-30.0,Call,65.0,20.0,-639.9999999999999,-39.99999999999994,49.99999999999996,1.1102230246251565e-14,-20.0
AMAT,APPLIED MATERIALS INC COM,Bearish Call Modified Butterfly,-179.65,-1840.0,1840.0,2275.0000000004284,2660.000000000011,52.43,47.57,-0.06753759398496213,0.8552631578948944,0.6917293233082679,Call,61.5,10.0,Call,62.0,-30.0,Call,64.5,20.0,-579.9999999999999,-9.999999999999964,29.99999999999996,1.1102230246251565e-14,-20.0
AMAT,APPLIED MATERIALS INC COM,Bearish Call Modified Butterfly,-309.13,-800.0,800.0,1235.000000000443,1700.0000000000114,52.43,47.57,-0.181841176470587,0.7264705882355498,0.4705882352941145,Call,62.0,10.0,Call,62.5,-30.0,Call,64.0,20.0,-339.9999999999999,-10.000000000000009,19.99999999999997,1.1102230246251565e-14,-20.0
