Underlying,Description,Name,Expected PnL,Cost of Strategy,Leg_profit,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Profit_Factor,Leg_Profit_Factor,Strike_1_type,Strike_1,Strike_1_alloc,Strike_2_type,Strike_2,Strike_2_alloc,Strike_3_type,Strike_3,Strike_3_alloc,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho
ATVI,ACTIVISION BLIZZARD INC COM,Bullish Put Modified Butterfly,-366.21,-540.0,540.0,1534.9999999994077,3460.0000000000114,64.11,35.89,-0.10584104046242739,0.4436416184969372,0.1560693641618492,Call,82.5,20.0,Call,83.0,-30.0,Call,88.0,10.0,-310.0000000000001,-59.999999999999964,79.99999999999999,-50.0,-9.999999999999998
ATVI,ACTIVISION BLIZZARD INC COM,Bullish Put Modified Butterfly,-489.12,-880.0,880.0,1874.999999999436,4120.000000000011,57.38,42.62,-0.11871844660194143,0.4550970873785027,0.21359223300970817,Call,81.5,20.0,Call,82.0,-30.0,Call,88.0,10.0,-429.9999999999997,-70.00000000000001,79.99999999999999,-19.999999999999996,-9.999999999999998
ATVI,ACTIVISION BLIZZARD INC COM,Bullish Put Modified Butterfly,-410.15,-1230.0,1230.0,2224.999999999436,4270.000000000011,56.39,43.61,-0.09605386416861801,0.5210772833722319,0.28805620608899224,Call,81.0,20.0,Call,81.5,-30.0,Call,88.0,10.0,-480.0000000000002,-39.99999999999999,70.00000000000001,-19.99999999999999,-9.999999999999998
ATVI,ACTIVISION BLIZZARD INC COM,Bullish Put Modified Butterfly,-499.05,-730.0,730.0,1724.999999999436,3270.0000000000114,56.39,43.61,-0.15261467889908203,0.5275229357796423,0.2232415902140665,Call,81.5,20.0,Call,82.0,-30.0,Call,87.0,10.0,-349.99999999999966,-50.0,59.999999999999964,-9.999999999999986,-9.999999999999998
ATVI,ACTIVISION BLIZZARD INC COM,Bullish Put Modified Butterfly,-487.11,-650.0,650.0,1644.999999999436,2850.0000000000114,55.4,44.6,-0.17091578947368352,0.5771929824559402,0.2280701754385956,Call,81.5,20.0,Call,82.0,-30.0,Call,86.5,10.0,-319.99999999999955,-50.0,50.0,-9.999999999999986,-9.999999999999998
ATVI,ACTIVISION BLIZZARD INC COM,Bullish Put Modified Butterfly,-420.07,-1080.0,1080.0,2074.999999999436,3420.000000000011,54.4,45.6,-0.12282748538011656,0.6067251461986636,0.3157894736842095,Call,81.0,20.0,Call,81.5,-30.0,Call,87.0,10.0,-400.0000000000003,-19.999999999999986,50.000000000000014,-9.999999999999993,-9.999999999999998
ATVI,ACTIVISION BLIZZARD INC COM,Bullish Put Modified Butterfly,-498.12,-530.0,530.0,1524.999999999436,2470.0000000000114,54.4,45.6,-0.20166801619433106,0.6174089068823599,0.2145748987854241,Call,81.5,20.0,Call,82.0,-30.0,Call,86.0,10.0,-289.9999999999999,-40.000000000000036,39.99999999999999,1.1102230246251565e-14,-9.999999999999998
ATVI,ACTIVISION BLIZZARD INC COM,Bullish Put Modified Butterfly,-408.13,-1000.0,1000.0,1994.999999999436,3000.0000000000114,53.4,46.6,-0.13604333333333282,0.6649999999998095,0.3333333333333321,Call,81.0,20.0,Call,81.5,-30.0,Call,86.5,10.0,-370.0000000000002,-19.999999999999986,40.000000000000014,-9.999999999999993,-9.999999999999998
ATVI,ACTIVISION BLIZZARD INC COM,Bullish Put Modified Butterfly,-419.14,-880.0,880.0,1874.999999999436,2620.0000000000114,52.4,47.6,-0.15997709923664052,0.7156488549616137,0.3358778625954184,Call,81.0,20.0,Call,81.5,-30.0,Call,86.0,10.0,-340.0000000000003,-9.999999999999986,30.00000000000003,1.1102230246251565e-14,-9.999999999999998
ATVI,ACTIVISION BLIZZARD INC COM,Bullish Put Modified Butterfly,-391.81,-360.0,360.0,1354.999999999436,1640.0000000000057,52.4,47.6,-0.23890853658536504,0.8262195121947753,0.21951219512195047,Call,81.5,20.0,Call,82.0,-30.0,Call,85.0,10.0,-209.99999999999977,-20.000000000000018,29.999999999999982,2.220446049250313e-14,-9.999999999999998
ATVI,ACTIVISION BLIZZARD INC COM,Bullish Put Modified Butterfly,-312.83,-710.0,710.0,1704.999999999436,1790.0000000000055,51.39,48.61,-0.17476536312849109,0.952513966480129,0.39664804469273623,Call,81.0,20.0,Call,81.5,-30.0,Call,85.0,10.0,-260.0000000000001,10.000000000000009,20.000000000000018,2.220446049250313e-14,-9.999999999999998
ATVI,ACTIVISION BLIZZARD INC COM,Bullish Put Modified Butterfly,-531.27,-640.0,640.0,1634.999999999436,2360.0000000000114,50.38,49.62,-0.22511440677965994,0.6927966101692492,0.27118644067796477,Call,81.0,20.0,Call,81.5,-30.0,Call,85.5,10.0,-290.0000000000004,0.0,20.000000000000018,1.1102230246251565e-14,-9.999999999999998
