Underlying,Description,Name,Expected PnL,Cost of Strategy,Leg_profit,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Profit_Factor,Leg_Profit_Factor,Strike_1_type,Strike_1,Strike_1_alloc,Strike_2_type,Strike_2,Strike_2_alloc,Strike_3_type,Strike_3,Strike_3_alloc,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho
AXP,AMERICAN EXPRESS CO COM,Bearish Call Modified Butterfly,-369.66,-449.9999999999998,449.9999999999998,1420.0000000007517,2550.000000000012,67.31,32.69,-0.14496470588235227,0.5568627450983314,0.1764705882352932,Call,103.0,10.0,Call,104.0,-30.0,Call,106.0,20.0,-200.00000000000017,-39.99999999999999,39.99999999999999,9.999999999999998,-20.0
AXP,AMERICAN EXPRESS CO COM,Bearish Call Modified Butterfly,-372.88,-629.9999999999998,629.9999999999998,2600.0000000007376,3370.000000000012,64.48,35.52,-0.11064688427299664,0.7715133531159432,0.1869436201780408,Call,101.0,10.0,Call,103.0,-30.0,Call,106.0,20.0,-280.0,-39.99999999999999,50.00000000000004,-29.999999999999982,-20.0
AXP,AMERICAN EXPRESS CO COM,Bearish Call Modified Butterfly,-294.57,-1279.9999999999998,1279.9999999999998,2250.0000000007376,3720.000000000011,63.03,36.97,-0.07918548387096751,0.6048387096776159,0.34408602150537526,Call,102.0,10.0,Call,103.0,-30.0,Call,106.0,20.0,-359.99999999999994,-39.99999999999999,39.99999999999999,-19.99999999999997,-20.0
AXP,AMERICAN EXPRESS CO COM,Bearish Call Modified Butterfly,-304.04,-719.9999999999995,719.9999999999995,1690.0000000007374,2280.000000000012,60.81,39.19,-0.13335087719298178,0.7412280701757582,0.3157894736842087,Call,102.0,10.0,Call,103.0,-30.0,Call,105.0,20.0,-219.99999999999994,-19.99999999999997,19.99999999999997,-19.99999999999997,2.7755575615628914e-15
AXP,AMERICAN EXPRESS CO COM,Bearish Call Modified Butterfly,-655.11,-1180.0000000000007,1180.0000000000007,3150.000000000724,4820.00000000001,59.31,40.69,-0.13591493775933583,0.6535269709545057,0.24481327800829839,Call,100.0,10.0,Call,102.0,-30.0,Call,106.0,20.0,-440.00000000000006,-49.99999999999998,60.00000000000001,-29.999999999999982,-20.0
AXP,AMERICAN EXPRESS CO COM,Bearish Call Modified Butterfly,-713.08,-1770.0000000000007,1770.0000000000007,2740.0000000007244,5230.00000000001,57.8,42.2,-0.13634416826003798,0.5239005736139042,0.3384321223709364,Call,101.0,10.0,Call,102.0,-30.0,Call,106.0,20.0,-519.9999999999999,-39.99999999999999,50.00000000000004,-29.999999999999982,-20.0
AXP,AMERICAN EXPRESS CO COM,Bearish Call Modified Butterfly,-664.58,-620.0000000000005,620.0000000000005,2590.000000000724,3380.000000000011,57.03,42.97,-0.1966213017751473,0.7662721893493242,0.18343195266272144,Call,100.0,10.0,Call,102.0,-30.0,Call,105.0,20.0,-300.0,-29.99999999999996,39.99999999999999,-29.999999999999982,2.7755575615628914e-15
AXP,AMERICAN EXPRESS CO COM,Bearish Call Modified Butterfly,-746.53,-1699.9999999999989,1699.9999999999989,4170.0000000007085,5800.000000000024,55.49,44.51,-0.1287120689655167,0.7189655172414985,0.29310344827586066,Call,98.5,10.0,Call,101.0,-30.0,Call,106.0,20.0,-599.9999999999998,-70.0,40.000000000000036,-10.000000000000009,-20.0
AXP,AMERICAN EXPRESS CO COM,Bearish Call Modified Butterfly,-722.55,-1210.0000000000005,1210.0000000000005,2180.000000000724,3790.0000000000105,55.49,44.51,-0.19064643799472242,0.5751978891822475,0.31926121372031585,Call,101.0,10.0,Call,102.0,-30.0,Call,105.0,20.0,-379.9999999999999,-19.99999999999997,30.00000000000003,-29.999999999999982,2.7755575615628914e-15
AXP,AMERICAN EXPRESS CO COM,Bearish Call Modified Butterfly,-730.81,-2099.999999999999,2099.999999999999,4070.0000000007085,5900.000000000024,54.72,45.28,-0.12386610169491474,0.6898305084746936,0.35593220338982895,Call,99.0,10.0,Call,101.0,-30.0,Call,106.0,20.0,-629.9999999999999,-59.999999999999986,40.000000000000036,-10.000000000000009,-20.0
AXP,AMERICAN EXPRESS CO COM,Bearish Call Modified Butterfly,-600.19,-2949.999999999999,2949.999999999999,3920.0000000007085,6050.000000000023,54.72,45.28,-0.09920495867768558,0.6479338842976353,0.487603305785122,Call,100.0,10.0,Call,101.0,-30.0,Call,106.0,20.0,-679.9999999999999,-49.99999999999998,30.00000000000003,0.0,-20.0
AXP,AMERICAN EXPRESS CO COM,Bearish Call Modified Butterfly,-756.0,-1139.9999999999986,1139.9999999999986,3610.000000000708,4360.000000000024,53.17,46.83,-0.1733944954128431,0.8279816513763046,0.26146788990825515,Call,98.5,10.0,Call,101.0,-30.0,Call,105.0,20.0,-459.9999999999998,-49.99999999999998,20.000000000000018,-10.000000000000009,2.7755575615628914e-15
AXP,AMERICAN EXPRESS CO COM,Bearish Call Modified Butterfly,-1149.02,-2049.999999999999,2049.999999999999,3520.0000000007085,6450.000000000023,53.17,46.83,-0.1781426356589141,0.545736434108635,0.3178294573643398,Call,99.5,10.0,Call,101.0,-30.0,Call,106.0,20.0,-679.9999999999999,-59.999999999999986,10.000000000000009,0.0,-20.0
