Underlying,Description,Name,Expected PnL,Cost of Strategy,Leg_profit,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Profit_Factor,Leg_Profit_Factor,Strike_1_type,Strike_1,Strike_1_alloc,Strike_2_type,Strike_2,Strike_2_alloc,Strike_3_type,Strike_3,Strike_3_alloc,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho
CAT,CATERPILLAR INC COM,Bearish Call Modified Butterfly,-577.73,-1220.000000000001,1220.000000000001,2190.0000000083273,5780.000000000022,66.98,33.02,-0.09995328719723146,0.3788927335654531,0.21107266435986094,Call,144.0,10.0,Call,145.0,-30.0,Call,149.0,20.0,-369.99999999999994,-39.99999999999999,99.99999999999996,-59.999999999999986,2.7755575615628914e-15
CAT,CATERPILLAR INC COM,Bearish Call Modified Butterfly,-462.9,-940.0000000000011,940.0000000000011,1910.0000000083276,4060.000000000022,66.36,33.64,-0.11401477832512254,0.4704433497557432,0.23152709359605814,Call,144.0,10.0,Call,145.0,-30.0,Call,148.0,20.0,-289.9999999999999,-39.99999999999999,79.99999999999999,-39.99999999999999,2.7755575615628914e-15
CAT,CATERPILLAR INC COM,Bearish Call Modified Butterfly,-467.93,-440.0000000000009,440.0000000000009,1410.0000000083273,2560.000000000022,65.1,34.9,-0.18278515624999844,0.5507812500032482,0.1718749999999989,Call,144.0,10.0,Call,145.0,-30.0,Call,147.0,20.0,-249.99999999999991,-19.999999999999996,99.99999999999996,-39.99999999999999,2.7755575615628914e-15
CAT,CATERPILLAR INC COM,Bearish Call Modified Butterfly,-913.53,-1110.0,1110.0,3080.0000000082127,6890.000000000023,63.82,36.18,-0.13258780841799667,0.4470246734409583,0.1611030478955002,Call,142.0,10.0,Call,144.0,-30.0,Call,149.0,20.0,-449.9999999999999,-39.99999999999999,99.99999999999996,-59.999999999999986,10.000000000000004
CAT,CATERPILLAR INC COM,Bearish Call Modified Butterfly,-798.7,-830.0000000000002,830.0000000000002,2800.0000000082127,5170.000000000023,63.18,36.82,-0.1544874274661502,0.5415860735025533,0.1605415860735003,Call,142.0,10.0,Call,144.0,-30.0,Call,148.0,20.0,-369.99999999999983,-39.99999999999999,79.99999999999999,-39.99999999999999,10.000000000000004
CAT,CATERPILLAR INC COM,Bearish Call Modified Butterfly,-883.9,-1710.0,1710.0,2680.0000000082127,7290.000000000022,62.53,37.47,-0.12124828532235903,0.36762688614653016,0.2345679012345672,Call,143.0,10.0,Call,144.0,-30.0,Call,149.0,20.0,-509.9999999999999,-39.99999999999999,89.99999999999994,-59.999999999999986,2.7755575615628914e-15
CAT,CATERPILLAR INC COM,Bearish Call Modified Butterfly,-769.07,-1430.0000000000002,1430.0000000000002,2400.0000000082127,5570.000000000023,61.87,38.13,-0.1380736086175937,0.43087971274833087,0.25673249551166866,Call,143.0,10.0,Call,144.0,-30.0,Call,148.0,20.0,-429.99999999999983,-39.99999999999999,69.99999999999997,-39.99999999999999,2.7755575615628914e-15
CAT,CATERPILLAR INC COM,Bearish Call Modified Butterfly,-737.39,-1450.0,1450.0,4420.000000008099,7550.000000000022,61.87,38.13,-0.0976675496688739,0.5854304635772299,0.19205298013244979,Call,140.0,10.0,Call,143.0,-30.0,Call,149.0,20.0,-540.0,-60.00000000000001,150.0,-69.99999999999997,10.000000000000004
CAT,CATERPILLAR INC COM,Bearish Call Modified Butterfly,-622.56,-1170.0000000000002,1170.0000000000002,4140.000000008099,5830.000000000023,60.56,39.44,-0.10678559176672342,0.710120068612021,0.20068610634648296,Call,140.0,10.0,Call,143.0,-30.0,Call,148.0,20.0,-459.9999999999999,-60.00000000000001,130.00000000000003,-49.99999999999998,10.000000000000004
CAT,CATERPILLAR INC COM,Bearish Call Modified Butterfly,-774.1,-930.0,930.0,1900.0000000082127,4070.0000000000227,59.89,40.11,-0.19019656019655914,0.4668304668324821,0.22850122850122723,Call,143.0,10.0,Call,144.0,-30.0,Call,147.0,20.0,-389.9999999999999,-19.999999999999996,89.99999999999994,-39.99999999999999,2.7755575615628914e-15
